code,name,credits,description
BIB 1050,Exploring the Bible ,Three,"This course provides a survey of the biblical story in its progressive unfolding of the history of 
redemption within the framework of creation, fall, redemption, consummation. Attention is given to the 
literary, historical, cultural, and theological dimensions of Scripture as it offers a metanarrative or 
“worldview-story.” Emphasis is placed on the unity of Scripture as it reaches its fullness and fulfillment 
in Christ, while at the same time recognizing key developments and differences between the various 
chapters of the biblical storyline. Three Hours. "
PSY 1200,Essentials of Behavioral Science ,Three,"This introductory course in Behavioral Sciences provides an opportunity to learn about the major 
behavioral science topics, concepts and real life applications. This course will survey multiple topics as 
they relate to relationships. Students will also be encouraged during this course to increase personal 
awareness of how cognitive and emotional factors influence behavior in a variety of social contexts. The 
focus of this course is on improving relationships in many different sectors of life. Three Hours. "
HIS 1050,Current Issues in Historical Context ,Three,"This class examines the historical and political development of at least two broad topics that remain part 
of contemporary discussion and illustrates the way the past can help students understand current 
debates and conversations. The topics chosen are meant to represent areas of significant concern for 
understanding current issues and moral questions. The course asks the question, “How did we get 
here?” and provides a foundation for discussions of diversity, citizenship, Christian ethics, and cultural 
awareness. Topics will likely change over time. Three hours. 
First-Year Learning Competencies  "
ENG 1100,Effective Writing ,Three,"A course designed to help students develop and hone the skills necessary for clear and persuasive 
writing at the college level and beyond. The primary focus of the course is scholarly research and 
writing, with emphasis on finding and evaluating sources, integrating and documenting sources, 
improving writing structure and organization, implementing rhetorical strategies, practicing revision and 
peer workshop, and strengthening writing mechanics. Three Hours. 
 "
COM 1100,Public Speaking ,Three,"The objective of this course is to provide students with an introduction to the principles of public 
discourse and civic engagement. The focus will be on a practical background in recognizing, analyzing, 
and constructing arguments in the public sphere. Readings, class time, and assignments will focus on the 
skills and concepts necessary for successful application of the principles to a civic engagement project. 
Three Hours. 
 "
HUM 2000,Global Perspectives  ,Three,"The purpose of Global Perspectives is to encounter world cultures through literature and dialogue. In 
this interdisciplinary course, students engage divergent outlooks from around the world, grappling with 
cultural differences and presuppositions. Defining literary works and guest speakers from different 
continents set the stage for literary and cultural discussions. This course cultivates cultural competency, 
provides a framework for understanding God’s heart for the nations, and prepares students for the 
Cross-Cultural Field Experience. Three Hours.  
"
HUM 2010,Go Encounter Trips ,Zero,"Students who select the Go Encounter Trip option to fulfill their Cross-Cultural Field Experience (CCFE) 
requirement register for a Go Encounter trip offered by the Grace College Global Initiatives Office.  A Go 
Encounter trip is also worth 2 Applied Learning Credits, which emphasizes “analytic inquiry, active 
learning, real-world problem solving, and innovation,” (Applied Learning Syllabus). Zero Hours. "
HUM 2030,Third Culture/International Student ,Zero,"A course designed for third culture and international students for whom the United States is a cross-
cultural experience. Students explore some of the assumptions, values and beliefs that characterize the 
United States and compare those with other cultures. They also discover the third culture, as defined by 
Dr. Useem, “created, shared, and learned” by those who are from one culture and are in the process of 
relating to another. Zero hours. "
HUM 2040,CCFE Independent Trips  ,Zero,"Students who select the independent trip option to fulfill their Cross-Cultural Field Experience (CCFE) 
requirement create their own international or domestic field experience in consultation with the Office 
of Global Initiatives.  These experiences must be pre-approved. Any experiences prior to taking HUM 
2000 Global Perspectives will only be accepted if the student has transferred to Grace College. Students 
must complete all work, including a debriefing presentation in the semester immediately following their 
trip. Completion of this Global Debriefing course will grant the student the required CCFE credit and two 
Applied Learning credits. Zero Hours. "
STA 0010-STA 0640,Study Abroad Programs ,Thirty,"Select majors require participation in the Study Abroad program to fulfill their program degree 
requirements. Consult the Institute for Global Studies website for current listings. Twelve to Thirty 
Hours. "
BIB 2010,Scripture and Interpretation ,Three,"Foundational principles of effective Bible study will be applied for personal study and small group Bible 
study leadership. Observational skills of the English text will be developed through hands-on activities 
and assignments. Hermeneutical principles will be applied to various biblical genres with the goal of 
equipping the learner to interpret the text based on its historical/cultural and literary context. 
Application of the meaning of the text for spiritual formation will be emphasized as well. Three Hours.  "
