Code,Title,Credits,Description
ABT 2013,Spreadsheet Applications in Business,3,"A problem-solving approach using the latest version of 
Microsoft Excel as a tool. After a brief introduction to the 
features of Microsoft Excel, the student will be challenged 
to use critical thinking and analysis to find efficient and 
effective solutions to real-life situations."
ABT 3013,Database Applications in Business,3,"A problem-solving approach using Microsoft Access as a 
tool. This class will begin with an introduction to Microsoft 
Access and then will challenge the students to analyze data 
and solve real-life business problems efficiently and 
effectively."
aABT 3063,Project Management,3,"A project-based course in which students learn to integrate 
the different components available in Microsoft Office. 
Students use Microsoft Project to develop, plan, schedule, 
and chart project information and balance workloads for 
people working on several projects at once. 
Offered: Spring - Odd Years."
ABT 3073,Business Communication,3,"A study of written and oral communication skills that are 
essential for communicating successfully in organizations. 
This course will use simulations, case studies and 
application assignments to focus on the process of written 
and oral communication in the business environment. 
ACC - Accounting"
ACC 2053,Principles of Accounting I,3,"An introduction to fundamental accounting concepts and 
procedures including the nature of accounts and techniques 
of recording, classifying, summarizing and analyzing 
financial data as it relates to corporations."
ACC 2063,Principles of Accounting II,3,"A study of managerial accounting concepts for 
manufacturing operations, accounting techniques focusing 
on such items as cost concepts, cost behavior, break-even 
analysis, budgeting, variance analysis, short-term decision 
making, and pricing issues. 
Prerequisite: ACC-2053."
ACC 3023,Government and Not-For-Profit Accounting,3,"A study of accounting theory as it relates to governmental 
operations and not-for-profit organizations such as 
hospitals, colleges and universities, health and welfare 
organizations. 
Prerequisite: ACC-2063."
aACC 3033,Individual Income Tax,3,"The study of federal income tax law and tax procedures for 
individuals. 
Prerequisite: A grade of B- or higher in ACC-2063. Offered: 
Fall - Even Years."
aACC 3043,Cost Accounting I,3,"An introduction to costing systems and methods. Special 
emphasis is given to cost concepts, classifications and 
measurement techniques in production planning and 
control under job order costing systems, standard cost 
accounting procedures, variance analysis, cost and profit 
responsibility reporting practices, product pricing, and 
distribution. 
Prerequisite: A grade of B- or higher in ACC-2063. Offered: 
Fall - Odd Years. 
 
 
Traditional Courses 
Traditional Courses | 153"
ACC 3063,Intermediate Accounting I,3,"A study of accounting theory in income realization and cost 
expiration with emphasis on financial statement preparation 
and accounting for operating activities of corporations. 
Prerequisite: A grade of B- or higher in ACC-2063."
ACC 3073,Intermediate Accounting II,3,"A study in accounting theory with emphasis on financial 
statement preparation related to investing and financing 
activities of corporations. 
Prerequisite: ACC-3063."
ACC 3083,Accounting Information Systems,3,"A study of the flow of accounting information within a 
corporation. Special emphasis is given to practical 
application of contemporary accounting software. 
Prerequisite: ABT-2013 and ACC-2063."
ACC 4013,Accounting Ethics,3,"A study of accounting ethics focusing on the nature of 
accounting, ethical behavior, and the accounting code of 
ethics."
aACC 4053,Auditing Concepts and Practices,3,"A study of the function of independent audits, professional 
ethics, legal liability, internal control, auditing standards, 
worksheet applications and procedures. Special emphasis 
is given to ethical issues. 
Prerequisite: ACC-3073. Offered: Fall - Even Years."
aACC 4083,Advanced Accounting I,3,"A study of advanced accounting theory as it relates to 
corporations in the areas of employee compensation, tax 
accounting, and business combinations. The course 
includes accounting concepts related to partnership 
entities. 
Prerequisite: ACC-3073."
aACC 4103,Advanced Accounting II,3,"This course structure includes an analysis of financial 
accounting concepts related to international accounting and 
financial reporting for corporations.  Students will focus on 
international financial reporting standards (IFRS), 
translation of foreign financial statements, accounting for 
foreign financial statements, and accounting for foreign 
transactions.  Students will also explore unique U.S. 
accounting principles applied to special entities such as 
partnerships and not-for-profits. 
Prerequisite: ACC-4083. Offered: Spring - Even Years."
aACC 4173,Advanced Tax,3,"The study of taxation of property transactions, corporations, 
partnerships, and exempt organizations. 
Prerequisite: ACC-3033."
ACC 5019,Independent Study in Accounting,1 - 4,
ACC 5029,Accounting Internship,1 - 6,"A supervised experience in public accounting to be taken 
during the spring of the student's fourth year. 
Prerequisite: Departmental application and approval. 
APM - Applied Music"
APM 0021,Preparatory Private Keyboard,1,"A beginning course for the student who needs additional 
training before beginning the university level sequence in 
154| Mount Vernon Nazarene University Traditional Academic"
APM 0051,Preparatory Secondary Private Instrument,1,"A beginning course for the student who needs additional 
training before beginning the university level sequence in 
applied studies in instrumental music. The course focuses 
on technical and interpretive development through 
intermediate level repertoire."
APM 0071,Preparatory Private Instrument,1,"A beginning course for the student who needs additional 
training before beginning the university level sequence in 
applied studies in instrumental music. The course focuses 
on technical and interpretive development through 
intermediate level repertoire."
APM 1000,Piano Proficiency Level I,0,"A non-credit transcript entry to indicate the student 
completed the first level of the piano proficiency 
requirements."
