code,title,credits,description
DATA 4001,Data Analytics Research Capstone,3.0,"Building on the major project in ECCS 3021 or ECCS 3031, students will 
work in cooperation with two faculty members, one in data analytics and 
the other in the chosen subject area to complete a research project that 
demonstrates competency in analyzing a complex computing problem 
using both computer science principles and mathematical/statistical 
models and designing, implementing, and evaluating a data-driven 
solution to a problem in their chosen subject area. The project must be 
consistent with legal and ethical principles and students must be able to 
communicate their results effectively in writing and in a oral presentation. 
Offered spring semesters. Prerequisite(s):ECCS 3021 Minimum Grade of 
D and ECCS 3031 Minimum Grade of D. Must be enrolled in one of the 
following Major fields of study: Data Analytics. Must be enrolled in one of 
the following Classifications: Senior."
DATA 4021,Data Analytics Internship,3.0 to 6.0,"A supervised field experience that requires students to demonstrate 
competency in analyzing a complex problem using both computer 
science principles and mathematical/statistical models. The project must 
include the implementation of evaluation of a data-driven solution to 
a problem in their subject area and must be consistent with legal and 
ethical principles. Students must demonstrate their ability to communicate 
their results effectively in writing and oral presentation as well as function 
effectively as a member or leader of a team. Students receive 1 credit 
hour for every 100 on-site hours they work at their internship site. 
Students must complete 3 credit hours to fulfill the capstone requirement 
with their internship (300 total on-site hours). Students may earn up 
to 6 hours (600 on-site hours) towards their degree requirements, but 
only 4 hours may apply to the hours in the major. Student must have a 
2.75 or higher cumulative GPA in order to apply for the internship and 
all internships must be approved by the Steering Committee for Data 
Analytics. Offered summer, fall, or spring semesters."
PE 4811,Senior Essay 1,1.0,"The first stage of the capstone project: completion of a prospectus of a 
critical essay on a topic selected in consultation with faculty advisors. 
Course Attributes: AS-SOCSCI - Social Science, Requires Instructor 
Approval. Must be enrolled in one of the following Major fields of study: 
Philosophy Politics & Econ."
PPE 4911,PPE Senior Essay II,2.0,"The second and final stage of the PPE capstone project: completion and 
presentation of the critical essay began in PPE 4811. Prerequisite(s):"
ENVR 4011,Environmental Studies Integrative Portfolio,1.0,"In this course, students will develop a portfolio and other assignments 
written throughout the courses they have taken in the minor. Students 
will then make a proposal for an essay or research project derived from 
the portfolio. With the consultation of the faculty of the Environmental 
Studies steering committee, the student will undertake this cumulative 
essay or research project in order to demonstrate the interdisciplinary 
connections in the fields of Environmental Studies. Prerequisite(s): BIOL 
2011 Minimum Grade of C and BIOL 2131 Minimum Grade of C and PHIL 
3101 Minimum Grade of C.
 
Subject – Ethics (ETHC)"
ETHC 2001,Ethics Bowl,1.0,"Preparation to participate in a regional ethics bowl competition. 
Preparation includes analyzing different ethical dilemmas in a team 
setting. Student may apply 3 credit hours of Ethics Bowl to the Ethics 
minor. Open to any major. This course is repeatable for a total of 6 hours."
ETHC 4001,Integrative Portfolio in Ethics,1.0,"Required for completion of the ethics minor. Includes the creation of a 
portfolio of papers written throughout coursework in the minor as well 
as the composition of a cumulative essay that synthesizes those papers 
to demonstrate an interdisciplinary connection between courses in the 
minor. Prerequisite(s):PHIL 3441 Minimum Grade of D. Must be enrolled 
in one of the following Minor fields of study: Ethics"
ETHC 2011,Ethics Internship,1.0 to 3.0,"Field experience in the area of ethics. Student uses their ethics training, 
while serving an organization that is approved by the ethics program. 
Student must enroll in at least 1 credit hour of Ethics Internship per 
internship experience. Student may apply 3 credit hours towards the 
ethics minor. Must be enrolled in the ethics minor and must have Junior 
or Senior ranking. This course is repeatable for a total of 3 hours. 
Prerequisite(s): PHIL 1011 Minimum Grade of C or PHIL 1031 Minimum 
Grade of C or PHIL 1051 Minimum Grade of C or PHIL 2281 Minimum 
Grade of C or PHIL 2401 Minimum Grade of C or PHIL 3401 Minimum 
Grade of C or PHIL 3201 Minimum Grade of C or PHIL 3441 Minimum 
Grade of C. May not be enrolled in one of the following Minor fields of 
study: Ethics. Must be enrolled in one of the following Classifications: 
Junior, Senior.
35
UNIVERSITY ACADEMIC PROGRAMS
Subject – Gender & Sexuality Studies (GNSX)"
GNSX 2001,Introduction to Gender and Sexuality Studies,3.0,"An introduction to interdisciplinary, critical perspectives of gender and 
sexuality to understand the concepts of social construction, power and 
privilege, and intersesectionality on race, gender, and class in society, 
both past and present. This course will consist of lecture and discussion 
of primary and secondary sources. Prerequisite(s):ENGL 1221 Minimum 
Grade of C or ENGL 1231-Minimum Grade of C or HONR 1221.-Minimum 
Grade of C or HONR 1231-Minimum Grade of C or  ENGL 1521.-Minimum 
Grade of C.Course Attributes: GE_Diverse Cultures."
GNSX 2101,Introduction to LGBT Studies,3.0,"An introductory course to ways in which various disciplines of sociology, 
psychology, history, law, and popular culture have influenced and 
interact with issues related to LGBT individuals, communities, ideals, 
or movements. Theoretical frameworks; historical dates, events, and 
movements; cross-cultural material; as well as contemporary issues 
will be presented through various readings, videos, speakers, lectures, 
writing, and classroom discussion to help inform how contemporary LGBT 
issues have been shaped by previous LGBT history and culture.
Prerequisite(s):ENGL 1221 Minimum Grade of C or ENGL 1231. Minimum 
Grade of C or HONR 1221.-Minimum Grade of C or HONR 1231 Minimum 
Grade of C or  ENGL 1521.-Minimum Grade of C. Course Attributes: 
GE_Diverse Cultures."
GNSX 2201,Women & Science,3.0,"Women have played important roles in the development of key 
concepts within the sciences - biology, chemistry, mathematics and 
physics - yet many did not receive recognition for their discoveries or 
for the significance to an understanding of accepted theories/models 
by the scientific community or the wider non-scientific community. This 
seminar will explore the work of women both in academic and industrial 
settings from a historical perspective by focusing of key women and their 
contributions to science that includes important events in their early lives 
that lead them to the sciences, their education, and the positions they 
held. These events will be placed in the context of the culture of their 
time, both scientific and the larger society. We will read primary sources 
from the women themselves in addition to the biographical sources. A 
research paper is required. Prerequisite(s):ENGL 1221 Minimum Grade 
of C or HONR 1221. Minimum Grade of C or   ENGL 1521.. Minimum Grade 
of C.Course Attributes: GE_Diverse Cultures."
GNSX 4001,Integrative Portfolio in Gender & Sexuality Studies,1.0,"Students will develop a portfolio of papers and other assignments written 
throughout the courses they have taken in the minor. Students will then 
make a proposal for an essay or research project derived form the 
portfolio. With the consultation of the faculty of the Steering Committee 
for Gender & Sexuality Studies, the student will undertake this cumulative 
essay or research project in order to demonstrate the interdisciplinary 
connections in Gender & Sexuality Studies. Prerequisite(s): GNSX 2001 
Minimum Grade of C. Must be enrolled in one of the following Minor fields 
of study: Gender and Sexuality Studies. Must be enrolled in one of the 
following Classifications: Junior, Senior.
Subject – Leadership (LEAD)"
LEAD 1001,Introduction to Leadership Studies,3.0,"Introduction to leadership studies, including interpersonal interaction, 
group dynamics, organizational behavior, connections to society, ethics, 
and decision-making skills. Emphasis on individual/personal leadership."
LEAD 3001,Leadership Seminar,3.0,"Continuation of discussion of leadership skills with the emphasis on the 
role of leadership in a broader context - organizational, societal, and 
global. Prerequisite(s):LEAD 1001 Minimum Grade of C."
LEAD 4001,Leadership Capstone,1.0,"This course will be largely structured discussion based on a variety 
of case studies, speakers and interdisciplinary readings. The primary 
outcome of the course will be an assigned summative research project 
and presentation based on an aspect of leadership (theory/model); in-
depth analysis of a particular leader - relating their history, education, 
style, successes, and failures to the concepts learned throughout 
the minor; or development of an original case study based on the 
student’s leadership success or failure and its impact on the followers, 
organization, and society. Prerequisite(s):LEAD 1001 Minimum Grade of 
C and (LEAD 3001 Minimum Grade of C or MLS 4611 Minimum Grade of 
C or NURS 4201 Minimum Grade of C or PHPR 5501 Minimum Grade of 
C or MGMT 4775 Minimum Grade of C) and (PHIL 2401 Minimum Grade 
of C or PHIL 1051 Minimum Grade of C or BIZ 1201 Minimum Grade of C 
or PLSC 4581 Minimum Grade of C or PLSC 4591 Minimum Grade of C)."
LEAD 4991,Leadership Practicum,1.0 to 2.0,"Field experience in leadership. Significant involvement in a civic project or 
a major leadership role on campus. Maintenance of a journal that reflects 
the involvement and reactions to the experience. Additional requirements 
may be included in the contract. Requires approval of the Leadership 
Studies Committee and the instructor. May be repeated as topic varies. 
Course Attributes: Requires Department Approval. Must be enrolled in 
one of the following Fields of Study: Leadership Studies Option. Must be 
enrolled in one of the following Classifications: Junior, Senior. This course 
may be repeated 1 time. This course is repeatable for a total of 2 hours.
Subject – Medical Humanities (MEDH)"
