code,title,credits,description
ACS101,Touchstone: Design Your Life at King’s,1,"This course is designed to strategically equip first-year students as they transition into the learning 
community at The King’s College. Touchstone introduces students to the skillsets most frequently cited by 
King's students to aid in their academic success, as well as creative discovery tools which students can use 
for academic, personal, and vocational discernment in the first year of college and beyond. The course is 
ideal for students who are motivated by the idea of making the most of the first semester, or who would 
benefit from thinking ahead about choosing a major or navigating coursework at King’s."
"ARH109, 309, 409",Practicum,3,"This course offers an opportunity for students to experience the depth and breadth of the contemporary art 
world through museum and auction house tours as well as gallery and artist studio visits. Focus and themes 
will vary. Students may take the class three times for credit."
ARH311,History and Theory of Curatorial Practice,3,"This course explores the important role that curators have played in the development of early modern, 
modern and postmodern artistic practice. Special attention will be paid to the curatorial practices at the 
Museum of Modern Art, from Alfred H. Barr and Dorothy Miller to William Rubin, Kirk Varnedoe, John 
Elderfield, and Ann Temkin. European avant-grande curatorial voices, like Harold Szeemann, Germano 
Celant, and Hans-lrich Obrist. This course will explore the complex relationships that curators have with 
artists and public institutions as well as the role that artists have played as curators. 
Pre-requisites: HUM210 LEC"
ARH498,Special Topics in Art History,3,"Courses offered as special topics are designed to enable the faculty to develop courses in an academic area 
of special interest to them and to their students that are not listed in the regular course offerings. Special 
topics courses may be repeated with departmental permission, provided the topic is different. Courses are 
offered for elective credit at the 200-, 300-, and 400-level. 
Pre-requisites: Junior standing"
ART109,Visual Arts Practicum,1,"This course is designed to give the students supervised practical experience in the visual arts. May be taken 
up to three times for credit; graded pass/fail."
ART231,Fundamentals of Drawing,3,"This course will be an introduction to the theoretical and perceptual methods of drawing. It will introduce 
the student to the basics of a variety of materials and subject matters. The projects will include an 
introduction to still life, figure, portrait drawing, and interior spaces. The artist will learn how to 
triangulate, model the form and be introduced to setting up a page using the gold ratio as a compositional 
tool."
ART241,Communication Design I,3,"In Communication Design I, students learn theoretical and practical skills required to combine words, 
images, and ideas to visually communicate information and to express human experiences both analog and 
on screen. Class assignments are structured to develop an online portfolio using the Adobe Creative Suite. 
Projects may include branding, editorial design, digital mock-ups, type design, motion graphics, and social 
Course Catalog 
Last Updated: 8/1/22 
Page 151 
2022-2023 
media. 
*Course material fee may apply"
ART242,Communication Design II,3,"Students will continue their investigation of the principle-based approach to the craft of visual 
communication and 2D design introduced in Communication Design I. Students will begin to understand 
the use of Color in order to construct more advanced visual communication projects. There will be an 
emphasis on the use of both traditional and digital media to complete projects. The course is appropriate 
for students interested in developing a professional approach to visually communicating in any design field. 
Pre-requisites: ART241 LEC 
*Course material fee may apply"
ART398,Special Topics in Visual Communication and Design,3,"Topics vary term to term. Typical examples include visual design for branding, web graphics and digital 
tools for graphic design 
*Course material fee may apply"
ART498,Special Topics in the Arts,3,"Courses offered as special topics are designed to enable the faculty to develop courses in an academic area 
of special interest to them and to their students that are not listed in the regular course offerings. Special 
topics courses may be repeated with departmental permission, provided the topic is different. Courses are 
offered for elective credit at the 200-, 300-, and 400-level. 
Pre-requisites: Junior standing"
BUS109,Arts Administration Practicum,1,"This course is designed to give the student supervised practical experience in arts administration and 
management. May be taken up to three times for credit; graded pass/fail."
BUS271,Financial Accounting,3,"Financial Accounting is designed to offer an introduction to accounting principles and their relationship to 
basic forms of business entities. Emphasis is placed on accounting theory, balance sheets, income 
statements, and statements of cash flow. Ethical issues in accounting practices will be addressed and 
discussed."
BUS273,Principles of Management and Organization,3,"Principles of Management and Organization (PMO) addresses why some organizations succeed and others 
fail and provides students with a conceptual framework for understanding the basic theories of 
management. Students will learn about and apply the key business disciplines (marketing, financial 
accounting, corporate finance, entrepreneurship, negotiations) to develop and implement effective 
strategies through case study analysis.  
Pre-requisites: ENG120 LEC"
