code,title,credits,description
2013*,PRINCIPLES OF FINANCIAL ACCOUNTING,3,"Basic principles of financial accounting, 
including how to record transactions, prepare financial 
statements, analyze selected accounts and use accounting 
information in decision-making. Lecture . (Fall, 
Spring)nonenone"
2023*,PRINCIPLES OF COST/MANAGERIAL ACCOUNTING,3,"Basic principles of cost accounting related to manufacturing and other 
enterprises. Use of management and cost accounting 
information in decision-making. Lecture .nonenone"
3013,INTERMEDIATE ACCOUNTING I,3,"A 
review of the fundamental processes of accounting with 
an emphasis on the basic accounting process, procedures 
and working papers, statements, cash receivables, 
liabilities, and inventory pricing and planning. Lecturenonenone"
3113,FRAUD EXAMINATION,3,"A study of 
occupational fraud including the pressures that compel 
potential fraudsters to commit fraud, how fraudsters 
rationalize their fraudulent acts, and how they find access 
to business assets. In addition, students will gain in-depth 
understanding of internal controls necessary to prevent 
fraud and deter fraudsters. Lecture .nonenone"
3133,COST ACCOUNTING,3,"Cost accounting 
systems that assist management in planning, decision-
making and control. Cost-volume-profit analysis, cost 
behavior, standard job order and process costing, and 
inventory control using Just-in-Time analysis. Lecturenonenone"
1124,INTRODUCTION TO ANIMAL SCIENCE,4,"Species adaptability, product standards and 
requirements, areas and types of production, processing 
and distribution of products; (includes meat animals, 
dairy and poultry). Lecture , laboratory . 
Corequisite: AGRCnonenone"
1124L,INTRODUCTION TO ANIMAL SCIENCE LAB,0,"LAB: Species adaptability, product standards 
and requirements, areas and types of production, 
processing and distribution of products; (includes meat 
animals, dairy and poultry). Lecture , laboratorynonenone"
1214,INTRODUCTION TO PLANT SCIENCE,4,"Factors determining growth, distribution, culture, 
improvement and utilization of economic plants. Lecture 
, laboratory . Corequisite: AGRCnonenone"
1214L,INTRODUCTION TO PLANT SCIENCE LAB,0,"LAB: Factors determining growth, distribution, 
culture, improvement and utilization of economic plants. 
Lecture , laboratory . Corequisite: AGRCnonenone"
2013*,INTRODUCTION TO AGRICULTURAL ECONOMICS,3,"A study of economic principles 
as they relate to the national economy, production, 
marketing and consumption of agricultural products. 
Lecture . General Education, Economics. (Fall, 
Spring)nonenone"
2123,PRINCIPLES OF LIVESTOCK FEEDING,3,"An introductory study of livestock feeding 
problems. The selection and preparation of feeds for the 
different classes of livestock. Practical feeding methods, 
balancing rations for various livestock species. Lecturenonenone"
2124*,FUNDAMENTALS OF SOIL SCIENCE,4,"A general course dealing with the origin, chemical, 
physical, and biological properties of soils in relation to 
plant growth, engineering and environmental uses. 
Lecture , laboratory .nonenone"
3303,PRINCIPLES OF AGRICULTURAL MARKETING,3,"Analysis of the marketing system; its 
importance to the economy and the role of the individual 
firm. Understanding of basic cnonenone"
3413,FARM AND RANCH MANAGEMENT,3,"Production planning with budgeting, market planning, 
financial records, and income tax management for the 
individual farm-ranch business. Lecture .nonenone"
3513,PRINCIPLES OF AGRICULTURAL MANAGEMENT,3,"An introduction to fundamental concepts 
associated with management of agribusiness firms, 
including finance, management, marketing and human 
resources. Special emphasis will be placed on the 
development of business plans. Computer applications 
and simulations will be utilized to model performance of 
agribusiness firms.nonenone"
3613,AGRICULTURAL AND FOOD POLICY,3,"Applications of economic principles to policy analysis 
related to agricultural and food issues facing the United 
States and the world. Includes study of the nature, causes, 
and effects of governmental participation in agriculture, 
and the interrelationships of the American agricultural 
and agribusiness sectors with the political and economic 
system, public administration, and interest group 
representation.nonenone"
3813,PRECISION AGRICULTURE,3,"Principles of acquisition and analysis of geographically 
referenced data for the management of crop and livestock 
production systems. Topics include: mapping, global 
positioning systems, geographic information systems, 
crop modeling, livestock monitoring, applications of 
technology including fixed wing, single rotor, and multi-
rotor drones, and selection of appropriate sensor systems. 
Field trips are an integral and required part of the course. 
Lecture .nonenone"
4223,INTEGRATED PEST MANAGEMENT,3,"Management of pests in agricultural situations. Topics 
include fundamentals of pest management, selection and 
safe use of herbicides and insecticides, control of weedy 
species, insect species, rodents, and nuisance wildlife, and 
regulatory agency considerations. Lecture . Independent study based on the review of 
literature, laboratory problems, or field investigations. 
Independent study : Junior or 
Senior standing.nonenone"
4333,AGRICULTURAL FINANCE,3,"An 
introduction to the planning, analyzing and controlling of 
business performance in agriculture and on the related 
financial markets. The topics covered include financial 
statements, capital structure, capital budgeting, financial 
markets, and commercial lending for farms and ranches 
as well as for agribusiness firms. Special emphasis will be 
placed on liquidity and credit, risk management, financial 
intermediaries, and outside equity capital. Lecturenonenone"
4572,AGRICULTURAL CAPSTONE,2,"Required capstone course in the agriculture major. 
Designed to bring reflection and focus to the whole of the 
university experience and to encourage students to 
integrate and synthesize aspects of agriculture with 
important concepts from related disciplines. Provides 
resources for careers, professional programs, and 
graduate school. Includes required program assessment. 
Capstone/Lecture .nonenone"
3213,"FORAGE, RANGE, AND PASTURE CROPS",3,"Principles of production management, utilization, 
and improvement of forages for livestock. Lecture .nonenone"
3312,CROP SCIENCE LABORATORY,2,"LAB: 
Application of principles of field crop science in 
laboratory and field to include seed and plant 
identification, implement calibration, and field research 
techniques. Laboratory .nonenone"
3434*,"SOIL MORPHOLOGY, GENESIS, AND CLASSIFICATION",4,"Taxonomy of Soils. A study of the internal differentiating characteristics of soils 
and their causal processes; the U. S. comprehensive 
system of soil classification; soil survey techniques. 
Lecture , laboratory .nonenone"
4673,GRAIN CROPS,3,"Principles of grain 
crop production, classification, and improvement. Lecture 
. 
ALBANIAN (ALBN) 
Communication, English, and Foreign Languagesnonenone"
4153*,INTENSIVE STUDIES IN ALBANIAN,3,"An intensive introductory study of Albanian combining 
guided independent study of the written language with 
regular oral practice of the spoken language. Two hours 
independent study, one hour lab. and six hours study of another foreign language or 
permission of the department. 
ALLIED HEALTH SCIENCES (AHS) 
Agriculture, Biology, and Health Sciencesnonenone"
1003,INTRODUCTION TO PUBLIC HEALTH,3,"Introduction to Public Health introduces the major 
concepts and principles of public health and the options 
for intervention to promote health and prevent disease. It 
is not applicable to the Biology major or minor. Lecturenonenone"
3103L,LIVESTOCK EVALUATION LAB,0,"LAB: Instruction in selection, evaluating, fitting, showing, 
and judging of multiple species of commercial livestock. 
Lecture , laboratorynonenone"
3133,BREEDS OF LIVESTOCK,3,"Study of the 
origin, history, development and characteristics of 
livestock breeds and of the specific purposes of each 
breed. Lecture .nonenone"
3143,EQUINE SCIENCE,3,"Scientific principles 
of equine anatomy, physiology, genetics, reproduction, 
breeding, nutrition, and health; current management 
practices based on these principles. Overview of the 
equine industry including career choices. Lecture . 
Prerequisite: AGRCnonenone"
3653,PRINCIPLES OF ANIMAL NUTRITION,3,"Principles of animal nutrition including 
composition, characteristics, digestion, absorption, and 
metabolism of various feedstuffs and ration additives, 
qualitative and quantitative nutrient requirements of 
each of the classes of livestock, formulation of rations for 
each of the classes of livestock. Lecture .nonenone"
4113,BEEF CATTLE SCIENCE,3,"Application 
of scientific principles and recent advances to the 
production, feeding, breeding, management, and 
marketing of commercial and purebred cattle. Lecture , laboratory .nonenone"
4113L,BEEF CATTLE SCIENCE LAB,0,"LAB: 
Application of scientific principles and recent advances to 
the production, feeding, breeding, management, and 
marketing of commercial and purebred cattle. Lecturenonenone"
4123L,SWINE SCIENCE LAB,0,"LAB: The 
application of genetics, physiological, nutritional and 
engineering principles to the efficient production of 
swine. Swine evaluation and marketing. Lecture , 
laboratory . Prerequisites AGRCnonenone"
4133,SHEEP SCIENCE,3,"Breeding, feeding, 
management, and marketing of commercial and purebred 
sheep. Lecture , laboratory . AGRCnonenone"
4133L,SHEEP SCIENCE LAB,0,"LAB: Breeding, 
feeding, management, and marketing of commercial and 
purebred sheep. Lecture , laboratory .nonenone"
4333*,PHYSIOLOGY OF DOMESTIC ANIMALS,3,"The comparative physiology of digestion, 
circulation, production, reproduction and environment of 
farm animals. Lecture .nonenone"
4423,LIVESTOCK DISEASES AND SANITATION,3,"The recognition and study of common diseases and 
parasitic infestations together with their prevention and 
control in domestic animals. Lecture . 
Prerequisite: AGRCnonenone"
4434,ANIMAL REPRODUCTION,4,"Physiological processes of reproduction in farm animals, 
gonadal function, endocrine relationships, fertility, and 
factors affecting reproduction efficiency. Emphasis is 
given to principles of artificial insemination in the 
laboratory. Lecture , laboratory . 
Prerequisite: AGRCnonenone"
4434L,ANIMAL REPRODUCTION LAB,0,"LAB: Physiological processes of reproduction in farm 
animals, gonadal function, endocrine relationships, 
fertility, and factors affecting reproduction efficiency. 
Emphasis is given to principles of artificial insemination 
in the laboratory. Lecture , laboratory . 
Prerequisite: AGRCnonenone"
1113*,BEGINNING MODERN STANDARD ARABIC I,3,"An introductory course in the language and 
culture of Arabic-speaking countries. Lecture . 
General Education, Humanities–Diversity. (Fall)nonenone"
1223*,BEGINNING MODERN STANDARD ARABIC II,3,Continuation of ARBCnonenone
2113*,INTERMEDIATE MODERN STANDARD ARABIC I,3,"An intermediate course in the language and 
culture of the Arabic-speaking countries. Lecture . 
Prerequisite: ARBCnonenone"
2223*,INTERMEDIATE MODERN STANDARD ARABIC II,3,Continuation of ARBCnonenone
3113*,ADVANCED MODERN STANDARD ARABIC I,3,"An advanced course in the language and 
culture of the Arabic-speaking countries. Lecture . 
Prerequisite: ARBCnonenone"
3223*,ADVANCED MODERN STANDARD ARABIC II,3,A continuation of ARBCnonenone
4961-3*,DIRECTED READINGS IN MODERN STANDARD ARABIC,1-3,"This course 
provides an opportunity for students to work on 
individualized topics in Arabic language, linguistics, and 
literature. Course may be repeated to a total of six hours 
with departmental permission. Independent 
study/directed readings : ARBCnonenone"
