code,title,credits,description
ACCT 3110,Intermediate Accounting I,1,
AEAH 3170,Visual Arts Integration,1,
ACCT 2010,Accounting Principles I (Financial Accounting),0,
ACCT 2020,Accounting Principles II (Managerial Accounting),0,
EDBE 3470,Foundations of Bilingual and English as Second Language Education,4,
EDBE 3480,Bilingualism and Multiculturism for English Language Learning : Issues and Perspectives,4,
AGER 4900,Special Problems,9,
ART 1300,Art Appreciation for Non-Art Majors,0,
AGER 4780,Aging Programs and Services,7,
AGER 4550,Sociology of Aging,5,
AGER 4750,Sexuality and Aging,7,
AGER 4560,Minority Aging,5,
AGER 4500,Long-Term Care Case Management with Older Adults,5,
AGER 2900,Special Problems,9,
AGER 2250,Images of Aging in Film and Literature,2,
AGRI 4900,Special Problems/Topics,9,
BCIS 3610,Basic Information Systems,6,
BCIS 4620,Introduction to Database Applications,6,
BCIS 3305,Spreadsheet Data Analysis,3,
BCIS 2610,Introduction to Computers in Business,6,
BCIS 3615,Visual Display of Business Information,6,
BCIS 1305,Business Computer Applications,3,
BIOL 4930,Special Problems,9,
BIOL 4380,Virology,3,
BIOL 4360,Marine Ecology,3,
BIOL 4350,Ethics of Science,3,
BIOL 4340,Urban Ecology,3,
BIOL 4345,Global Change Biology,3,
BIOL 4320,Introduction to Bioinformatics,3,
BIOL 4312,Developmental Biology,3,
BIOL 4310,Animal Physiology,3,
BIOL 4311,Herpetology,3,
BIOL 4260,Principles of Evolution,2,
BIOL 4301,Capstone in Urban Agriculture,3,
BIOL 4302,Conservation of Natural Renewable Resources,3,
BIOL 4120,Environmental Chemistry,1,
BIOL 4220,Neuropsychopharmacology,2,
CHEM 3360,Physical Chemistry II,3,
COMM 4351,Research Methods,3,
COMM 4335,Strategic Communication Campaigns,3,
COMM 4350,Gender and Communication,3,
COMM 4330,Crisis Communication,3,
COMM 4322,Advanced Studio Production,3,
COMM 4323,Advanced Radio Production & Performance,3,
COMM 4321,Arts Journal,3,
COMM 3352,Intercultural Communication,3,
COMM 4320,Digital Production II,3,
COMM 3341,Sports Announcing,3,
COMM 3332,Communication Law,3,
COMM 3350,"Language, Thought, and Behavior",3,
COMM 3330,Creative Concepts,3,
COMM 3331,Social Media Campaigns,3,
COMM 3326,Media Announcing,3,
COMM 3325,Video Games & Society,3,
COMM 3324,Podcasting,3,
COMM 3323,Foundations of Radio Production: Creating On-Air and Off-Air Audio Elements,3,
COMM 3322,Foundations of Studio Production,3,
COMM 3321,Digital Production I,3,
EDUC 4340,Classroom Management and Instructional Assessment,3,
EDUC 3320,Foundations of Education,3,
EDUC 4200,Student Teaching,2,
EDUC 2900,Special Problems,9,
ECON 4850,International Trade,8,
EDUC 1301,Introduction to the Teaching Profession,3,
ECON 3560,Intermediate Macro-Theory,5,
ECON 4020,Money and Banking,0,
EDUC 2301,Introduction to Special Populations,3,
ECON 1110,Principles of Macroeconomics,1,
ECON 1100,Principles of Microeconomics,1,
EDEC 4633,Nurturing Children’s Social Competence,6,
EDEC 4243,Environmental Processes and Assessment,2,
EDEC 3613,Introduction to Early Childhood Education,6,
DFST 1013,Human Development,0,
DSCI 4900,Special Problems,9,
DSCI 4800,Internship,8,
DSCI 4390,Applied Business Analytics,3,
DSCI 4510,Data Analytics Programming,5,
ENGL 1313,Computer Assisted College Writing I,3,
DSCI 4380,Case Studies in Business Analytics – Capstone,3,
HIST 4150,Mexican Immigration and the Chicano Community,1,
HIST 4020,History of Science and Technology Since Newton,0,
HIST 3350,North American Environmental History,3,
HIST 4030,Diversity and Decision Making in Dallas,0,
HIST 3330,History of American Indians Pre-Columbian to Present,3,
HIST 3340,"African American History, 1619 to Present",3,
HIST 3320,Research Methods for Professional and Public Historians,3,
HIST 3310,The Diverse History of Dallas Leadership,3,
HIST 3150,Historical and Cultural Development of the Mexican-American Community,1,
HIST 2900,Special Problems,9,
HIST 2620,United States History Since 1865,6,
HIST 2301,Texas History Survey-Core,3,
HIST 2610,United States History to 1865,6,
HIST 1060,World Civilization II,0,
GEOL 1445,Introduction to Oceanography,4,
HIST 1050,World Civilization I,0,
GEOG 4580,GIS In Health,5,
GEOG 4560,Introduction to GIS Programming,5,
GEOG 4550,Advanced Geographic Information Systems,5,
GEOG 4570,Special Topics in GIS,5,
GEOG 4520,Intermediate Geographic Information Systems,5,
GEOG 4060,Applied GIS: Map Info Professional,0,
GEOG 4050,Cartography and Graphics,0,
MGMT 4340,Dealership Variable Operations,3,
MGMT 4310,Sustainable Business,3,
MGMT 4300,"Recruitment, Selection and Placement",3,
