code,title,credits,description
2301,INTRODUCTION TO FINANCIAL ACCOUNTING,3,
2302,INTRODUCTION TO MANAGERIAL ACCOUNTING,3,
3301,INTERMEDIATE ACCOUNTING I,3,
3302,INTERMEDIATE ACCOUNTING II,3,"3301 and covers such topics as valuation of 
liabilities and investments, financial reporting of stockholder’s equity, income recognition 
and measurement of investments in debt and equity securities, special rules for revenue 
recognition, accounting for tax carrybacks and carryforwards, pension accounting, 
leases, accounting changes and error analysis, statement of cash flows, and full disclosure 
requirements in accordance with GAAP."
3304,COST ACCOUNTING,3,
3305,FUNDAMENTALS OF INDIVIDUAL INCOME TAX,3,
3306,CORPORATE AND PARTNERSHIP TAXATION,3,
3308,REGULATORY ACCOUNTING,3,
4301,ADVANCED ACCOUNTING I,3,
4303,AUDITING THEORY AND PRACTICE,3,
4306,ACCOUNTING ETHICS,3,
4308,ADVANCED ACCOUNTING II,3,
4370,TOPICS IN ACCOUNTING,3,
4398,PROFESSIONAL INTERNSHIP IN ACCOUNTING,3,
5301,ACCOUNTING FOR DECISION-MAKING,3,
1170,TOPICS IN ART,1,
1302,PRINCIPLES OF DRAWING,3,3-3).
1320,PRINCIPLES OF THREE-DIMENSIONAL DESIGN,3,3-3).
1340,INTRODUCTION TO THE VISUAL ARTS,3,
1350,COLOR THEORY,3,
2290,EXPLORATORY INTERNSHIP,2,"16 hours. 
Students are required to keep a log, communicate weekly with the supervising instructor, 
and maintain attendance requirements. 
of instructor."
2310,PHOTOGRAPHY,3,
2322,INTRODUCTION TO CLAY,3,3-3).
2330,INTRODUCTION TO DIGITAL PHOTOGRAPHY,3,
2340,ART HISTORY I,3,
2341,ART HISTORY II,3,
2351,INTRODUCTION TO ARTS MANAGEMENT,3,
2370,TOPICS IN ART,3,
2371,TOPICS IN ART HISTORY,3,2340 and
2341,Topics may include focus on a particular period or,3,
3310,ADVANCED DIGITAL PHOTOGRAPHY,3,
3311,PRINTMAKING,3,
3324,INTERMEDIATE CERAMICS,3,"2322 with the continued use of the potter’s wheel 
for production of creative ceramic art forms. It includes plaster mould work, glazing and 
slab construction."
3340,THE ART OF TEXAS: PAST AND PRESENT,3,
3360,PRODUCTION FACILITIES FUNDAMENTALS,3,
3370,TOPICS IN ART,3,
4325,ADVANCED CERAMICS,3,
