code,title,credits,description
ELT1001LAB,DC Fundamentals Lab,2,"Semester Credit Hours (61 Hours Lab)
Preferred Prerequisite: None
Corequisite: ELT1001LEC
This course focuses on basic direct-current (DC) electronics, along with the technical math required for 
an electronics technician. Students are introduced to the concepts of voltage, current, and resistance, 
along with Ohm�s law. Components discussed include conductors, semiconductors, insulators, and 
resistors, along with their characteristics in circuits. The course also covers the application of resistors in 
series, parallel, and complex circuits. Magnetism concepts, transducers, and basic types of switches are 
introduced, along with the use of a digital multimeter, and an introduction to schematics. Students are 
also introduced to the basic concepts of soldering. Shop safety is stressed throughout the 
course. Towards the end of the course, students will be given a �Benchmark Lab. Upon completion of 
this class, students should understand the concepts of voltage, current, and resistance, and how various 
DC components act in series, parallel, and complex circuits."
ELT1001LEC,DC Fundamentals Lecture,2,"Corequisite: ELT1001LAB
This course focuses on basic direct-current (DC) electronics, along with the technical math required for 
an electronics technician. Students are introduced to the concepts of voltage, current, and resistance, 
along with Ohm�s law. Components discussed include conductors, semiconductors, insulators, and 
resistors, along with their characteristics in circuits. The course also covers the mathematical application 
of resistors in series, parallel, and complex circuits. Magnetism concepts, transducers, and basic types of 
switches are introduced, along with the use of a digital multimeter, and an introduction to schematics. 
Students are also introduced to the basic concepts of soldering. Upon completion of this class, students 
should understand the concepts of voltage, current, and resistance, and how various DC components act 
in series, parallel, and complex circuits."
ELT1002LEC,AC Theory and Control Devices Lecture,2,"This course focuses on basic alternating current (AC) electronics. Students are introduced to the 
concepts of voltage, current, reactance, and impedance, AC components such as inductors and 
capacitors, and specific AC circuits such as reactance circuits and filters. This course also introduces basic 
power supplies, diodes and continues with the introduction of schematics. Upon completion of this 
class, students should understand the concepts of voltage, current, reactance, and impedance, and how 
various AC components act in series, parallel, and series-parallel circuits."
ELT1002LAB,AC Theory and Control Devices Lab,2,"This course focuses on basic alternating current (AC) electronics. Students are introduced to the 
concepts of voltage, current, reactance, and impedance, AC components such as inductors and 
capacitors, and specific AC circuits such as reactance circuits and filters. This course also introduces basic 
power supplies, diodes and continues with the introduction of schematics.  Students continue working 
with a digital multimeter and begin extensive work with an oscilloscope. Shop safety is 
stressed throughout the course.  Towards the end of the course, students will be given a “Benchmark 
Lab”.  Upon completion of this class, students should understand the concepts of voltage, current, 
reactance, and impedance, and how various AC components act in series, parallel, and series-parallel 
circuits."
ELT1003LEC,Amplifiers and Power Control Devices Lecture,2,"Didactic) 


This course focuses on basic transistor theory and Troubleshooting, and applies it to amplifiers, amplifier 
classes, amplifier configurations, operational amplifiers, and oscillators. Students learn transistor theory 
and transistor types, including BJT, FET, UJT, and IGBT, as well as decibel conversions, gain calculations, 
and amplifier construction. Upon successful completion of this course, students should understand the 
basic concepts of transistors and amplifiers and be able to troubleshoot transistor circuits."
ELT1003LAB,Amplifiers and Power Control Devices LAB,2,"This course focuses on basic transistor theory and Troubleshooting, and applies it to amplifiers, amplifier 
classes, amplifier configurations, operational amplifiers, and oscillators. Students learn transistor theory 
and transistor types, including BJT, FET, UJT, and IGBT, as well as decibel conversions, gain calculations, 
and amplifier construction. Students will also troubleshoot analog transistor circuits 
utilizing common test equipment. Towards the end of the course, students will be given a “Benchmark 
Lab”. Upon successful completion of this course, students should understand the basic concepts of 
transistors and amplifiers and be able to troubleshoot transistor circuits."
ELT1004LEC,Digital and Microcontroller Technology Lecture,2,"Didactic) 


This course focuses on digital electronic concepts, such as binary/octal/hexadecimal numbers, logic 
gates, logic circuits including flip-flops and counters, and shift registers. This course also discusses light 
microcontroller and microprocessor theory, encoders and decoders, and an in-depth study of data 
busses. Upon successful completion of this course, students should be able to describe digital electronic 
concepts, interpret binary data, and troubleshoot logic circuits."
ELT1004LAB,Digital and Microcontroller Technology Lab,2,"This course focuses on digital electronic concepts, such as binary/octal/hexadecimal numbers, logic 
gates, logic circuits including flip-flops and counters, and shift registers. This course also discusses light 
microcontroller and microprocessor theory, encoders and decoders, and an in-depth study of data 
busses. Lab projects are focused on the construction and application of digital logic, up to and including 
a digital clock with number displays. Towards the end of the course, students will be given a “Benchmark 
Lab”.  Upon successful completion of this course, students should be able to describe digital electronic 
concepts, interpret binary data, and troubleshoot logic circuits."
ELT1005LEC,Industrial Controls and Robotics Lecture,2,"This course covers a wide range of industrial electronics, components, and applications. The 
components discussed include industrial switches, relays, analog/digital sensors, and a full range of 
thyristors. This course also includes a study of residential wiring including 2 phase and 3 phase power, 
industrial control schematics, motor and generator theory, and programmable logic controllers (PLC)’s 
with applications in manufacturing. Upon completion of this course, students should be familiar with the 
various components common in residential and industrial electronics and should be able to read basic 
wiring diagrams."
ELT1005LAB,Industrial Controls and Robotics Lab,2,"This course covers a wide range of industrial electronics, components, and applications. The 
components discussed include industrial switches, relays, analog/digital sensors, and a full range of 
thyristors. This course also includes a study of residential wiring including 2 phase and 3 phase power, 
industrial control schematics, motor and generator theory, and programmable logic controllers (PLC)’s 
with applications in manufacturing. Shop safety, especially around high voltages is stressed throughout 
the course.  Towards the end of the course, students will be given a “Benchmark Lab”. Upon completion 
of this course, students should be familiar with the various components common in residential and 
industrial electronics and should be able to read basic wiring diagrams."
