code,title,credits,description
ACCT 531,Corporate Tax,3,"A study of the tax laws and regulations applicable to the formation, operation and liquidation 
of corporations and pass-through entities, including partnerships and S corporations together 
with the preparation of federal tax returns for such entities. Prerequisite: Admission to 
graduate program."
ACCT 532,Accounting for Govt & Not-for-Profit Organizations,3,"A study of accounting, budgeting, fiscal procedures and financial records of governmental funds, 
colleges and universities, health care entities and private nonprofit organizations. Prerequisite: 
Admission to graduate program."
ACCT 533,Advanced Accounting,3,"A study of business combinations, international accounting, consolidated statements, SEC 
reporting and partnerships. Prerequisite: Admission to graduate program."
ACCT 534,Advanced Tax Practice,3,"Advanced topics in taxation, including Federal tax practice and procedures, ethics and 
responsibilities in tax practice, Circular 230, AICPA Statements on Standards for Tax Services, 
tax-exempt organizations, estate and gift taxation and income taxation of estates and trusts. 
Prerequisite: Admission to graduate program; BUSI 476 or BUSI 531 Corporate Tax."
ACCT 535,Financial Statement Analysis,3,"Review and analysis of financial position and results of operation utilizing corporate annual 
reports and Forms 10K, including analysis of liquidity, operating efficiency, profitability and 
solvency. Prerequisite: Admission to graduate program."
ACCT 536,Accounting Theory and Research,3,"A study of accounting pronouncements and current issues in financial accounting, including 
the Accounting Standards Codification, Statements of Financial Accounting Concepts and 
International Financial Reporting Standards. Emphasis on research and analysis of accounting 
standards and written communications, including the preparation of a major research paper 
integrating multiple sources of accounting information. This course is writing intensive. 
Prerequisite: Admission to graduate program."
ACCT 537,Contemporary Accounting Topics,3,"Research and analysis of current issues in accounting, problem solving and communication 
in a professional environment. Prerequisite: Admission to the graduate program."
ACCT 538,Advanced Financial Reporting,3,"A study of advanced issues in financial reporting including debt and equity funding, 
preparation and analysis of financial statements considering conditions of the changing economic 
and regulatory environment. Prerequisite: Admission to the graduate program."
ACCT 571,Accounting Ethics,3,"The study of ethical theory and its application to business decisions, ethical issues in 
accounting and business, codes of ethical conduct and ethical decision making. Prerequisite: 
Admission to graduate program."
ACCT 572,Advanced Auditing,3,"Current issues and research in auditing, attestation and financial disclosures. Prerequisite: Admission 
to graduate program."
ACCT 573,Tax Research,3,"Tax research methods using an online research database and summarizing of research results. 
Focus will include development of skills in identifying problems, interpreting facts, locating 
appropriate authority, conducting research, and preparing memos and reports to communicate 
results. Prerequisite: Admission to graduate program; BUSI 476 or ACCT 531."
ACCT 574,Data Analytics in Accounting,3,"Development of a data analytics mindset and skills for accounting professionals. Students learn to apply 
tools necessary for data analysis, data visualization, and communication of insights to decision makers. 
Prerequisite: STAT 374 and ISYS 232."
ACCT 579,Special Topic in Accounting,3,"Designed for graduate accounting students. May be repeated for credit when topics change. 
Prerequisite: Admission to graduate program. 

BUSI 510-520-530. Independent Graduate Study in Business (X:X:X) 
Independent study by graduate students. Departmental approval required. Prerequisite: 
Admission to graduate program."
BUSI 531,Investments,3,"A study of the environment and tools of investment. Emphasis on securities markets; fixed-
income securities, common stock, and derivatives; portfolio construction; investment 
management and tax considerations. Reports and presentations on current periodical research 
and participation in a portfolio management exercise are required. Prerequisite: Admission to 
graduate program."
BUSI 532,Advanced Corporate Finance,3,"A study of the theories and methods used to determine the market value of firms through 
risk-based discounting of expected future cash flows; covers both projection of free cash flows 
to investors as well as selection of discount rates based on anticipated risk; international risk 
management also considered. Prerequisite: Admission to graduate program. 
BUSI 533 Operations Management (3:3:0) 
Management of the operations function of both manufacturing and service organizations: how to 
make decisions about product, processes, location, layout, inventory control, supply chains, 
quality, scheduling and job design. Prerequisite: Admission to graduate program."
BUSI 579,Special Topics in Business,3,"Designed for students pursuing a graduate degree. May be repeated for credit when topics 
change. Prerequisite: Admission to graduate program."
ECON 531,"Money, Banking and Financial Markets",3,"Study of the U.S. monetary system with emphasis on the commercial banking system, the 
operation and policies of the Federal Reserve System, monetary theory and the operation of 
financial markets. Prerequisite: Admission to graduate program."
ECON 532,Intermediate Microeconomics,3,"Study of consumer and business behavior, and of markets, including: demand theory, cost 
theory, market types, game theory and time and uncertainty. Prerequisites: Admission to graduate 
program."
ECON 533,Intermediate Macroeconomics,3,"Study of principal theories of income determination in both the short and long run and 
analysis of fiscal and monetary policy impacts on prices and output. Prerequisite: Admission 
to graduate program."
ECON 534,International Economics and Finance,3,"An introduction  to  the  theory  of  international  trade  and  finance  with  emphasis on 
contemporary applications. Commercial policy issues confronting the U.S. are considered, 
as are exchange rates and international capital flows. Prerequisites: Admission to graduate 
program."
