code,title,credits,description,,,,
ACCT 2301,Principles of Accounting I - Financial,3,"Accounting concepts and their application in transaction analysis and financial statement preparation; analysis of financial statements; and asset and equity accounting in proprietorships, partnerships and corporations.",,,,
ANTH 3357,Topics in African Studies,3,Investigation of cultural diversity of African societies and the African diaspora. Topics vary; ,,,,
ANTH 3360,Islam in Africa,3,"The course focuses on the growth of Islam in Africa, looking carefully at the ways that different regions of the continent have been home to highly varied Muslim communities.",,,,
ANTH 3359,"Gender, Media and Diplomacy in the Arab World",3,"The course looks at U.S. and international policy and its relationship to diplomacy in the Arab World. Students look at the Arab world as it has developed since the dissolution of the Ottoman Empire. This class examines the connections between media production, gender and nation-state identity.",,,,
ANTH 3355,Topics in Asian Studies,3,"Investigation of social and cultural diversity. Focuses on religion, economy, politics and social structure. Topics vary;",,,,
ANTH 3358,Topics in Middle Eastern Societies,3,"Investigation of the social and cultural diversity of peoples of the Middle Eastern societies. Focuses on religion, economy, politics and social structure. Topics vary;",,,,
ANTH 3330,Interdisciplinary Perspectives in Global Health,3,"Explores major health challenges in the world today and efforts to address them. Topics include health care systems, armed conflicts and emergencies and major global initiatives for disease prevention and health promotion.",,,,
ANTH 3352,Political/Economic Anthropology,3,Examination of the methods and theories used by anthropologists to understand political and economic systems in traditional and developing societies.,,,,
ANTH 3334,"Human Sex, Culture, Health",3,"Explores cultural and biological dimensions of human sexuality from a cross-cultural perspective; examines how cultures mediate sexually transmitted disease, reproductive health and gender roles, among other issues.",,,,
ANTH 2346,General Anthropology,3,"Study of human beings, their antecedents and related primates and their cultural behavior and institutions. Introduces the major subfields: physical and cultural anthropology, archeology, linguistics and ethnology.",,,,
ACCT 6732,Seminar in Fraud Examination and Audit Risk (Capstone),7,"Principles, analysis and application of concepts related to fraud examination, fraud detection and fraud deterrence. Current issues related to audit risk assessment and planning are also included.",,,,
ANTH 3311,Contemporary Cultural Anthropology,3,"The comparative study of culture as manifested in technology, language, personality and religion and in the social, economic and political organization of societies.",,,,
ACCT 5632,Advanced Data Analytics in ERP System,6,"This course covers topics such as data visualization, data analysis, reporting and predictive analytics. Special attention will be given to discovering trends and other patterns from data. A significant portion of this course will deal with the use of SAP’s current enterprise software systems. Data will be analyzed using existing software packages and currently accepted analytical models. ",,,,
ACCT 5633,Data Analytics Application Development,6,"The course provides students with a foundation of developing data analytics applications by using the most in-demand programming language and business intelligence tools. The course also includes a significant number of hands-on computational projects to help the students gain a thorough understanding of the practice of dealing with real-world big data, as well as prepare the students for different roles of data analytics application developers.",,,,
ACCT 5438,Fundamentals of Data Analytics in Accounting,4,"This course provides students with the fundamentals of data analytics with a focus on the area of accounting. Students will learn and practice analytical methods used in accounting, become proficient in understanding and presenting data, develop an ability to evaluate the integrity of data and gain proficiency in using computer applications for data analyses. Students will also be required to complete a written case analysis relating to data analytics.",,,,
ACCT 5631,Data Warehousing and Data Mining,6,The course provides the knowledge and skills to design and develop a data warehouse as well as extract strategic business intelligence through the application of data mining tools and techniques. It examines phases of the data warehouse design process and data aggregation. Includes numerous hands-on assignments.,,,,
ARTS 4302,Crafts Design,3,"Study of crafts history, design and techniques. Projects may include paper making, fibers, clay, printmaking, bookmaking, assemblage and/or other media. This course is studio focused and does not qualify as an art history elective.",,,,
ARTS 4310,Advanced Sculpture,3,"Allows students to develop advanced processes in sculpture. Topics may vary (Lost-Wax Bronze Foundry, Public Sculpture, etc.).",,,,
ARTS 4311,Process Sculpture,3,Study of 3-dimensional forms through wood and metal fabrication.,,,,
ARTS 4301,Methods in Secondary Art Education,3,"Examination of 7-12 standards, research and trends in theory and practice. Curriculum instructional techniques and classroom management are fully addressed. TBA practicum required. Permission of instructor required.",,,,
ARTS 4300,Methods in Elementary Art Education,3,"Examination of EC-6 standards, research and trends in theory and practice. Curriculum, instructional techniques and classroom management are fully addressed. TBA practicum required. Permission of instructor required.",,,,
ARTS 4189,Independent Study in Art,1,"Permission of instructor required. May be taken for 1 hour of credit. For 2 or 3 credit hours of Independent Study credit, students should enroll in",,,,
ARTS 4289,Independent Study in Art,2,"Permission of instructor required. May be taken for 2 hours of credit. For 1 or 3 credit hours of Independent Study credit, students should enroll in",,,,
ARTS 3369,Illustration,3,"As an introduction to illustration, this course examines different working methods to develop content-driven imagery. Assignments will use traditional illustration skills to provide exposure to various materials including pen and ink, acrylic, gouache and experimental media.",,,,
ARTS 3360,Graphic Design,3,"Overview of practices of graphic design. Presentations on contemporary design techniques. Design projects in vector drawing using Adobe Illustrator. Previous skills in art, design and computer software desirable.",,,,
ARTS 3357,History and Theory of Photography,3,Art History. Study of history and function of photography from its development in the fine arts to present-day significance of mechanical and digital reproduction. (Cross-listed with,,,,
ARTS 3356,"Mexican Art, 1500 Present",3,"Art History. Explore the history of visual art in Mexico, beginning with the period of encounter between native populations of that region of the Americas and the European explorers who arrived in the Americas in the late 15th century and continuing through the colonial, independence and modern eras. (Cross-listed with",,,,
ARTS 3352,Film Photography,3,"Exploration of methods, processes and craft of film based on photography. Techniques includes chemical development of photographic film and paper. Prerequisites:",,,,
ARTS 3355,Latin American Art of the Twentieth Century,3,"Art History. Examine the art of 20th century Latin America through a series of major modern art centers, including Mexico City, Havana, Buenos Aires, Rio de Janeiro, Bogota and Caracas. (Cross-listed with",,,,
ARTS 3351 - Art 1950,Present,3,"Art History. Examines the art of Europe, the United States and Latin America in the first half of the twentieth century. Topics include art in the aftermath of World War II, conceptualism, performance art, video art, feminist art and the contemporary art market. (Cross-listed with",,,,
ARTS 3350 - Art 1900,1950,3,"Art History. Examines the art of Europe, the United States and Latin America in the first half of the twentieth century. Topics include the birth and growth of modernism, the impact of the World Wars on the artistic communities of the regions studied and major movements such as Cubism, Dadaism, Fauvism, Impressionism and Surrealism. (Cross-listed with",,,,
ARTS 3341,Fibers,3,"History, design and techniques of woven and non-woven fiber forms.",,,,
ARTS 3340,Printmaking,3,"An exploration of the processes involved in a variety of printmaking media, including color linocut, copper etching and monotype. Other techniques that may also be covered include woodcut, collagraph and/or book arts.",,,,
BIOL 4334,Environmental Microbiology,3,"Study of activity and mechanisms of microbial contribution to global ecosystems, with emphasis on geochemical cycling, bioremediation, wastewater treatment, metagenomics and independent investigations.",,,,
BIOL 4332,Histology,3,"Study of microscopic structure of animal and human tissues, including theories of fixation and staining of clinical samples.",,,,
BIOL 4327,Plant Identification,3,Taxonomic study of herbaceous and woody plants of SE Texas,,,,
BIOL 4323,Field Biology,3,Field methods for analysis of ecological systems. Field work is required.,,,,
BIOL 4325,Environmental Toxicology,3,"Physiological and systemic effects of chemical pollutants on animals, with special emphasis on human health and disease.",,,,
BIOL 4315,Biology Practicum,3,"Practical experience at an off-campus facility, such as a laboratory, aquarium, park, wetlands center or Galveston Bay non-profit. Requires junior or senior standing, pre-acceptance interview, minimum of 10 hours of work per week and approval of instructor.",,,,
BIOL 4314,Freshwater Biology,3," ""Study of the physical", chemical and biology nature of freshwater lakes, ponds," rivers and streams.""",
BIOL 4313,Biology of Fishes,3,"Systematic study of freshwater and marine fishes, including evolution, ecology, life history and economics of important species.",,,,
BIOL 4311,Ecology,3,"Theoretical study of organisms, populations and communities related to their environments.",,,,
BIOL 4291,Laboratory Topics in Biology,2,Identified by specific title each time laboratory is offered.,,,,
BIOL 4289,Independent Study in Biology,2,Theory and practice in aquatic toxicity testing using EPA standard methods,,,,
BIOL 4278,Seminar in Biology,2,"Study of objectives, methods and culture of biological science. Literature surveys, presentations and research papers are required. Students should be in their last 12 hours of coursework.",,,,
BIOL 4305,Ecology of the Amazon,3,"Study of the physical, chemical and ecological aspects of the Amazon flooded forest. Students completing the course qualify for a discounted optional ecology study trip to the Amazon flooded forest areas of Brazil.",,,,
BIOL 4254,Laboratory for Eukaryotic Gene Expression,2,"Practical training in current gene expression studies, including isolation, quantification and handling of RNA, cDNA synthesis, RT-PCR and quantitative PCR. Microarrays and RNAi techniques are also discussed.",,,,
BIOL 4253,Laboratory for Biotechnology,2,"Current methods used in biotechnological industry and research as applied to medical, biological, agricultural and environmental aspects. Students will learn modern techniques used in genetic engineering, DNA sequencing, gene cloning, etc.",,,,
BIOL 4242,Laboratory for Biochemistry,2,Laboratory exercises in Biochemistry.,,,,
BIOL 4252,Molecular Biology Laboratory,2,Laboratory methods and techniques in molecular biology,,,,
BIOL 4241,Laboratory for Physiology,2,Laboratory exercises demonstrating physiological processes.,,,,
BIOL 4225,Environmental Toxicology Laboratory,2,Theory and practice in aquatic toxicity testing using EPA standard methods.,,,,
CENG 4279,Internship in Computer Engineering,2,Supervised work experience in an approved industrial firm or government agency. Written and oral report required.,,,,
