code,title,credits,description
ACCT 4320,Accounting Information Systems,3,A study of the important roles of accounting information; major components of accounting information systems; internal control; and flowcharting techniques. Discusses the evaluation of internal control and its integration into a computer-based accounting system. (Formerly: ACCOUNTING SYSTEMS)
ACCT 3313,Intermediate Accounting II,3,"A study of GAAP as it applies to long-term liabilities and owner’s equity; selected topics including the statement of cash flows and accounting changes; and the organization, analysis, and presentation of financial information. Course includes a comprehensive computerized financial statement project."
ACCT 2301,Principles of Financial Accounting,3,"An introduction to financial statements and their use in decision making. Topics include the accounting cycle; concepts and principles used in recording assets, liabilities, equity, revenues and expenses; internal controls; and basics of accrual basis accounting."
ACCT 4311,Principles of Federal Income Taxation,3,A study of a broad range of tax concepts and types of taxpayers. Discusses the role of taxation in the business decision-making process; the use of electronic libraries in performing basic tax research and tax planning; professional standards and ethics; and the interrelationship and differences between financial accounting and tax accounting. (Formerly: FEDERAL INCOME TAX I)
ACCT 3312,Intermediate Accounting I,3,"A study of generally accepted accounting principles (GAAP) as they apply to current assets; revenue and expense recognition; current and long-term liabilities; and the organization, analysis, and reporting of financial information."
ACCT 3303,Financial Statement Analysis,3,Develop basic skills in financial statement analysis and appreciate the factors that influence the outcome of the financial reporting process. (Formerly ACCT 3332)
ACCT 2302,Principles of Managerial Accounting,3,"Accounting concepts and methods used in managerial planning, control and decision-making. Topics include budgetary planning, control and analysis, responsibility accounting, costing techniques, standard costs, cost-volume-profit relationships and capital budgeting."
ACCT 4300,Selected Topics in Accounting,3,Selected Topics in Accounting 
ACCT 3311,Costs and Budgets,3,"A study of basic cost accounting and budgeting principles, costing and decision-making models, application of variances analysis for planning and control, and Activity-Based Costing."
BIOL 3126,Plant Biology Lab,1,Lab lecture and lab practicum of 3 hours per week. Lab practicum in plant morphology plant tissue culture and plant physiology.
BIOL 3122,Human Physiology Lab,1,Human Physiology Lab 
BIOL 2321,Principles of Microbiology,3,"This is a fundamental microbiology, with a survey of relevant microbes and microbial processes. (Replaces BIOL 2320.)"
BIOL 2420,Elementary Microbiology (with Laboratory),4,"Fundamental microbiology course designed to give a student basic training in microbiology, with a survey of relevant microbes and microbial processes. Laboratory portion of the course is designed to train students in basic microbiological techniques as well as to support classroom learning with hands-on applications."
BIOL 2320,Elementary Microbiology,3,"Fundamental microbiology course designed to give a student basic training in microbiology, with a survey of relevant microbes and microbial processes."
BIOL 2302,Anatomy and Physiology II,3,"A continuation of Anatomy and Physiology I; includes the study of the cardiovascular, lymphatic, respiratory, digestive, urinary and reproductive system."
BIOL 2301,Anatomy and Physiology I,3,"This course explores the human body as an integrated functional complex of systems. Terminology, structure and function of each organ system and the interrelationships between system are emphasized."
BIOL 4303,Medical Microbiology,3,"The course will survey important microbial pathogens, including bacteria, viruses, fungi, and parasites. The course will explore the etiology, epidemiology, host defenses, identification, diagnosis, prevention, and control for each microbe."
BIOL 4302,Independent Research in Biology,3,Independent Research in Biology 
BIOL 4300,Selected Topics in Biology,3,Selected Topics in Biology 
BIOL 4203,Biology Seminar,2,Biology Seminar 
BIOL 4313,Genetics,3,Genetics 
BIOL 4310,Biochemistry,3,"Structure and function of amino acids, proteins, carbohydrates, and nucleic acids. An introduction to enzyme kinetics, metabolism, bioenergetics and protein chemistry."
BIOL 4200,Selective Labs in Biology,2,Selective Labs in Biology 
BIOL 4142,Limnology Lab,1,Lab for Limnology. (Formerly: BIOL 4438. Credit will not be given for both BIOL 4142 and BIOL 4438.)
BIOL 4141,Environmental Microbiology Lab,1,Lab for Environmental Microbiology. (Formerly: BIOL 4437. Credit will not be given for both BIOL 4141 and BIOL 4437.)
BIOL 4137,Cell and Molecular Biology Laboratory,1,"This course discusses genetic engineering, recombinant DNA technology, PCR, DNA sequencing and biotechnology. Lab practicum for Genetics and Cell and Molecular Biology lecture. Formerly: Cell and Molecular Genetics Laboratory"
BIOL 4135,Ecology Lab,1,"Lab lecture and lab practicum of 3 hours per week. Lab practicum in analysis of pond, lake and sea organisms and pollution."
BIOL 4113,Genetics Lab,1,"Molecular lab techniques in recombinant DNA, genetic engineering, PCR, DNA sequencing and biotechnology."
BIOL 4123,Medical Microbiology Lab,1,"Survey of medically important bacteria, protozoa, virus, parasite, and mycotic pathogens. Emphasis will be put on detection of the pathogen and their growth habits."
BIOL 4110,Biochemistry Lab,1,"Biochemical techniques in proteins, enzymology, chromatography, spectrometry and nucleic acids."
BIOL 4102,Independent Research in Biology,1,Independent Research in Biology 
BIOL 4100,Selective Labs in Biology,1,Selective Labs in Biology 
BIOL 3343,Immunology,3,The study of immunity and the response of the immune system to foreign substances such as bacteria and viruses.
BIOL 3428,Coastal Marine Ecology,4,"Review of coastal marine and estuarine ecosystems, their structure, function and the role in the biosphere and hydrosphere."
BIOL 3427,Aquatic and Wetland Biology,4,Aquatic and Wetland Biology 
COSC 3333,Data Structures and Algorithms II,3,"A study of advanced data structures and algorithms and their application to computing problems including trees, red-black trees, hash table, heap, graph theory, searching algorithms, greedy algorithm, dynamic programming, divide-and-conquer, NP-completeness. Implementation of theoretical concepts for data structures and software design using preferred programming language."
COSC 4341,Internet Computing,3,"A study of web programming concepts, algorithms, and applications. Client and server side programming, including HTML, JavaScript, ASP JSP, XML, and web database programming."
COSC 4339,Telecommunication and Networks,3,"Topics include communications concepts and functions; communications in organizations; communication media, equipment, and software; networking concepts and functions; network media and equipment; networking architecture; communications and networking designs; performance monitoring and pricing; and applications in industry and business."
COSC 4340,Client-Server Computing,3,"Development, programming, and implementation of client/server systems. The course covers client/server architecture, networks, data processing over networks, multi-user systems, and business applications."
COSC 4337,Operating Systems,3,"Operating system analysis and design process scheduling; deadlocks; concurrency, memory management, file systems, disk scheduling, UNIX; other case studies."
COSC 4336,Database Systems,3,"An introduction to the concepts of database design, data description and manipulation languages, data models, entity-relationship model, normalization theory, data flow diagrams, and implementation of database systems. (Formerly: ISC 4336)"
COSC 4323,Digital Image Processing,3,Digital Image Processing 
COSC 4331,Structure of Programming Languages,3,"Description, classification and analysis of possible structures and features of different programming languages, and how the selection of different structures and features affects the functionality of the language. Topics include evolution of programming languages, names, types, binding, and scope, expressions and assignments, statement-level control, functional programming, subprograms, object oriented programming, syntax and semantics."
COSC 4321,IT Project Management,3,"Acquire and apply knowledge and skills necessary to lead, manage, and be a member of successful IT project teams such as software or game development projects. Planning, estimating, scheduling, risk management, tracking, staffing, organization, quality management, and configuration management. (Formally ISC 4321)"
COSC 4324,Computer Architecture,3,"Methods of organizing hardware and associated software into efficient, reliable systems. Topics include design of processors, memory and communication, fault tolerance, and parallel computation."
COSC 4322,Artificial Intelligence and Behavioral Modeling,3,"Introduces the student to logic programming, knowledge representation, heuristic search methods, path finding, learning models, neural networks, character navigation, game playing, and expert systems. Readings in contemporary Computational and Conventional AI. Term project."
