code,title,credits,description
ACCT 2301,Principles of Accounting I - Financial,3,"Accounting concepts and their application in transaction analysis and financial statement preparation; analysis of financial statements; and asset and equity accounting in proprietorships, partnerships and corporations."
ACCT 5633,Data Analytics Application Development,6,
ANTH 3330,Interdisciplinary Perspectives in Global Health,3,"Explores major health challenges in the world today and efforts to address them. Topics include health care systems, armed conflicts and emergencies and major global initiatives for disease prevention and health promotion."
ANTH 3311,Contemporary Cultural Anthropology,3,"The comparative study of culture as manifested in technology, language, personality and religion and in the social, economic and political organization of societies."
ACCT 5631,Data Warehousing and Data Mining,6,The course provides the knowledge and skills to design and develop a data warehouse as well as extract strategic business intelligence through the application of data mining tools and techniques. It examines phases of the data warehouse design process and data aggregation. Includes numerous hands-on assignments.
ACCT 6732,Seminar in Fraud Examination and Audit Risk (Capstone),7,"Principles, analysis and application of concepts related to fraud examination, fraud detection and fraud deterrence. Current issues related to audit risk assessment and planning are also included."
ACCT 5632,Advanced Data Analytics in ERP System,6,
ACCT 5438,Fundamentals of Data Analytics in Accounting,4,"This course provides students with the fundamentals of data analytics with a focus on the area of accounting. Students will learn and practice analytical methods used in accounting, become proficient in understanding and presenting data, develop an ability to evaluate the integrity of data and gain proficiency in using computer applications for data analyses. Students will also be required to complete a written case analysis relating to data analytics."
ANTH 2346,General Anthropology,3,"Study of human beings, their antecedents and related primates and their cultural behavior and institutions. Introduces the major subfields: physical and cultural anthropology, archeology, linguistics and ethnology."
ACCT 5432,Acct for Govt & Not Profit,4,"The course covers the government and not-for-profit environment, fund accounting, budgeting, revenue and expenditure recognition, financial reporting requirements and current issues."
ACCT 5431,Advanced Accounting,4,"Accounting and reporting of domestic and foreign consolidated corporations and branches, governmental and other not-for-profit entities."
ACCT 5337,ERP System Concepts and Practices,3,This course examines the integrated nature of business processes and how ERP systems can be configured to handle those processes. Students receive hands-on experience using SAP’s current enterprise software. (Cross-listed with ISAM 5431).
ACCT 5336,Systems Analysis and Design,3,This course provides a step-by-step approach to developing computer-based information systems. It covers topics such as systems development life cycle; systems development methodologies; system requirements determination and analysis; user-interface design; programs design and system architecture. The course includes a comprehensive group project. (Cross-listed with ISAM 5635.).
ACCT 5335,Information Systems Audit and Security,3,"Discussion of the audit process, internal controls as they relate to technology, and business process documentation. Study of business processes, deployment and management of technology resources, risk assessment and change management, IT networks and IT governance. Extensive hands-on experience detecting fraud using generalized audit software (IDEA). Discussion of computer forensics and other current topics related to IT security. Written communication skills are emphasized through the preparation of audit reports based on findings from fraud detection assignments. Covers topics tested in the Certified Information Systems Auditor (CISA) exam. (Cross-listed with ISAM 5731)."
ARTS 4311,Process Sculpture,3,
ACCT 5334,Advanced Database Applications Development,3,"The course covers advanced commands and techniques to: design, develop and maintain a database; insert and update data in a database, retrieve information and generate reports and develop and implement database objects to manage, control and administer database processing. Includes numerous hands-on assignments. The coursework requirements also include Oracle SQL and Oracle PL/SQL certifications. (Cross-listed with ISAM 5632.)"
ACCT 5333,Fundamentals of Databases and Business Intelligence,3,"The topics covered include the following: (1) database concepts such as database models, modeling techniques and normalization; design, development, and maintenance of a relational database; formulation of commands to insert and update data, retrieve information, generate reports from a database; and (2) business intelligence concepts such as: business intelligence architecture; schema of a data warehouse; online analytical processing; big data; and NoSQL databases. Includes numerous hands-on assignments. (Cross-listed with ISAM 5331)."
ARTS 4310,Advanced Sculpture,3,"Allows students to develop advanced processes in sculpture. Topics may vary (Lost-Wax Bronze Foundry, Public Sculpture, etc.)."
ARTS 4302,Crafts Design,3,"Study of crafts history, design and techniques. Projects may include paper making, fibers, clay, printmaking, bookmaking, assemblage and/or other media. This course is studio focused and does not qualify as an art history elective."
ARTS 4289,Independent Study in Art,2,"Permission of instructor required. May be taken for 2 hours of credit. For 1 or 3 credit hours of Independent Study credit, students should enroll in"
ARTS 4301,Methods in Secondary Art Education,3,"Examination of 7-12 standards, research and trends in theory and practice. Curriculum instructional techniques and classroom management are fully addressed. TBA practicum required. Permission of instructor required."
ARTS 3369,Illustration,3,"As an introduction to illustration, this course examines different working methods to develop content-driven imagery. Assignments will use traditional illustration skills to provide exposure to various materials including pen and ink, acrylic, gouache and experimental media."
ARTS 4300,Methods in Elementary Art Education,3,"Examination of EC-6 standards, research and trends in theory and practice. Curriculum, instructional techniques and classroom management are fully addressed. TBA practicum required. Permission of instructor required."
ARTS 4189,Independent Study in Art,1,"Permission of instructor required. May be taken for 1 hour of credit. For 2 or 3 credit hours of Independent Study credit, students should enroll in"
ARTS 3360,Graphic Design,3,"Overview of practices of graphic design. Presentations on contemporary design techniques. Design projects in vector drawing using Adobe Illustrator. Previous skills in art, design and computer software desirable."
ARTS 3357,History and Theory of Photography,3,Art History. Study of history and function of photography from its development in the fine arts to present-day significance of mechanical and digital reproduction. (Cross-listed with
"ARTS 3356 - Mexican Art, 1500",Present,3,"Art History. Explore the history of visual art in Mexico, beginning with the period of encounter between native populations of that region of the Americas and the European explorers who arrived in the Americas in the late 15th century and continuing through the colonial, independence and modern eras. (Cross-listed with"
ARTS 3355,Latin American Art of the Twentieth Century,3,"Art History. Examine the art of 20th century Latin America through a series of major modern art centers, including Mexico City, Havana, Buenos Aires, Rio de Janeiro, Bogota and Caracas. (Cross-listed with"
ARTS 3351 - Art 1950,Present,3,"Art History. Examines the art of Europe, the United States and Latin America in the first half of the twentieth century. Topics include art in the aftermath of World War II, conceptualism, performance art, video art, feminist art and the contemporary art market. (Cross-listed with"
ARTS 3352,Film Photography,3,"Exploration of methods, processes and craft of film based on photography. Techniques includes chemical development of photographic film and paper. Prerequisites:"
