Code,Title,Credits,Description
CCT203,Principles of Accounting I,3,"An introduction to financial accounting  Coverage includes 
understanding the business, processing transactions through 
the accounting cycle, preparing financial statements, and 
measuring and evaluating financial performance  Fall, 
 
 
ACCT204"
CCT225,Accounting Information Technology,3,"This course introduces accounting software and related 
applications"
CCT301,Intermediate Accounting I,3,"A detailed study of financial accounting and statement 
presentation, including the application of accounting theory 
and use of authoritative resources"
CCT302,Intermediate Accounting II,3,"A detailed study of financial accounting and statement 
presentation, including the application of accounting theory 
and use of authoritative resources"
CCT313,"Federal Income Tax Accounting- 
Individuals and Sole Proprietors",3,"Study of tax theory and application of federal tax laws for 
individuals and sole proprietors"
CCT350,Topics in Accountancy,3,"In-depth theoretical and practical coverage of accounting 
concepts in a specialized area, with emphasis on use of the 
conceptual knowledge in planning and problem solving"
CCT412,Auditing,3,"A detailed study of the audit environment and the financial 
statement 
audit, 
including 
professional 
standards, 
engagement planning, risk assessment and internal control 
evaluation, audit procedures, completion of the audit, and 
reporting"
CCT414,Accounting Systems & Controls,3,"The study of essential elements and activities in an 
accounting information system, including how information 
flows through the various accounting cycles"
CCT416,Advanced and Nonprofit Accounting,3,"The study, analysis and recording of high-level, complex 
accounting transactions and business events, and related 
financial reporting for consolidated corporate groups, other 
business-entity combinations, partnerships, foreign business 
activities, governmental, non-profits, estates and trusts in 
accordance with FASB, GASB, and IFRS"
HIS301,Topics in Art History,3,"In-depth study of topics in various fields and periods of art 
history Topics may include contemporary theory, visual 
culture studies, Native American Art, and Arts of the United 
States Course can be repeated with different topics"
HIS303,"Fortification to Reformation: The History of  
York, England to the 15th Century",6,"A five-week interdisciplinary course centered on York 
Minster"
HIS401,Professional Studies in Art  History,3,"Advanced studies in art history including research, museum 
work, 
curriculum 
development 
and/or 
conference 
presentation"
ART105,Art for Elementary Teachers,3,"The development of  familiarity  with  various  materials  and  
techniques  for use in the elementary classroom, working in 
paper-maché, mosaic, crayon, chalk, paint, basic printing 
processes and clay"
ART290,"Sophomore Art & Design Career  
Seminar",1,"This class will involve field trips or speakers, research and 
self-evaluation"
ART301,Advanced Painting,3,Studio
ART303,Figure Studies,3,Studio
ART305,Advanced Ceramics - Vessels,3,Studio
ART306,Advanced Ceramics – Sculpture,3,Studio
ART315,Intermediate Photography,3,Studio
ART319,Front End Web Design,3,"Students will learn web design process, audience analysis, 
user interface design, and responsive design utilizing Raster 
and Vector imaging software and Muse to create websites"
ART320,Sculpture II,3,Studio
ART325,Foundations of Art Therapy,2,"Introduces foundational theories and traditional approaches 
of art therapy practice, emphasizing the psychodynamic 
roots of the field"
ART326,Approaches in Art Therapy,2,"Explores alternative theories and techniques in the field of 
art therapy"
ART328,Graphic Design II,3,"This course is a of Graphic Design focusing on page 
layout/production processes"
ART329,Video Art,3,Studio
ART338,Graphic Design – Digital Media,3,Studio
ART339,"User Experience I: Understanding User 
Experience",3,"User Experience (UX) refers to all elements of a customer’s 
interaction with a particular product, and this course will 
focus on UX design for technology products"
ART340,"User Experience II: Building Compelling User 
Experiences",3,"This course builds upon User Experience I and teaches 
students how to build effective user experiences through a 
rigorous process of implementing best practices, testing 
designs and iterating"
ART341,"User Experience III: Capstone- Goal Oriented 
Web Design",3,There is no substitute for experience
ART355,Advanced Photography & Digital Video,3,Studio
ART360,Methods for Elementary Art Teachers,3,"Teaching art at the elementary and middle school levels, 
including 
advocacy, 
art 
education 
theory 
and 
interdisciplinary education models"
ART361,Elementary Art Practicum,1,Field experience teaching art to elementary students
ART390,Senior Art & Design Studio I,3,"This multidisciplinary studio course is designed for 
advanced study in the student’s medium or media of focus"
ART391,Senior Art &Design Studio II,3,"This multidisciplinary studio course is designed for 
advanced study in the student’s medium or media of focus"
ART401,Senior Career Preparation,2,"Majors graduating in the Spring, or December of the next 
year, write press releases and design publicity materials"
ART402,Senior Exhibition,2,"Majors graduating in the Spring, or December of the next 
year, prepare exhibitions, install them in the Gallery, write 
press releases, design announcements"
ART460,Methods for Secondary Art Educators,3,"Art education theory, resources and classroom management 
related to secondary teaching"
ART461,Secondary Art Practicum,1,Field experience teaching art to secondary students
ART475,Capstone: Graphic Design Portfolio Prep,3,The capstone course in Graphic Design degree
ART489,Senior Research in Art Education,2,Classroom discussions about the practices of teaching art
RTM400,Capstone,3,"Create an event plan that expands work begun during the 
internship and culminates in a public presentation"
AT501L,AT Seminar I,1,"This course supplements the associated athletic training 
clinical skills course"
AT502L,AT Seminar II,1,"This course supplements the associated athletic training 
clinical skills course"
AT503L,AT Seminar III,1,"This course supplements the associated athletic training 
clinical skills course"
IOL104,Animal Biology,4,"Primary emphasis is on the structure, development and 
physiology of animals"
IOL130,Local Flora,3,"A field course dealing with collection, identification and 
classification of wild flowers and trees of Michigan and 
other designated areas"
IOL209,Human Nutrition,3,"The fundamentals of nutrition and their applications in 
meeting nutritional needs during the life span"
IOL212,Vertebrate Zoology,4,"A survey of the major classes of vertebrates, including 
anatomy, behavior, ecology, distribution and taxonomy"
IOL217,Principles of Ecology,3,"The structure and function of living systems, including 
patterns of relationship between organisms and their 
environment"
IOL218,Ecology Laboratory,1,"Laboratory and field exercises designed to illustrate 
principles discussed in BIOL 217"
IOL221,Principles  of  Genetics,3,"Mechanisms  and  laws of inheritance, the nature of the 
genetic material, and the structure and function of genes and 
the regulation of their activity"
IOL223,Genetics Laboratory,1,"Laboratory exercises and experiments designed to illustrate 
principles discussed in BIOL221"
IOL262,Invertebrate Zoology,4,"The biology of invertebrates (excluding insects but 
including parasitic invertebrates) with reference to anatomy, 
ecology, taxonomy and physiology"
IOL301,Junior Seminar,1,Required for all junior Biology majors
IOL310,Neurobiology,4,An overview of neuroscience
IOL312,Principles of Neuropharmacology,3,"A combination of the principles of neuroscience and 
pharmacology will be applied"
IOL315,Pathophysiology,3,"The development of disease states and/or conditions due to 
biological or aberrant physiological processes is compared 
to normal physiological function"
IOL324,Conservation Biology,3,"Course Descriptions 
 
200 
Degree Index      Table of Contents 
An examination of the genetic and ecological concepts 
important in developing plans for preserving species and 
habitats"
IOL326,Microbiology,4,"An introduction to microorganisms including bacteria, fungi 
and viruses"
IOL333,Biochemistry,3,"The chemistry and biological significance of proteins, 
enzymes, lipids, nucleic acids, and porphyrins, including the 
generation of phosphate bond energy via metabolism and its 
use in biosynthesis"
IOL334,Biochemistry Laboratory,1,"Lab techniques for the study macromolecules  
(Co-requisite: BIOL333) Offered as needed"
IOL343,Molecular Cell Biology,3,"The structure and functioning of eukaryotic cells, with 
emphasis on the control of gene expression Molecular 
aspects of the control of development are also discussed"
IOL345,Methods in Molecular Biology,3,"The basic techniques utilized in molecular biology are 
discussed"
IOL351,Plant Physiology,3,"Advanced discussion of cellular and tissue function and 
whole organism biochemical processes in living plants"
IOL352,Plant Ecology,4,"The interaction of plants and their biotic and abiotic 
environment"
IOL355,Evolutionary Biology,3,"The study of evolutionary processes and mechanisms, with 
consideration of deep evolutionary time, the fossil record, 
micro-evolutionary forces, including genetic drift, gene 
flow, mutation, and selection, as well as mechanisms of 
speciation and species concepts"
IOL364,Entomology,4,"The biology of insects with reference to anatomy, ecology, 
taxonomy and physiology, focusing on local species and 
medically important ones"
IOL365,General Physiology,4,"The structural and functional correlates of organismal 
biology, including membrane specializations, intermediary 
metabolism 
and 
homeostatic 
control 
mechanisms"
IOL366,Biology of Parasites,4,The biology of common parasites of humans and animals
IOL369,Developmental Biology,4,"Modern principles of gene regulation and biochemical 
control of plant and animal developmental processes, from 
embryo through senescence"
IOL370,Immunology,3,"Principles of immunology, including the structure of 
antigens and the regulation of cell-mediated and humeral 
immunity"
IOL375,Animal Behavior & Communication,4,"The behavior and communication of a variety of animals, 
particularly vertebrates, examined at the physiological, 
ecological and evolutionary levels"
IOL378,Ichthyology,4,"The principles of classification, distribution, behavior and 
adaptation of fishes, within an ecological and evolutionary 
context"
IOL379,Herpetology,4,"The principles of classification, distribution, behavior and 
adaptation of amphibians and reptiles, within an ecological 
and evolutionary context"
IOL380,Ornithology,4,"The principles of classification, distribution, behavior and 
adaptation of birds, within an ecological and evolutionary 
context"
IOL381,Mammalogy,4,"The principles of classification, distribution, behavior and 
adaptation of mammals, within an ecological and 
evolutionary context"
IOL401,Capstone: Senior Seminar,2,"Student-led discussions of recent advances in biological 
research"
IOL455,Human Anatomy,3,"Dissection and the anatomical exploration of the human 
body using cadavers"
BUS101,Introduction to Business,3,"Course exposes students to the business environment and 
current issues in business"
BUS242,Business & Professional Communication,3,"Focus upon the analysis and application of communication 
principles and practices applicable to interpersonal, team, 
public, and technological communications for successful 
participation in organizational and professional activities"
BUS305,Business Law I,3,"Review of legal procedure, the judicial system; cries and 
torts; intellectual property; internet law; contracts; forms of 
agreement 
and 
performance; 
the 
discharge 
and 
enforceability of contractual arrangements; analysis of sales 
of goods under the UCC; employment law and 
discrimination"
BUS346,"Social, Political & Ethical Issues in  
Business",3,"Topics include the social, legal, moral and ethical pressures 
exerted on business enterprises by the external environment; 
the rules and ethical responsibilities of business persons; 
corporate governance; and the assessment of social and 
ethical performance"
BUS350,Topics in Business Administration,3,"In-depth theoretical and practical coverage of concepts in a 
specialized area of business administration, using the 
conceptual knowledge for planning and problem solving"
BUS406,Advanced Business Law,3,"Legal problems of business enterprises, including principals 
and agents, partnerships and corporations, and government 
regulation of business such as securities and antitrust; 
creditors’ and debtors’ rights including bankruptcy; 
Uniform Commercial Code"
BUS449,Capstone: Strategic Management,3,"This course introduces key concepts, tools, and principles of 
strategy formulation and competitive analysis"
CFP101,Introduction to the CFP Credential,1,This course serves as the orientation to the CFP program
CFP301,General Principles of Financial Planning,3,"This course provides a comprehensive examination of the 
general principles of financial planning, professional 
conduct and regulation, and education planning"
CFP302,Risk Management & Insurance Planning,3,"This course provides a comprehensive examination of the 
general principles of risk management and insurance 
planning for individual and family clients"
CFP303,Investment Planning,3,"This course explores the securities market, sources of 
information, risk/return, stocks, bonds, options, futures, and 
security analysis, and culminates in portfolio construction 
Course Descriptions 
 
203 
Degree Index      Table of Contents 
and analysis"
CFP304,Tax Planning,3,"This course covers taxation for individuals, sole 
proprietorships, partnerships, and corporations, as well as 
the tax aspects of investments, insurance, annuities, and 
retirement planning"
CFP305,Retirement Savings & Income Planning,3,"This course provides the foundation to conduct a retirement 
needs analysis and understand the different types of 
retirement plans available to individuals, and to recognize 
the key factors that affect retirement plan selection for 
business owners"
CFP306,Estate Planning,3,"This course introduces federal gift, estate, and transfer taxes 
and planning techniques used to minimize the impact of 
these taxes on transfers of wealth"
CFP307,Financial Plan Development,3,"Students will develop a complete financial plan, through the 
use of case studies and interviewing mock clients"
CFP309,CFP Examination Preparation,1,This course serves as the conclusion to the CFP program
HEM205,Environmental Chemistry,3,"Course Descriptions 
 
204 
Degree Index      Table of Contents 
Application of basic concepts of chemistry to issues of air, 
water, and soil pollution"
HEM206,Environmental Chemistry Laboratory,1,Laboratory to correspond to CHEM205
HEM214,Chemical Demonstrations,1,"The theory and practice of performing classroom 
demonstrations exhibiting chemical principles"
HEM222,Scientific Writing,3,"Focuses on skills necessary for writing in the social and 
physical sciences"
HEM224,Organic Chemistry I,3,"The first course of two-semester sequence focuses on the 
study of common organic functional groups including their 
structures, nomenclature, isomerism and  stereochemistry"
HEM225,Organic Chemistry II,3,"This course is a continuation of CHEM224 and includes 
additional classes of organic compounds and their reactions"
HEM226,Organic Chemistry Laboratory I,1,"The course introduces students to basic laboratory 
techniques of preparation, purification, and identification of 
organic compounds"
HEM227,Organic Chemistry Laboratory II,1,"The course focuses on qualitative organic analysis in which 
both classical and instrumental techniques are utilized to 
elucidate organic structures"
HEM273,Nuclear Weapons and Power,2,"The science and politics of nuclear weapons and nuclear 
power, including the discovery of the atom, the Manhattan 
Project, the Cold War arms race, the prospects for nuclear 
terrorism, and the controversies over nuclear power and 
nuclear waste disposal"
HEM303,Analytical Chemistry,3,"The study of chemical stoichiometry and equilibria, 
including elementary principles of volumetric, gravimetric, 
spectrophotometric and potentiometric analysis as applied to 
chemical analysis"
HEM305,Analytical Chemistry Laboratory,1,"Experiments to learn analytical chemistry laboratory 
techniques and data analysis with emphasis on volumetric 
and 
gravimetric 
analysis, 
molecular 
and 
atomic 
spectrophotometry, and modern separation techniques"
HEM321,Thermodynamics,3,"Equilibrium properties of chemical systems related to 
reactions in gas and solution phases, and heat and energy 
transfer"
HEM322,Quantum Mechanics,3,"Starting with a historical foundation into the deviations from 
Newtonian Physics, this course explores the quantum world 
and its relation to chemical systems"
HEM325,Physical Chemistry Laboratory,1,"Experiments to demonstrate concepts learned in the realm of 
physical chemistry"
HEM341,Biochemistry I,3,"Coverage of the chemistry and biological significance of 
biological 
macromolecules 
including 
nucleic 
acids, 
proteins, lipids and carbohydrates"
HEM342,Biochemistry II,3,"Coverage of the biosynthesis and metabolism of nucleic 
acids, proteins, cofactors, amino acids, lipids and 
carbohydrates"
HEM344,Biochemistry Laboratory,1,"The study of biochemical lab techniques with emphasis on 
isolation, purification, and characterization of biological 
macromolecules, electrophoresis, and enzyme kinetics using 
purified proteins"
HEM401,Chemistry Seminar,1,"Students will continue research in a narrow focus and 
present the material in an oral presentation like one that 
would be found in a professional conference setting"
HEM404,Advanced Inorganic Chemistry,3,"Chemical theories and laws and their applications to 
inorganic systems, including quantum theory, wave 
mechanics, the periodic table, chemical bonding, inorganic 
stereochemistry, coordination compounds, acids and bases, 
non-aqueous solvents and the chemistry of selected 
elements"
HEM405,Advanced Physical Chemistry,3,"Quantum mechanics and statistical thermodynamics with 
applications to chemical systems"
HEM406,Advanced Organic Chemistry,3,"Advanced theories of molecular structure and reactivity of 
organic compounds with attention to reaction mechanisms 
and the methods by which information is obtained about 
molecules and reactions"
HEM407,Instrumental Analysis,3,"The theory of modern instrumental analysis techniques, 
including ultraviolet and visible spectrophotometry, 
emission, atomic absorption, infrared and nuclear magnetic 
resonance 
spectroscopy, 
gas 
chromatography 
and 
electrochemical methods"
HEM408,Instrumental Analysis Laboratory,1,"The application of modern instrumental analysis techniques, 
including UV/Vis, emission, atomic absorption and mass 
spectrometry, infrared and nuclear magnetic resonance 
spectroscopy, gas and liquid chromatography, and 
electrochemical methods"
HEM411,Recent Advances in Biochemistry,3,"This course will focus on recent advances in biochemistry 
through detailed analysis of the current literature"
HEM415,Advanced Topics in Chemistry,3,"In-depth study of chemistry topics, which vary by semester 
and based on instructor"
HEM470,Capstone: Interdisciplinary Chemistry,2,"The students will work on an individual research project 
relating to a current topic in chemistry"
CIS101,Fundamentals of Python Programming,3,"In this Google-developed course, students learn how to 
program with Python, and collaboratively solve problems 
using real-world examples such as graphics, image 
processing, cryptography, data analysis, astronomy, games, 
and environmental simulations"
IS101L,"Fundamentals of Python Programming  
Lab",1,In-class projects to accompany CIS101
CIS140,Computer Applications for Business,3,"A practical course in business problem solving, decision 
making 
and 
presentation 
of 
information 
utilizing 
microcomputer technology"
CIS201,Introduction to Data Science,3,"In this course, students learn how to gather, clean, 
normalize, visualize and analyze data to drive informed 
decision-making, using spreadsheets, SQL, Python, and 
other tools to work collaboratively on real-world datasets"
IS201L,Introduction to Data Science Lab,1,In-class projects to accompany CIS201
CIS250,Advanced Web-Based Programming,3,"The use of advanced programming techniques, using server-
side soft- ware to develop dynamic web pages"
OMM109,Beginning Media Performance,3,"(HUMANITIES) 
The goal of this course is to introduce students to techniques 
used by media talent"
OMM205,"Public Relations I: Introduction to Public  
Relations",3,"An overview of public relations, with an emphasis in 
understanding that various career opportunities in the field, 
along with learning the job skills of the entry-level public 
relations position"
OMM210,Digital Media Production I,3,"This course introduces students to production techniques 
used in digital multimedia laboratories and studios"
OMM218,"Introduction to Communication 
Theory",3,"The goal of this course is to introduce students to theories 
and methods used in communication studies"
OMM285,"Podcasting, Audio and Radio 
 Production",3,"Overview of the principles of radio production and 
operations, with an emphasis on producing programming for 
terrestrial, 
satellite, 
podcast 
and 
streaming 
radio"
OMM290,Live Stream Video & TV Production,3,"This course provides students with basic training in Video 
Streaming and the Live-In-Tape studio production process 
via crew management, project development, production 
technique, and combining these with Field Productions"
OMM303,Public Relations Tactics,3,"This course provides students with a range of Strategic 
Communications and Public Relations tactics that they can 
deploy to create effective, targeting messaging"
OMM308,Mass Media Criticism,3,An overview of critical media studies theories and methods
OMM311,Media Activities: ACTV,1,"This class prepared students for the rapidly change world of 
professional video broadcasting by working for ACTV"
OMM312,Media Activities: WVAC,1,"Students taking this course will gain experience producing 
live radio programming for WVAC"
OMM317,PR Performance and Production,3,"This course will introduce students to the role of the public 
relations media technician"
OMM338,Crisis Communication,3,"Students will learn how to develop and execute effective 
crisis communication strategies in both the private and 
public sector using a variety of principles and techniques"
OMM339,Advanced Digital Media Production,3,"The goal of this course is to offer students advanced training 
production 
techniques 
used 
in 
digital, 
multimedia 
laboratories and studios"
OMM345,Sports Broadcasting,3,"The course will cover a look at the early history of radio and 
TV and how the industry morphed into sports broadcasting"
OMM385,Advanced Audio Production,3,"This course presents students with the opportunity to create 
audio productions which require advanced planning and 
production skills, and access to more advanced production 
equipment"
OMM387,Documentary Filmmaking,3,"This course provides a survey of the history, theory and 
operation of the documentary film genre"
OMM388,Fiction Filmmaking,3,"This course aims to expose students to a variety of fiction 
filmmaking styles and theoretical application"
making,COMM390.  BFA Career Workshop,3,"This course gives students an opportunity to develop their 
career goals and building necessary portfolio material 
required for professional work in filmmaking"
OMM416,Topics in Communication Arts,3,"Examination of a particular topic of interest to faculty and 
students in COMM Arts"
OMM422,Capstone: Experience in COMM Arts,3,"The goal of this course is to provide students with an 
opportunity to do an independent professional project or 
research 
project 
in 
media 
studies 
or 
public 
relations"
CSC372,"Principles and Techniques of Data Analytics 
II",3,"This course builds on Principles and Techniques of Data 
Analytics I to provide students with a more robust 
understanding of the tools of a Data Scientist"
CCC101,College Writing and Inquiry,3,"CCC101 provides foundational knowledge and practice in 
communication proficiency and information literacy"
CCC102,Public Speaking,3,"CCC102 builds on communication proficiency and 
information literacy skills developed in CCC101"
CYM170,Introduction to Cybersecurity,3,"In today’s world, no one is safe from cyber-attacks, but 
everyone can be prepared"
CYM270,Cybercrime and Governance,3,"Cybercrime is one of the biggest threats companies face on 
a daily basis, and they are constantly looking for new hires 
to help protect them"
CYM370,Modern Cybersecurity,3,"Just as technology is constantly evolving, so too must 
cybersecurity to keep pace with changing trends"
CYM371,Network and Systems Security,3,"Modern organizations know that even the strongest 
systems can be vulnerable to cyber-attacks"
CYM470,Capstone: Ethical Hacking,3,"To stop a hacker, you need to be able to think like a hacker"
ANC150,Dance Workshop I,1,"Explores various dance styles through the preparation and 
performance of solo and group dance"
ANC250,Dance Workshop II,1,"Explores various dance styles through the preparation and 
performance of solo and group dance"
ANC290,Mechanics of Movement for Dancers,3,"Course Descriptions 
 
215 
Degree Index      Table of Contents 
Focusing on human skeletal and muscular anatomy and its 
relationship to movement skills and postural alignment, the 
course will analyze gravity and its effect on posture and 
muscular function"
ANC350,Dance Workshop III,1,"Explores various dance styles through the preparation and 
performance of solo and group dance"
ANC360,"Musical Theatre Dance Composition &  
Choreography",2,"Through Musical theatre repertoire, the performer will 
examine the structure of stage choreography through dance 
theme, construction of dances and small group studies"
ANC370,Dance Composition & Choreography,2,"Selection of dance theme, construction of dances and small 
group studies"
CON301,Economics of Money & Banking,3,"Course Descriptions 
 
216 
Degree Index      Table of Contents 
Definition and role of money in the economy: classical, 
Keynesian and modern views will be covered"
CON302,Financial Markets & Institutions,3,"The course provides a comprehensive view of how financial 
markets and institutions function"
CON303,Quantitative Methods in Economics,3,"The course focuses on the basic mathematical and statistical 
concepts used in economic analysis, including various ways 
economic information can be graphed to show issues such 
as income and wealth distribution"
