Course Code,Course Title,Credit Hours,Description
ACC 101 ,Accounting Professional Development I ,1,". Overview of alternative career paths in accounting through 
interaction with accounting professionals. Prerequisite: None."
ACC 203 ,Financial Accounting Principles ,3,". Basic financial accounting systems, concepts, principles, and the 
accounting environment. The primary goal of this course is to provide students with an understanding of the accounting 
process used to record, summarize, and communicate financial information for decision-makers. Prerequisite: None."
ACC 204 ,Managerial Accounting Principles ,3,". Basic managerial accounting systems, concepts, and principles. The 
study of the uses of relevant information for internal planning, control, performance evaluation and decision-making. 
Topics include cost behavior, cost allocation, product costing, budgeting, interpretation, and performance reporting of 
cost data for management's decision-making needs. Prerequisite: MinGrade C in ACC 203."
ACC 219 ,Managerial Accounting ,3,". A study of the uses of accounting information for planning and control in an 
enterprise area of study including budgeting, financial analysis, basic cost accounting reports, and capital budgeting. Not 
for accounting majors. Prerequisite: ACC 204."
ACC 301 ,Intermediate Accounting I ,3,". Accounting concepts, and techniques involved in the accounting process and 
the preparation of financial statements. Emphasis is on accounting for most assets and financial statements from the 
perspective of both preparers and users, accounting standard-setting process, and economic consequences of accounting 
standards. Students will demonstrate critical thinking and analytics skills. Prerequisite: MinGrade of C in ACC 204."
ACC 302 ,Intermediate Accounting II ,3,". A continuation of Intermediate Accounting I. Topics include accounting for 
intangible assets, current and long-term liabilities, stockholders' equity, earnings per share, and investments. Students 
will demonstrate critical thinking and analytics skills. Prerequisite: MinGrade of C in ACC 301."
ACC 303 ,Cost Accounting and Analytics ,3,". The development and analysis of cost data for budgeting and other 
managerial planning, costing, control, and decision-making activities. Topics include cost modeling, job and process 
costing, standard costing, activity-based costing, and budgeting. Prerequisite: MinGrade of C in ACC 204."
ACC 304 ,Accounting Professional Development II ,1,". Professional development activities, including business 
communication, for accounting majors. Prerequisite: ACC 101."
ACC 306 ,Intermediate Accounting III ,3,". A continuation of Intermediate Accounting II. Topics include revenue 
recognition, accounting errors and changes, foreign currency, international, income taxes, pensions, leases, and financial 
analysis. Prerequisite: MinGrade of C in ACC 302."
ACC 321 ,Accounting Analytics and Decisions ,3,". This is an interactive course that focuses on accounting concepts, 
data and business decisions. Cases will be used to integrate different areas of accounting, data analytics and decision-
making. Prerequisite: ACC 204, MIS 213."
ACC 351 ,Taxation I ,3,". A basic federal income tax course covering concepts of taxation applicable to all taxable 
entities but primarily relating to individuals. Introduces research approaches to new regulations, cases, and tax issues as 
well as methods of analysis.. Prerequisite: MinGrade of C in ACC 204. 
COURSE DESCRIPTIONS, AAMU Undergraduate Bulletin, 2023-2024 
~ 218 ~"
ACC 395 ,Accounting Internship ,1,". A practical working experience in the form of a co-op and/or internship in the 
field of Accounting to gain professional knowledge and skills. A student must complete ACC 101 and ACC 304 before 
registering for this course. Accounting faculty/academic advisors need to approve students' internship/co-op sponsors. 
Prerequisite: ACC 101 and ACC 304."
ACC 401 ,Independent Study ,3,". This course entails the completion of a research project to be accomplished under the 
supervision of a member of the accounting faculty. The project will involve a detailed study of a topic of particular 
interest to the accounting profession. The results of the study will be documented by a research report. Prerequisite: 
Senior standing, instructor consent, advisor consent."
ACC 403 ,Advanced Cost Accounting ,3,". A study of the application of cost accounting data to managerial planning 
and control, emphasizing special purpose cost accounting statement and recent developments in the use of quantitative 
tools in management decision-making. Recommended for accounting majors. Prerequisite: ACC 303."
ACC 421 ,Advanced Accounting ,3,". Application of accounting principles related to business combination, 
partnerships, and special entities. Students will also gain an understanding of other advanced and emerging accounting 
topics. Prerequisite: MinGrade of C in ACC 302."
ACC 431 ,Fraud Examination ,3,". This course examines the principles of fraud deterrence, detection, investigation, 
and prevention; including the fraud triangle and characteristics of fraud perpetrators and organizations that are more 
likely to have frauds perpetrated against them. Prerequisite: ACC 204."
ACC 450 ,Accounting for Non-Profit Organizations ,3,". A study of the systems of fund accounting used by 
government units, charitable organizations, and educational institutions. Special emphasis will be placed on the 
accountability/stewardship function accomplished by the accounting system of a non-profit organization. Prerequisite:"
ACC 451 ,Taxation II ,3,". The federal taxation of business entities and owners, primarily focusing on corporations and 
shareholders. Emphasis is also on tax research, planning, analysis, and the impact of tax provisions on business decisions 
and choice of entity form. Prerequisite: MinGrade of C in ACC 351."
ACC 460 ,Accounting Theory ,3,". The study and analysis of conceptual and contemporary accounting issues. 
Emphasis is on the use of case studies, recent accounting trends and controversial topics. Prerequisite: MinGrade of C in"
