Code,Title,Hours,Description
UNIV 010,Strategies for College Success,"2 non-credit hours, traditional undergrad","By participating in this course, students will explore their identity as image bearers of God and 
look at how this identity shapes their lives as students at CCU. Through the lenses of Purpose, 
Work, Rationality, and Value, students will be introduced to the concepts and skills that build 
success in college. As part of a larger first-year experience program, students will participate in 
activities to develop self-awareness regarding strengths and weaknesses, find motivation for 
academic success, and learn strategies needed to persist in college."
BSCS 100,Bible Lands and Lifeways,3 hours,"A survey of environmental, cultural, and social issues, which add perspective to biblical 
interpretation."
BSCS 380,Archaeological Fieldwork,1–3 hours,"Guided participation in the excavation and study of a near Eastern or Mediterranean site. Study 
to be arranged with specific faculty members with the approval of the Biblical Studies Chair and 
Dean."
BSCS 381,Tours of Bible Lands,3 hours,"The experience of travel study seminars in Bible lands organized by specific faculty and 
scholarly guides. 
 
Biblical Exegesis & Cultural Criticism"
BSEG 100,Introduction to Biblical Interpretation,3 hours,"An introduction to the theory and practice of biblical interpretation with dual focus on the 
Bible’s ancient formation and contemporary use."
BSEG 101,Christian Belief & Practice 1,3 hours,"(Prerequisites: BSOT 100 or 150, BSNT 100 or 150) 
This course introduces students to various contemporary teachings within Christianity, their 
biblical or socio-historical origins, and how these teachings manifest in both the individual realm 
129 
 
of articulation and the more social or ecclesial realm of action and responsibility. Students take 
this course to discover, describe, and assess such teachings on the basis of biblical principles and 
values, and to observe how biblically-based teaching becomes meaningful through Christian 
practice."
BSEG 201,Christian Belief & Practice 2,3 hours,"Once the foundational teachings within Christianity have been discussed, students will learn the 
conceptual basis for their own modes of praxis, whether or not that basis is biblical, and the ways 
Christian dialogue can at once achieve for the individual meaningful insights that clarify the 
biblical vision of Christian practice, and also serve as a foundation for the believing and 
practicing Church. (Prerequisite: BSEG 101)"
BSEG 110,Bible Survey,3 hours,"An introductory study of the books of the Old and New Testaments noting the historical 
background, authorship, purpose, plan, and basic content. Emphasis will be given to the 
characteristics of different biblical genres."
BSEG 150,Theology of Work,3 hours,A course designed to integrate theology and the practice of labor in society.
BSEG 295,Biblical Studies Tutorial,3 x 1 hour,"This course is a department-wide course, taken by all biblical studies majors at the same time.  
The course focuses on the community of learning and covers current issues in biblical studies, 
and their application, through weekly reading preparation and discussion. The course is taught by 
all members of the biblical studies faculty and is taken each Spring, three distinct times for 3 
hours total credit."
BSEG 300,Biblical Exegesis and Hermeneutics,3 hours,"An introduction to the theory and practice of biblical interpretation with dual focus on the Bible’s 
ancient formation and contemporary use. (Prerequisites: BSOT 220, BSOT 225, BSOT 230,"
BSEG 321,eTools for Biblical Languages and Research,0 hours,"This course is a hermeneutics course designed to guide students through the effective analysis 
and use of original languages in the exegesis of biblical texts. Students will access the original 
languages through the Accordance software application and learn how to utilize that tool 
130 
 
effectively to study the text in its historico-linguistic setting. Students will then be guided 
through important research techniques and resources necessary to facilitate achieving a well-
informed exegetical perspective that will serve as the foundation for sermons and lessons. 
Finally, students will be instructed on writing, composition and citation practices that help them 
to communicate their research in either academic papers, or sermons and lessons. (Prerequisite:"
BSEG 350,Theology of Contemporary Christian Thought,0 hours,"This course provides students with a working knowledge of the key vocabulary, concepts, 
people, and traditions in Christian theology. Students will develop skills to think theologically, 
addressing major cultural and ecclesial issues in contemporary society. Students will engage in 
reading and discussion covering a number of theological concepts and persons to show how 
theology has influenced Christianity to the present day. Gaining access to a broad base of 
theological understanding will enable students to critically evaluate truth claims culturally, 
ecclesiastically, and societally."
BSEG 480,Seminar on the Bible & Culture,3 hours,"This senior level course is the capstone course for CCU college level degree programs. The 
course challenges students to utilize their education thus far in the engagement and presentation 
of issues and questions related to the Christian experience in today’s culture. As a seminar 
course, the course is driven by student content and facilitated by the professor. (Prerequisite:  
Senior Status—90+ hours earned toward degree. This course may be used for the Senior Thesis 
for those students pursuing the BA in Biblical Studies degree.) 
 
Biblical Languages"
BSGK 210,New Testament Greek 1,3 hours,"Part one of a two-part course that introduces the student to the grammar and syntax of Koine 
Greek (New Testament Greek), with a view towards the translation and exegesis of the New 
Testament."
BSGK 211,New Testament Greek 2,3 hours,"Part two of a two-part course that introduces the student to the grammar and syntax of Koine 
Greek (New Testament Greek), with a view towards the translation and exegesis of the New 
Testament.  (Prerequisite:  BSGK 210) 
 
131"
BSGK 310–319,Greek Exegesis,3 hours,"A study of selected New Testament texts. Emphasis is placed on the process of translation and 
subsequent exegesis of the texts.  (Prerequisites:  BSGK 210, BSGK 211)"
BSHB 210,Biblical Hebrew 1,3 hours,"Part one of a two-part course that introduces the student to the grammar and syntax of Biblical 
Hebrew, with a view towards the translation and exegesis of the Hebrew Bible."
BSHB 211,Biblical Hebrew 2,3 hours,"Part two of a two-part course that introduces the student to the grammar and syntax of Biblical 
Hebrew, with a view towards the translation and exegesis of the Hebrew Bible.  (Prerequisite:"
