code,title,credits,description
AGEC 2313,Food Marketing to a Diverse Population,3,"(D) Prerequisite: None. Food and beverage demand and preferences of socially and ethnically constructed groups in American Society. Real life issues of 
marketing to a diverse population, including Native, Asian, African and Hispanic Americans, and lowincome populations. 
Agriculture Economics (AGEC)"
AGED 2011 ,Topics and Issues in Agricultural Education,1,"Class 1. An exploration into the world of teaching secondary agricultural education with a focus on the role and purpose of the comprehensive agricultural 
education program. Observation of teachers in an experiential manner by actively interviewing agricultural education teachers, school principals, and appropriate 
state staff; assisting with FFA activities; and observing students’ SAE opportunities. Offered Spring Semester only. 
Agriculture Engineering (AGEN)"
AGEN 1123,Engineering in Agriculture,3,"Class 3. A study of the use of machines, power, and engineered systems for the production and processing of agricultural products. Applications are made in 
land and water resources development and utilization. Offered fall semester only. 
Agriculture Equine Technology (AGEQ)"
AGEQ 1113,Skeletal Equine Anatomy and Technology,3,"Class 3. The course is a survey of the structure of the horse. The student is required to learn all bones, muscles, and tendons in the anatomy and physiology of 
the horse. This course also includes basic health indications and first aid treatments. Offered Fall Semester."
AGEQ 1132,Equine Evaluation,2,"Class 1, Lab 3. The study of equine selection procedures as a form to function process. Incorporates the application of oral reasons."
AGEQ 2133 ,Equine Breeding and Management,3,"Class 3. A course designed to review the reproductive systems of the horse. Includes field trips to various breeders to study breeding methods. Offered Spring 
Semester."
AGEQ 2225 ,Specialized Equine Training,5,"Class 0,"
AGEQ 2235 ,Advanced Performance Training,5,"Class 0, Lab 6. Prerequisite:"
AGEQ 2245 ,Equine Externship,5,"Class 0,"
AGEQ 2250 ,"Individual Practicum 
1",5,"Lab Varies. Prerequisites: Completion of all required courses in the Equine Technology Program. Consent of the instructor needed. Designed to meet the needs of 
individual students who are not participating in the Externship Program. The student will greenbreak a horse and continue with it through advanced training under 
minimal supervision."
AGEQ 2401,Hoof Care Basics,1,"Class 1. Identify correct anatomy, proper steps and skills to trim front and hind feet for the performance horse. Offered Fall Semester"
AGEQ 2411,Agriculture Construction Braiding,1,"Class 1. Proper tying techniques for halter and leads. Platt Braids 3, 4,5,6,7 and 8. Industry application of Braids. Offered Spring Semester."
AGEQ 2412,Rodeo sports and Equine Performance,1,"Class 0,"
AGEQ 2421,Introduction to Leatherworking,1,"Class 1. Beginning repair of strap goods; Basic skills in preparation, cutting out, casing, setting up and completion of simple leather project. Offered Fall Semester"
AGEQ 2422,Advanced Rodeo Sports and Equine Performance,2,
AGRI 1111 ,Agriculture Orientation,1,"Class 1. Required of all agriculture students. Methods of study, advertisement, organization of curriculum, and discussion of requirements and job opportunities in the 
various fields of agriculture. Offered Fall Semester."
AGRI 2003 ,Agriculture in the Environment,3,"Class 3. A study of contemporary issues related to agriculture and the environment including conservation of natural resources, water quality, use of fertilizer and 
chemicals, intensive animal production, animal wellbeing, land utilization, and use of genetically engineered plants and animals."
AGRI 2300 ,"Special Topics 
1",5,"Class 1, Lab 5. Consent of the instructor needed. The study and/or analysis of a selected topic in Agriculture. Individual and/or group study. May be repeated 
with a different topic."
AGRO 1213,Introduction to Plant and Soil Systems,3,"Class 3. Introduction to the concepts of plant and soil systems including cropland, rangeland, and pastureland. A systems approach to the importance of plant and 
soil resources to the producer, consumer, and citizen; modern management and production practices; maintenance of natural resources"
AGRO 2013 ,Applied Plant Science,3,
ANSI 1102 ,Live Animal Evaluation,2,"Lab 3. Using tools for selection, including performance records, pedigree information, and visual appraisal in the evaluation of cattle, swine, sheep, horses, and 
poultry. Offered Fall Semester."
ANSI 1124 ,Introduction to the Animal Sciences,4,"Class 3, Lab 2. Students are introduced to the production, marketing, and distribution of meat, milk, eggs, and other animal products. Also includes the study of 
commodity specialization, world need, and distribution of farm animals."
ANSI 2122 ,Advanced Live Animal Evaluation,2,Lab 3. Prerequisite:
ANSI 2123 ,Livestock Feeding,3,"Class 3. Nutrients and their functions, nutrient requirements of the various classes of livestock; composition and classification of feed stuffs and ration formulation. 
Offered Spring Semester."
ANSI 2253 ,Meat Animal and Carcass Evaluation,3,"Class 2, Lab 2. Prerequisite:"
ANSI 2402 ,Purebred Sales and Promotions,2,"Class 2. Students study the organization and management of livestock sales. Students also learn advertising, photography, ad copy layout, animal selection, catalog, 
and animal preparation. This course also includes clerking, sales budget, receipt of payments, and transferring of registration papers. Class will conduct performance 
tested bull sale. Offered Fall Semester. 
Art (ART)"
