Course Code,Course Title,Description,Credit Hours
COM 1100,Public Speaking in Society,"The objective of this course is to provide students with an introduction to the principles of public 
discourse and civic engagement. The course offers a practical background in recognizing, analyzing, and 
constructing arguments in the public sphere. Readings, class time, and assignments focus on the skills 
and concepts necessary for successful application of the principles to a civic engagement project.","Three 
hours"
COM 2130,Interpersonal Communication,"An examination of the process of communication in interpersonal relationships focusing on the role of 
the self, people perception, the environment, and the interaction of interpersonal orientations. Personal 
skills in resolving conflict and stimulating friendships are examined through exposure to theory, practical 
exercises, and the analysis of experiences in current relationships.",Three hours
COM 2170,Communication Ethics and Theories,"This course explores moral reasoning and practice in the communication field as well as the major 
theoretical approaches to communication. Case studies are used to examine truth telling, business 
pressures, deception, fairness, privacy, social justice, and the relationship between ethics, theories, and 
practice. Areas of application include advertising, the entertainment industry, politics, and the church.",Three hours
COM 2610,Political Communication,"An introductory course to the study of political communication. Topics include political theory, 
campaign communication, public address, navigating media, and electoral politics.",Three hours
COM 2700,Public Relations Principles,"An introduction to the theory and practice of public relations, emphasizing its publics, management 
function, writing skills, communication processes, tools, and professional ethics. Each student works 
with a community partner to facilitate public relations in a real-world setting. Prerequisite: COM 1100.",Three hours
COM 3030,Persuasion,"An overview of the sources, formats, and features of persuasion. Students analyze persuasion in 
political, religious, advertising, and everyday rhetorical settings. They also examine the nature of 
effective and ineffective persuasion. Students will make persuasive presentations. Prerequisite: COM 
1100.",Three hours
COM 3320,Critical Media Studies ,"A critical survey of mass media and its effect on societal structure. This course surveys media from a 
variety of perspectives in order to understand the role that media has in shaping various worldviews. It 
explores economic controls, governmental controls, problems, effects of media, and societal evolution 
of the information and entertainment media.",Three hours
COM 3340,American Political Rhetoric,"This junior-level seminar course is an overview of the history and confluence of rhetoric and policy 
decisions. Content spans the history of American identity in an effort to identify and understand the 
traits that have constituted American political discourse. Topics include, but are not limited to, the 
speeches and writings of early explorers, presidents, civil rights leaders, suffragists, businesspeople, and 
religious leaders.",Three hours
COM 3440,Professional Communication,"A course in advanced public speaking and presentation techniques incorporating digital tools. Students 
learn about and practice video conferencing techniques, digital presentation tools, social media 
application, and online interviewing with application for communication specialists, aspiring business 
professionals, and others. Includes best practices, tips, and tricks for each medium and each 
opportunity. Prerequisite: COM 1100.",Three hours
COM 3460,Organizational Communication and Behavior,"A survey of various applications of communication theory to business and organizational life. Special 
emphasis is given to small groups, interviewing skills, and persuasive proposals. Prerequisite: COM 1100.",Three hours
