Code,Name,Credit Hours,Description
A 101,Art Appreciation,3,This course is an introduction to the fundamentals of the visual
A 103,Two-Dimensional (2D) Design,3,This course provides an introductory study of the elements and
A 104,Three-Dimensional (3D) Design,3,This studio design course covers the elements and principles
A 105,Prints I,3,"This course provides an introduction to the tools, methods, and"
A 107,Drawing I,3,This course will cover the fundamentals of drawing as applied
A 108,Drawing II,3,This class continues the investigation of various drawing media
A 107,A 110 Painting I,3,"This course will provide a brief history of painting and an in-
troduction to the color wheel and various painting techniques."
A 111,Painting II,3,This course will provide a continuation of Painting I concepts and
A 110,A 112 Ceramics I,3,This course will provide an introduction to the use of clay as an
^A 113,Typography,3,"This course will provide a study of the principles of contem-po-
rary typographic design. The course will focus on size, form, con-
trast, color, spacing, and design of the printed word and printed"
A 114,Watercolor I,3,This is a fundamental course in the use of color via the medium
A 115,Watercolor II,3,This is an advanced course in the use of color via the medium of
A 114,A 117 Ceramics II,3,This course continues the instruction and skill building begun
A 112,^A 121 Design Software Applications,3,"This course provides an introduction to computer hardware,"
A 201,Art History Survey: Prehistoric to Medieval,3,"This course provides an introductory survey of the art and archi-
tecture of the Western world from Prehistoric times through"
A 202,Art History Survey: Renaissance-Contemporary,3,This course provides an introductory survey of the art and
A 205,Art Methods,3,An examination of the principles and practices of teaching art to
^A 215,Graphic Design,3,"This course covers the resources, materials, and procedures of"
^A 223,Computer Graphics - Illustration,3,"This course provides an introduction to contemporary illustra-
tion practice, including the use of traditional drawing, painting,"
A 103,"or 
A 121 recommended)
^A 224 Computer Graphics - Enhanced Photography",3,"This course provides experience in the use of high-tech en-
hanced photography software. Course projects will incorporate"
A 240,Art Seminar,1,"This course is designed for students interested in research, dis-
cussion, and studio experience in various media within academic"
A 250,Advanced Studio I,1,This studio course is designed for the student with an interest in
A 251,Advanced Studio II,1,This studio course is designed for the student with an interest in
A 250,A 252 Advanced Studio III,1,This studio course is designed for the student with an interest in
A 251,A 260 Portfolio Preparation,1,This course is intended to provide students with the skills and
AB 108,Principles of Animal Science,3,This course will introduce the field of animal science. The course
AB 114,Ag Orientation,2,This course will provide an introduction to the various careers
^AB 116,Applied Agronomy for Precision Ag,3,"This course presents instruction in plant identification, plant"
^AB 118,Agriculture GIS,3,"This course focuses on the concepts and procedures used in dis-
covering and applying the spatial relationships within and among"
AB 126,Principles of Agronomy,3,"This course presents instruction in crop plant classification, use,"
^AB 128,Agriculture Electronic Devices & Systems,3,This course is designed to teach a person with basic electrical
^AB 130,Precision Farming Systems,3,"This course provides an overview of precision agriculture con-
cepts and the tools of the discipline: Global Navigation Satellite"
^AB 132,Agriculture Data Management Systems,3,This course will prepare the student in the use of various spatial
^AB 134,Precision Farming Hardware,3,"This course will prepare the student in the use of various preci-
sion farming hardware components. Basic concepts of electricity,"
^AB 136,Introduction to Agricultural GIS,3,"This introductory course focuses on the concepts and proce-
dures used in discovering and applying the spatial relationships"
^AB 138,Remote Sensing,3,This course examines fundamental concepts and theories from
^AB 142,Field Mapping for Decision Making,3,"The primary purpose is to demonstrate the various tools avail-
able in industry to assist GIS Specialists, Precision Ag Technicians,"
^AB 144,Intermediate Agricultural GIS,3,This intermediate course builds upon on the concepts and
^AB 146,Aerial Systems Management,2,"This course introduces Unmanned Aerial Systems (UAS) plat-
forms, their history, and commercial applications, with special"
^AB 148,Positioning Systems Management,3,"The Global Navigation Satellite System (GNSS) is a worldwide,"
AB 202,Agriculture Economics,3,This course provides an introduction to the field of agricultural
AB 203,Soils and Soils Lab,4,"This course will provide a study of the physical, chemical, and bi-
ological properties of soils and how these properties determine"
AB 210,"and 
PS 111 or",2,"years high school chemistry or Instructor Permis-
sion"
AB 207,Fundamentals of Animal Nutrition,3,"This course covers the role of carbohydrates, proteins, lipids,"
AB 108,"or Instruc-
tor Permission
AB 208 Applied Animal Nutrition",3,This advanced course will cover various techniques involved in
AB 207,"or Instructor Permission
AB 210 Crop Science",4,This course will examine plant morphology and anatomy and
AB 212,Livestock Production,3,This advanced animal science course is designed so students can
AB 108,"or Instructor Permission
AB 216 Farm Marketing",3,This introductory course will cover operations involved in the
AB 202,"or 
Instructor Permission
AB 220 Beef Production",3,This course will cover the basic husbandry practices used in
AB 108,"or Instructor Permission
AB 222 Sheep Production",3,This course is designed to introduce the technology required
AB 108,"or Instructor Permission
AB 224 Range Management",3,This course is designed to give students knowledge about forage
AB 210,"or Instructor Permis-
sion
AB 225 Animal Diseases and Health",3,"This course will cover general concepts and applications for de-
signing and developing an effective flock or herd health program."
AB 227,Ag Microcomputer,3,"This course is designed for students who have had some ex-
perience with computers. The course will cover the start-up"
^AB 244,Precision Agriculture Capstone,3,The primary goal and function of this capstone course is to
^ACR105,Painting & Refinishing I,3,"This course is the first in a four-course sequence covering all as-
pects of painting and refinishing auto body surfaces.  The course"
^ACR115,Non-Structural Analysis & Damage Repair I,4,This course is the first in a four-course sequence covering all
^ACR125,Structural Analysis & Damage Repair I,2,This course is the first in a four-course sequence covering all
^ACR135,"Airbrush, Fiberglass, and Pin Striping",3,This course is designed to enhance skills in auto collision repair
^ACR155,Painting & Refinishing II,3,This course is the second in a four-course sequence covering all
^ACR165,Non-Structural Analysis & Damage Repair II,4,This course is the second in a four-course sequence covering all
^ACR175,Structural Analysis & Damage Repair II,2,This course is the second in a four-course sequence covering
^ACR185,Panel Fabrication,3,This course is designed to give students the skills needed to
ACR 125,^ACR205 Painting & Refinishing III,3,This course is the third in a four-course sequence covering all
ACR 155,^ACR215 Non-Structural Analysis & Damage Repair III,4,This course is the third in a four-course sequence covering all
ACR 165,^ACR220 Introduction to Estimating,3,Damage analysis and estimating covers the process of analyzing
^ACR225,Structural Analysis & Damage Repair III,3,This course is the third in a four-course sequence covering all
ACR 175,^ACR235 Fleet and Commercial Vehicles,3,This course is designed to allow students to use knowledge
ACR 175,^ACR255 Painting and Refinishing IV,4,This course is the final one in a four-course sequence covering
ACR 205,^ACR265 Non-Structural Analysis & Damage Repair IV,5,This course is the final one in a four-course sequence covering
ACR 215,^ACR270 Advanced Estimating & Bluepriting,3,This course teaches systematic approaches to determining the
^ACR275,Structural Analysis & Damage Repair IV,3,This course is the final one in a four-course sequence covering
ACR 225,^ACR285 Mechanical & Electrical,3,"This course will focus specifically on auto mechanical and elec-
trical systems and will cover inspection, diagnosis, service, and"
ACR 225,^ACR295 Occupational Work Experience,0,Occupational Work Experiences are available to students who
^ADM115,Administrative Procedures I,3,"This course provides for an understanding of the concepts,
69
terminology, skills and procedures needed for employment in an"
^ADM116,Office Simulations I,3,This course is designed to give students simulated practice with
^ADM121,Proofreading and Editing,3,This course is designed to assist students in identifying and
^ADM131,Microcomputer Applications I,3,"This course is designed to examine and apply the skills, tools, and"
^ADM135,Business Finance,3,This course is designed to reinforce an understanding of business
^ADM138,Project Management I,2,"This course aims to develop a foundation base of the con-
cepts and solutions a student would need for successful proj-
ect management. Focus areas for this course combine project"
^ADM141,Applied Media Technology,3,This course offers an overview of the role that media play in
^ADM152,Office Simulations II,3,This course is a continuation of material presented in ADM116.
ADM 116,^ADM161 Administrative Procedures II,3,This course provides additional information on mail and shipping
ADM 115,^ADM171 Microcomputer Applications II,3,This course provides advanced instruction on how to use
^ADM180,Accounting I,3,"This course gives students a broad overview of business opera-
tions and the basic skills needed to keep better financial records."
^ADM182,Project Management II,2,"This course aims to develop a foundation base of the con-
cepts and solutions a student would need for successful proj-
ect management. Focus areas for this course combine project"
ANT112,General Anthropology,3,"This survey course will cover the biological and cultural evolu-
tion of humans and will emphasize culture as an adaptive and"
^AUT101,Electrical I,3,This course is designed for the study of automotive electrical
^AUT121,Auto Electricity and Electronics,2,"This course deals with the operation, diagnosis, and service of"
^AUT122,Brakes I,3,"This course is designed to provide students with an understand-
ing of how various basic and antilock brake systems work."
^AUT125,Undercar Maintenance,3,In this course students will study and perform tasks from the
^AUT126,Underhood Maintenance,3,In this course students will study and perform tasks from the
^AUT132,Engine Performance I,3,This course provides current information to develop the skills
^AUT142,Automotive Technology Lab I,5,This lab course is designed to give students practical work
^AUT151,Heating and Air Conditioning,2,This course is designed provide knowledge of basic heating
AUT 142,^AUT161 Steering and Suspension I,3,The suspension and steering systems course is a lecture course
^AUT192,Automotive Technology Lab II,5,This course is a lab course designed to give students practical
AUT 142,^AUT193 Hybrid and Fuel Cell Vehicles,1,This course is designed to give students an introduction to
^AUT201,Manual Drive Trains and Axles,2,This course is designed to provide an in-depth study of torque
AUT 192,^AUT211 Automatic Transmissions/Transaxles I,2,This course provides an in-depth study of torque delivery and
AUT 192,^AUT221 Engine Performance/Drivability II,2,This course provides current information to develop more
AUT 192,^AUT242 Automotive Technology Lab III,7,This lab course is designed to give students practical work
AUT 192,^AUT251 Engine Repair I,2,This course begins with basic engine diagnostics and progresses
AUT 242,^AUT255  Automatic Transmission/Transaxle II,1,This course continues the study of automatic transmissions and
AUT 242,^AUT261 Auto Service Management,2,This interactive course covers the essentials and rationale for
AUT 242,^AUT281 Automotive Technology Lab IV,7,This lab course is designed to give students practical work
AUT 242,^AUT291 Service Management Practicum,1,"This course is a continuation of the AUT261 Auto Service Man-
agement course intended to develop skills to assist the student"
AUT 242,"71
^AUT295 Occupational Work Experience",0,Occupational Work Experiences are available to students who
BS 101,College Biology,5,This general education course will examine the plant and animal
MAT 090,", ENG 095, or Assessment 
BS 104 Human Anatomy",4,This course is an anatomical study of the systems forming the
