code,title,credits,description
AB 010,Laundry Skills,1,"In this seven-week course, students will focus on the skills needed to buy and care for clothing, including but not  limited to, how to wash, dry, and fold their own laundry.    AB 015 Nutrition and Fitness  (1 credit - Spring)   This seven-week course will acquaint students with skills to plan healthy meals, exercises that will help them to  stay healthy, and other general health skills.    AB 020 Cooking  (1 credit - Fall, Spring)   This course will explore kitchen safety and preparation of meals. In addition, grocery shopping skills, including  comparison shopping, will be addressed. Students enroll in this course every semester.    AB 030 Caring for Personal Needs  (3 credits - Spring Every Four Years)   Students will be introduced to a variety of skills regarding personal needs in this course, including filling out  health information, proper hygiene and dress, illness prevention and treatment, personal safety, and making  appointments.    AB 035 The Life Skill of Budgeting and Finance  (3 credits - Fall)   This course considers the different levels and the abilities of the students. Students will learn how to make a  budget and stay within their given budget. They will also learn how to use a credit/debit card, pay with cash, and  use a checkbook. Students will know how to count money to pay and to know if they have received the correct  amount of change. Students enroll in this course every fall semester.    AB 040 Making Good Decisions  (1 credit - Fall Even Years)   Students will learn problem solving and flexible thinking skills and how to set goals and make a plan to achieve  them. Additionally, self-evaluation skills will be practiced: evaluating and giving self-feedback for decisions  made and how to improve these decisions.    AB 045 Self-Awareness  (1 credit - Fall Odd Years)   This course focuses on students identifying their own needs and preferences. Emphasis will be placed on  awareness of how one's behavior affects others.    AB 060 Relationship Roles and Communication with Others  (3 credits - Spring Every Four Years)   A detailed examination of relationships. Students will identify reasons for establishing relationships, personal  responsibilities in these relationships, joint responsibility in relationships, and demonstrate effective relationships  with friends and others. Verbal and nonverbal communication, positives and negatives of assertive  communication, and how to respond in emergencies will be introduced.    AB 070 Careers  (3 credits - Spring Every Four Years)   This course covers skills to seek, secure, and maintain employment. In addition, students will create resumes and  participate in mock interviews.    AB 080 Introduction to Work Skills  (3 credits - Spring Every Four Years)   This course will focus on soft skills needed for students to be an effective employee and appropriate employability  skills: following directions, punctuality, workplace safety, producing quality work, and working with others.    AB 095 Work Experience Internship  (1 credit - Fall, Spring)   This internship provides work experience for students on Huntington University's campus or throughout the  Huntington community. Placements are made based on student interest and needs of the campus and Huntington  community. The internships are designed to grow the students' employability skills to help them reach their  future career goals. Students complete either an on- or off-campus work experience each semester.   AE 212 Introduction to Agricultural Education  (1 credit - Fall)    In this course, students will be introduced to the Agricultural Education program at Huntington University, as  well as the three-circle model of agricultural education. The model includes classroom instructions and  laboratory experience, supervised agricultural experience (SAE) for putting classroom instruction into practice,  and involvement in FFA for leadership and personal development.   This course must be taken before the junior year.    AE 296 Sophomore Practicum for Agricultural Education  (1 credit - Spring)    Students will do at least 30 hours of observation and participation with a middle school or high school  agricultural education program. Reflections related to these classroom experiences will be required.   Prerequisites: AE 212 or ED 236 or SE 232 or concurrent    AE 320 Adolescent Curriculum and Methodology for Agricultural Education  (3 credits - Spring)    This course gives the secondary education candidate experience developing instructional strategies appropriate  for high school agricultural education curriculum with an emphasis on performance-based learning and  assessment. In addition, classroom management, student learning style, writing across the curriculum, along with  further exploration of cultural proficiency will be addressed.   Prerequisites: ED 311 and acceptance into the Teacher Education Program    AE 321 Supervising Agricultural Education Programs  (3 credits - Fall)    The course equips agricultural education teachers in the planning and supervision of secondary agricultural  science and business programs, as well as the coordination of supervised agricultural experiences (SAEs) for  secondary agricultural science and business students. Emphasizes the three-part Agricultural Education program  model that includes SAEs, classroom instruction, and involvement in FFA activities, as well as building and  maintaining support from the community for agricultural instruction.
Prerequisite: Acceptance into Teacher Education Program"
AG 111,Introduction to Agriculture,3,"A broad survey of foundational topics in agriculture: the history of agriculture, soil science, crop science and  cropping systems, animal science and animal production, ag career readiness, current issues in agriculture, and  principles of Christian stewardship of agricultural resources. Weekly field trips to various farms and  agribusinesses are a key feature.    AG 117 Introduction to Horticulture  (3 credits - Spring)    This course presents an overview of horticulture emphasizing the basic concepts of plant identification,  production, and uses.   This is a concurrent course offered at local area high schools.    AG 121 Welding  (3 credits - Spring)    Emphasizes gaining a basic level of proficiency in a variety of common welding processes. Blueprint reading,  welding safety, terminology and quality control.   AG 131 Construction and Maintenance  (3 credits - Fall)    Experiential learning of basic construction and maintenance skills and practical knowledge. Safety, careers,  mechanical power system (engines and hydraulics), construction materials and structures, electrical and plumbing  for typical home and agricultural structures.    AG 141 Agricultural Machinery Operation and Safety  (2 credits - Spring)    Principles and practical knowledge required for the operation of farm equipment typically used in modern  agriculture. Procedures for safe operation of farm equipment. Principles and operational knowledge of precision  agricultural equipment. Technological advances in agricultural production.    AG 195 Job Shadow in Agricultural Studies  (1 to 2 credits - Fall, Spring, Summer)    Students observe the daily routines and activities of employed professionals and see how skills and knowledge  acquired in class are applied in the agriculture field.
Prerequisite: Consent"
AG 221,Crop Science and Agronomy,3,"Crop science focuses on understanding plan structure, function, biochemistry, growth, development, and  reproduction, while agronomy integrates crop and soil science to gain understanding of crop production and  management. Additional topics include production of the specific crops of Indiana and the world, as well as the  role of biotechnology, crop breeding, and organic agriculture in modern crop production. This course includes a  lab component.   Must be taken concurrently with AG 221L.
Prerequisite: AG 111"
AG 221L,Laboratory for Crop Science and Agronomy,1,"Laboratory experiments and demonstrations which support, extend, or complement the concepts presented in the  lecture course.   Must be taken concurrently with AG 221.    AG 231 Animal Science  (3 credits - Spring)    The history, physiology, anatomy, breeding, nutritional needs and products of farm animals will be discussed.  The primary focus is on cattle, sheep, poultry and swine. This course will have a lab component.   Must be taken concurrently with AG 231L.
Prerequisite: AG 111"
AG 231L,Laboratory for Animal Science,1,"Laboratory experiments and demonstrations which support, extend, or complement the concepts presented in the  lecture course.   Must be taken concurrently with AG 231.    AG 241 Agroecology  (3 credits - Fall Even Years)    This course introduces students to the principles of agricultural ecology, emphasizing the role of Christian  stewardship of natural resources in farming in agribusiness. Topics covered include the development of  agroecology systems, soil conservation, ecological disturbance, biodiversity, nutrient cycling, energy-efficient  techniques, integration of technology and challenges to sustainable agricultural practices in developed and  developing countries.
Prerequisite: AG 111"
AG 251,Food Science,3,"Chemistry, microbiology and processing of foods. Food additives, food safety and biotechnology of foods.  Regulatory aspects of food processing, quality, safety and labeling. Manufacturing practices to ensure food  quality and safety.
Prerequisite: CH 141/L or 161/L"
AG 311,Precision Agriculture Basics,3,"This course introduces the concepts and principles of precision agriculture, focusing on how data describing  variability within agricultural fields are collected, compiled, and mapped. Practical applications covered will  include using precision ag hardware, software, and field equipment to improve the efficiency, profitability, and  sustainability of farming.
Prerequisite: MA 151"
AG 322,Animal Anatomy and Physiology,3,"Structure and function of animal body systems, with reference to farm animals. Includes tissues, organs and  systems and their physiological functions. Tissue and organ systems covered include blood, nervous, sensory,  endocrine, skeletal, muscular, cardiovascular, respiratory, urinary, digestive, reproductive and lactation.
Prerequisite: AG 231/L"
AG 322L,Laboratory for Animal Anatomy and Physiology,1,"Laboratory experiments and demonstrations which support, extend, or complement the concepts presented in the  lecture course.      AG 323 Animal Health and Disease  (3 credits - Fall Odd Years)    Maintaining the health of farm animals through an understanding of diseases caused or influenced by pathogens,  inadequate nutrition or environmental hazards. Management of animal diseases that affect humans. Animal  welfare and ethical issues in managing animals.
Prerequisite: AG 231/L"
AG 325,Livestock Management and Production,3,"Management practices essential for the production of various farm animal species. Topics will include general  health, nutrition, handling, and husbandry. This course includes a lab component.   Must be taken concurrently with AG 325L.
Prerequisite: AG 231/L"
