Course Code,Course Title,Credit Hours,Description
ACC 131,INTRODUCTORY ACCOUNTING FOR NON -MAJORS,4," 
This course is designed for the business professional who must have an understanding of financial and 
managerial accounting as it is used in decision making. This course is not for transfe r students seeking a 
bachelor’s degree or for accounting majors. Learn about annual reports, financial statements, balance 
sheet accounts and accounting transactions. Focus is on how accounting information is used in decision 
making and not the mechanics b ehind that accounting information. This is an introductory accounting 
course required in some program areas. Students should consider their academic program and select 
either ACC 131 or ACC 231 for their first accounting course.  
 
 "
ACC 214,INCOME TAX ACCOUN TING,3," 
Federal income tax for personal and business use is explored. Concepts covered include taxable income, 
deductions, exclusions, exemptions and credits against tax. Proprietorship tax returns including account 
and depreciation methods, self -emplo yment taxes, self -employed retirement plans, capital gains and 
losses, disposition of property (both personal and business) and estimated tax declaration.  
 "
ACC 231,PRINCIPLES OF ACCOUNTING I,4," 
This course is an introductory course in financial account ing. Learn the theory and practice of recording 
financial accounting data and preparation of financial statements in accordance with Generally Accepted 
Accounting Principles (GAAP) with an emphasis on corporations. Current software and online applications 
will be utilized.  
 "
ACC 232,PRINCIPLES OF ACCOUNTING II,4," 
This course is an introductory course in managerial accounting. Learn how accounting impacts managerial 
decision making. Topics include stocks, bonds, cash flow, cost accounting, break -even analysis, differential 
analysis, financial statements and budgeting. Current software and online applications will be utilized.  
Prerequisite: ACC 231  
 "
ACC 234,MANAGERIAL ACCOUNTING,4," 
Management -level professionals from all disciplines will be faced with complex situations and decisions. 
Appropriate managerial accounting reports and critical thinking skills are crucial to a proactive 
management process. Learn about financial statement a nalysis, cash flow forecasting, job order costing in 
manufacturing, process costing in manufacturing, activity -based costing in manufacturing, cost -volume 
analysis, cost behavior analysis, budgeting, responsibility accounting, case study analysis, critical  thinking 
and decision -making skills.  
Prerequisite: ACC 232  
 "
ACC 240,INTERMEDIATE ACCOUNTING,4," 
Professional accountants must have a solid background in Generally Accepted Accounting Principles 
(GAAP) financial accounting concepts. Review and expand y our knowledge of accounting theory and 
processes, nature and content of the balance sheet and income statement, present value tables and their 
application, currently applicable General ly Accepted Accounting Principles (GAAP) and recent Financial 
Accounting  Standards Board (FASB) pronouncements.  "
ACC 250,TECHNOLOGY APPLICATIONS FOR ACCOUNTING,3," 
Today nearly all businesses rely on computer software to facilitate the accounting process and provide  
on-demand financial information for effective decision making. Learn accounting software applications 
such as invoicing and working with customers, payables and working with vendors, month -end accounting 
and reports, as well as applications for inventory, banking, and payroll. Web -based software will be 
utilized in an online platform accessible to all users.  
Prerequisite: ACC 131  or 231  
 
 
 "
ACC 300,FINANCIAL MANAGEMENT FOR THE HOSPITALITY INDUSTRY,4," 
Using a combination of management accounting and finance principles, develop your management skills 
in the area of financial management. With an emphasis on management decision making, students will 
consider topics such as financial statement reporting and analysis, budgeting, forecasting, ethics, and 
internal controls. Coursework and assignments will be structured to highlight the challenges and 
opportunities within the hospitality industry.  
Prerequisite: ACC 131  
 
………………………………………  
 
AGRICULTURE TECHNOLOGY (AGT)  
 "
AGT 111,AGRICULTURE SAFETY AND BIO SECURITY,1," 
This course prepares students from a variety of backgrounds to study and work safely in agricultural and 
agribusiness settings. Students will learn best practices for biological security and workplace safety 
standard in these industries. Farm safety will include proper use of power equipment and impleme nts as 
well as livestock handling. This course contains lecture and field experience components.  
 "
AGT 113,INTRODUCTION TO FOOD SYSTEMS,3," 
This course provides students with an overview of the diverse food systems industry. Through research, 
guest lectu res, and field experiences, students will engage in a cross -section of agricultural, agribusiness, 
governmental and food processing sectors. Emphasis will be made in identifying the unique but deeply 
inter -connected pieces that make up regional, national a nd international food systems.  
 "
