Code,Title,Hours,Description
BIOL 2014,Fundamentals of Biology and Sustainability,4,"In this course, students will learn about the 
organization of life from cells to organisms to ecosystems. This course will explore exchange of energy and 
resources in ecosystems, and students will be introduced to ways in which natural selection and inheritance of genes 
drives ecosystem composition. From this foundation, students will examine how human activities impact the natural 
world in which we reside and assess the sustainability of these practices and behaviors. Students will be challenged 
to examine the ethics of sustainability in light of Christian stewardship. In the laboratory, students will directly 
consider specimens from microscopic organisms to whole ecosystems, and they will implement field and laboratory 
techniques for assessing ecosystem health. "
BIOL 2024,Fundamentals of Microbiology with Lab,4,"An introductory course focusing on microbes (bacteria, 
fungi, yeast, protozoa, algae and viruses) and multicellular animal parasites. Lecture topics include cellular 
morphology and physiology, metabolism and growth, relationships with host and environment, and genetics. 
Laboratory studies provide experience with microscopy and culture techniques necessary to study bacteria in a 
research setting. "
BIOL 2034,Anatomy and Physiology I with Lab,4,"An introduction to the structure and function of the 
human body, this course is designed for students pursuing health-related fields or majoring in Life Sciences. Course 
topics begin with discussions of organic chemicals and cells before progressing to tissues, organs, and body systems, 
including the integumentary, skeletal, articular, muscular, and nervous systems.  Discussions will include the 
significance of system homeostasis upon organismal function and will also encourage students to integrate an 
increased understanding of the body into a Christian worldview. The course includes lecture and integrated 
laboratory applications each week.  "
BIOL 2044,Anatomy and Physiology II with Lab,4,"A continued introduction to the structure and function of 
the human body with respect to the blood, circulatory, immune, respiratory, digestive, excretory, endocrine, and 
reproductive systems. This course is designed for students pursuing health-related fields or majoring in Life 
Sciences. Discussions will consider the contributions of multiple body systems to overall homeostasis.  The course 
emphasizes the interdependence of body systems and encourages students to use the course material to deepen 
Christian faith. The course includes lecture and integrated laboratory applications each week. Pre-
requisite: successful completion of BIOL 2034 or equivalent.  "
BIOL 2054,Cellular and Molecular Biology,4,"Topics includes a history of cell biology, orientation to organic 
chemistry and biomolecules, cell boundary, cell physiology (including energy metabolism), cell division, mitosis, 
and an introduction to genetic regulation of physiological processes. Labs will introduce students to historical and 
current techniques in microscopy, cytology and molecular extraction, purification and analysis. Includes a three-
hour weekly lab. Offered every Fall. Prerequisites: B or better in BIOL 1114 and BIOL 1124, or equivalent.  "
BIOL 2204,Anatomy & Human Body Systems with Lab,4,"This course acknowledges the dual contributions of 
body structure and physiological processes to body system function and to the maintenance of life. Students will 
acquire an introductory knowledge of the human body, the “temple of God,” and of body systems, including the 
integumentary, skeletal, muscular, nervous, endocrine, cardiovascular, lymphatic, respiratory, digestive, urinary, and 
reproductive systems. The course will primarily address the normal function of body systems and will secondarily 
address the impact of body system homeostatic imbalance in disease causation. The course operates on an integrated 
lecture-lab model, and during each class students transition several times between a lecture-based environment and a 
hands-on, lab-based learning environment. Course activities include traditional lecture, online resources, anatomical 
models and figures, and physiological apparatus (EKG machine, sphygmomanometer, stethoscope, CO2 
measurement devices, and blood typing and urinalysis kits).  "
BIOL 3003,Genetics,3,"Lecture topics include principles of gene expression and heredity, including statistics and 
probability related to heredity. Human health considerations related to genetic background are also 
introduced. Students will be asked to apply theological principles to ethical and moral considerations that arise as a 
result of genetic knowledge, research avenues, and therapeutic applications. Offered odd-numbered Fall terms. 
Prerequisites: B or better in BIOL 1114 and BIOL 1124, or equivalent. Completion of MATH 
1103 Elementary Statistics before taking this course is recommended.   
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 
 "
BIOL 3013,Ecology,3,"This course explores interactions between living organisms and between living things and 
their environment. Principles of population and community dynamics, nutrient cycling and management, and 
restoration biology will all be introduced and discussed in the context of case studies. A variety of ecological 
systems will be introduced, including human-created and natural systems. Historical land management philosophies 
in the United States and ethical considerations for the future as Christian stewards of our physical resources will be 
considered. Prerequisites: B or better in BIOL 1114 and BIOL 1124, or equivalent. "
BIOL 3304,Animal Biology,4,"This course will explore the range of diversity in animal 
taxonomy, morphology, development, and ecological interactions. Students will learn comparative gross and tissue 
anatomy to explore animal systems between diverse organisms. Additional topics related to current events will also 
be discussed and explored through student research and writing. In the accompanying lab, students will complete 
dissections and design and conduct at least one experiment. Some laboratory exercises will be completed outdoors, 
exploring local fauna. Includes a three-hour weekly lab. Offered odd-numbered Spring terms. Prerequisites: B or 
better in BIOL 1114 and BIOL 1124, or equivalent.  "
BIOL 3404,Plant Biology,4,"This course will explore the range of diversity in plant taxonomy, 
anatomy, development, physiology and ecology. Additional topics related to current events will also be discussed 
and explored through student research and writing. In the accompanying lab, students will complete a multi-week 
whole-plant physiology experiment. Some laboratory exercises will be completed outdoors, exploring local 
flora. Includes a three-hour weekly lab. Offered even-numbered Fall terms. Prerequisites: B or better in BIOL 1114 
and BIOL 1124, or equivalent.  "
BIOL 3604,Biodiversity: Concepts and Methods,4,"This course will introduce the core concepts of biodiversity 
with an emphasis on quantitative reasoning. In particular, students will use quantitative techniques to discern and 
describe patterns of biodiversity, discover and understand processes that generate and maintain biodiversity, and 
predict consequences of the loss and/or conservation of biodiversity. Foundational to these core concepts is an 
understanding of “local” diversity. Accordingly, a significant portion of the course will be dedicated to learning 
methods for the measurement, estimation and comparison of biodiversity. In the laboratory, students will explore 
core concepts of biodiversity with an emphasis on quantitative reasoning as they design and carry out a study 
pertaining to the measurement, estimation and comparison of biological diversity. Students will report and present 
their results.  "
