Code,Title,Credits,Description
BI 111,English Bible Survey,3,"This course is an introduction to the content, theology and history of the Bible with 
a special emphasis upon the major people, places and events.  The various literary 
genres are studied in order to discover their basic teachings and place in divine 
revelation. The course is a prerequisite to all other courses in biblical studies."
BI 191,Biblical Introduction,2,"This survey of general Biblical introduction examines the four links (inspiration, 
canonization, transmission, and translation) of the chain that brought our Bible from 
God to us.  The primary source for study is the Bible itself."
BI 251,Biblical Hermeneutics,0,"This course introduces the best practices methods to interpret biblical passages in 
their historical, cultural, grammatical, literary, and theological context."
BI 401-402,Inductive Bible Seminar,1,"An advanced course using the principles and tools of inductive study to research a 
Biblical topic with the purpose to develop conclusive answers to questions related 
to the topic.  (This course can be taken up to two times with different tracks.)
Old Testament"
OT 212,Pentateuch,3,"An historical and theological study of the first five books of the Old Testament 
which emphasizes the characters and the covenant.  The Pentateuch is examined 
as the foundation for the remainder of the history of God’s revelation to humanity. 
Prerequisite: BI 111.
120 | Course Descriptions | KMBC Academic Catalog 2023-2024"
OT 241,Minor Prophets,2,"This course is a study of the Old Testament prophets Hosea through Malachi.  Each 
prophet and his historical message will be examined with its important application 
to our present day."
OT 331,Historical Books,3,"A survey of the historical books from Joshua through Esther, tracing the history of 
the Hebrew nation through the conquest of Canaan and the return following the 
exile.  Prerequisites: BI 111 and OT 212."
OT 332,Psalms and Wisdom Literature,3,"A study of the Old Testament books of Job, Psalms, Proverbs, Ecclesiastes, and Song 
of Solomon. Specific attention will be given to assimilating the wisdom contained in 
these books into daily living. Prerequisite: BI 111."
OT 432,Isaiah and Jeremiah,2,"A study of the books with emphasis on the historical, social, moral and religious 
background of the prophet and their times. Major elements of the class include 
historical, eschatalogical, and New Covenant significance along with present-day 
application. Prerequisite: BI 111."
OT 452,Apocalyptic Books,3,"An exegetical study of the books of Ezekiel, Daniel and Revelation with emphasis on 
their common themes of encouragement for God’s people and long-range predictive 
prophecy.  Prerequisites:  OT 331 and BI 111. 
New Testament"
NT 221,Gospels,3,"A comprehensive study of the life and ministry of Jesus presented by the four gospel 
writers. Prerequisite: BI 111."
NT 222,Acts,2,"The history of the origin, rise, and expansion of universal Christianity as presented 
in the Acts of the Apostles. Prerequisite: BI 111."
NT 251,Galatians and Thessalonians,2,"Paul’s missionary journeys brought him to both Galatia and Thessalonica.  This study 
reveals needs of young Gentile churches that were grasping the truths of grace, 
growth, persecution and understand of the second coming of Christ.  Prerequisite: 
BI"
NT 271,Prison Epistles,2,"The four Epistles of Ephesians, Philippians, Colossians and Philemon were written 
by Paul during his Roman imprisonment.   This class will consider the theological 
truths and practical applications contained in these letters.   Prerequisite:  BI 111."
NT 281,Pastoral Epistles,1,"A study of the Paul’s letters to Timothy and Titus with emphasis on application to 
present pastoral ministry.  Prerequisite:  BI 111."
NT 321,General Epistles,2,"An inductive study of the epistles of James, Peter, John and Jude with emphasis 
on important doctrines and principles relating to Christian living.  Attention is 
given to learning the use of different resource materials and the inductive process. 
Prerequisite: BI 111."
NT 332,Romans,2,"A study of the Epistles of Romans which focuses on the theological truths and their 
application to the Christian life.   Prerequisite:  BI 111."
NT 352,Corinthians,2,"A study of Paul’s letters to the church at Corinth,  a young church in the midst of 
a godless culture.  The church’s struggle for Scriptural truth makes Paul’s writing a 
source for answers to present day ministry issues.   Prerequisite:  BI 111.
122 | Course Descriptions | KMBC Academic Catalog 2023-2024"
NT 441,Hebrews,2,"A study of the Book of Hebrews which views the Old Testament in the light of the 
New Testament and informs Christology and Soteriology especially as they pertain 
to Entire Sanctification and Christian perseverance.  Prerequisites:  OT 212 and BI 
 
Biblical Languages"
GR 161,Beginning Greek,3,"An introductory course to New Testament Greek, including a study of vocabulary, 
conjugations, declensions and grammatical construction."
GR 162,Beginning Greek,3,"An introductory course to New Testament Greek, including a study of vocabulary, 
conjugations, declensions and grammatical construction.  Prerequisite: GR 161."
GR 261,Intermediate Greek,3,"A further study of New Testament Greek grammar and vocabulary with view of 
translating portions of the Gospel of John.  Prerequisite: GR 162."
GR 262,Intermediate Greek,3,"Translations of portions of the Gospel of John and other New Testament books are 
the focus of this course; attention is given to grammar, vocabulary, and interpretation. 
Prerequisite: GR 261."
HE 251,Beginning Hebrew,3,"Commonly used words and basic grammatical principles of biblical Hebrew are 
covered in this introductory course."
HE 252,Beginning Hebrew,3,"This course is a continuation of HE 251 which includes the translation of portions 
of Genesis.  Prerequisite:  HE 251"
HE 351,Intermediate Hebrew (3 credits) - Not Currently Offered,0,"Further portions of Genesis are translated with attention given to grammar, 
vocabulary, and interpretation. Prerequisite: HE 252"
HE 352,Intermediate Hebrew (3 credits) - Not Currently Offered,0,"Portions of several Old Testament books are translated with attention given to 
grammar, vocabulary, and interpretation. Prerequisite: HE 351
Discipleship & Christian Education"
DS 122,Introduction to Discipleship (2 credits),0,"A survey of the principles, content, method, and materials for directing the spiritual 
growth of new converts and preparing them for leadership.  Emphasis is given to 
skill building and to program development within the local church.  This class is 
cross-referenced with MT 122."
CE 141,Introduction to Christian Education (3 credits) - Not,0,"currently being offered
This course emphasizes the biblical foundation of Christian education.   Needs of 
the various age groups, current methods and approaches, curriculum and materials, 
organization and administration in the local church are practical aspects surveyed."
CE 231,Arts and Crafts of Christian Education,2,A study in communicating the Gospel through the use of arts and crafts. Prerequisite:
DS 282,Principles and Methods of Spiritual Formation (3,0,"credits)
This course focuses on basic teaching principles and basic instructional methods 
with the aim of creating an effective lesson plan, and explores and incorporates the 
teaching methods of Jesus."
DS 300,Discipleship/Christian Education Internship,2,"An internship offers the student an opportunity to participate in actual ministry 
under the close supervision of a faculty advisor and a practitioner in the field 
of Discipleship/Christian education.  The internship will respect the guidelines 
established by the Office of Field Ministries and the contract established by the 
curriculum advisor."
CE 311,Sunday School and Summer Ministries,2,"Focuses on the development and implementation of educational ministries such 
as Sunday School, Vacation Bible School, camping programs and other summer 
ministries as a part of the total program of Christian education."
CE 322,Media Ministries,2,"This course examines the application of various media in ministry contexts in a 
web-centered world. Media examined include video, audio, desktop publishing, 
graphics, computer presentations, and websites. Emphasis is given to integrating 
these media with web technologies. The course assumes the student possesses a 
working knowledge of typing, word processing, internet navigation, and Windows. 
This class is cross-referenced with CO 322 and ED 322."
DS 362,Youth Discipleship,2,"This course explores the developmental and spiritual needs of youths and the 
various theories and methods to help them grow and develop in the Christian faith.  
Includes an emphasis on discipling youth in various settings."
DS 372,Adult Discipleship,2,"This course explores the developmental and spiritual needs of adults and the various 
theories and methods to help adults grow and develop in the Christian faith."
DS 382,Family Spiritual Formation,2,"This course focuses on the theories and techniques of discipleship and educational 
programs in local churches for families which will build stronger families and preempt 
problems by laying a biblical foundation for family life."
DS 422,Practice of Spiritual Disciplines,1,"This course is a practical application of disciplines learned for personal growth and 
discipleship�"
CE 452,Christian Counseling,3,"Focuses upon the basic concepts and techniques of Christian counseling.  The 
student will develop broader understanding and a working knowledge of counseling 
skills in order to help people who have spiritual and life adjustment problems.  This 
course is cross referenced with MT 452. Prerequisite:  PS 171."
DS 441,History and Philosophy of Spiritual Formation /,0,"Christian Education (3 credits)
A study of the history of philosophy of Christian education from pre-Christian times 
to the present."
DS 482,Administration in the Local Church (3 credits),0,"This course focuses upon the administration in the local church and includes 
organization, leadership, staff relationship, volunteers, governing boards, short and 
long term planning, and crisis and time management within the structure of the 
local church. This course is cross-referenced to MT 481.
Elementary Teacher Education"
ED 231,Teaching Reading in Elementary Schools,3,"Students study the basic theories, approaches, and methods of teaching elementary 
reading.  They learn the language, cognitive, sensory, perceptual, and socio-economic 
aspects of reading. Emphasis is placed on phonetic training.
126 | Course Descriptions | KMBC Academic Catalog 2023-2024"
ED 232,Teaching Literature in Elementary Schools (2 credits),0,"This course is designed to familiarize potential teachers with methods of teaching 
literature to children.  The various categories of children’s literature, as well as how 
to incorporate literature into the overall curriculum will be covered, including an 
emphasis on the formative influence of literature on children’s character."
