code,title,credits,description
ACCN 2103,Principles of Financial Accounting,3,"Fundamental accounting relationships; completion of the accounting cycle; accounting process for merchandising enterprises; receivables, payables, and inventories; deferrals, accruals, and intangible assets; and formation. Offered every fall semester."
ACCN 2203,Principles of Managerial Accounting,3,"Accounting systems, concepts, and principles; formation, organization, and operations of corporations and partnerships; departments and branches, statement analysis, cost, and management. Prerequisite:"
ACCN 3903,Intermediate Accounting I,3,"This course would focus on valuation and other theoretical problems in accounting for cash, temporary investments, receivables, inventories, long-term investments, plant and equipment, and intangible assets. Prerequisites:"
ACCN 3923,Cost Accounting,3,"This course would study the development of cost accumulation and reporting systems that complement a firm's strategy and structure; how activity-based cost management systems increase competitiveness by helping a firm manage its costs, processes, and people. Prerequisite:"
ACCN 3933,Income Tax Accounting I,3,"This course would examine Federal income tax and individual, corporate, and partnership income tax laws and regulations. The emphasis is on developing a broad perspective on the structure, administration, and rationale of the federal income tax system. Prerequisite:"
ACCN 3943,Income Tax Accounting II,3,"This course would focus on the study of taxation of corporations, partnerships from the organization through liquidation; relative merits of conducting business through partnership, corporation, proprietorship, S corporation; introduction to tax research. Prerequisite:"
ACCN 3953,Accounting Information Systems,3,"A study of the structure, flow, and use of financial and non-financial data in computer-based environments with a heavy emphasis on ensuring data integrity. Conceptual data modeling using business rules, normalization, structured query language (SQL), and physical database design and data administration. The course includes cross-functional team projects with phased deliverables. Prerequisite:"
ACCN 3963,Data Analytics for Accounting,3,"This course would develop the skills required for an accounting analytics mindset. Students would apply the concepts of data scrubbing, data preparation, data quality, descriptive analysis, data manipulation, data visualization, data reporting, and problem- solving using various analytic tools and statistical analysis."
ACCN 4173,Governmental and Nonprofit Accounting,3,"Governmental and Nonprofit Accounting covers accounting principles applicable to federal, state, and local governments and other nonprofit entities. This course includes fund accounting principles used in recording assets, liabilities, equity, revenues, and expenditures, along with analysis and interpretation of financial statements of governmental and nonprofit entities."
ACCN 4443,Advanced Financial Accounting,3,"This course is designed to impart a detailed understanding of alternative accounting principles and practices and their effects on balance sheet valuation and income statements, including critical evaluation of these alternatives. Subjects covered include foreign currency transactions, partnership accounting, and accounting for nonprofit organizations and governmental entities. Prerequisite:"
ACCN 4623,Accounting Legal Environment,3,"This course

familiarizes students with the fundamentals of external financial reporting for business enterprises and not-for-profit entities. The financial accounting segment of the course focuses on the preparation, analysis, and limitations of financial statements per generally accepted accounting principles (GAAP). The conceptual framework that serves as the basis for developing financial reporting standards is also discussed. The managerial accounting segment of the course covers such internal reporting issues as break-even analysis, capital budgeting, cost behavior patterns, and cost allocation. Finally, the legal component of the course addresses the formation of different types of business entities (e.g., corporations and partnerships) and the regulatory role that the SEC, PCAOB, and Sarbanes-Oxley play in financial reporting. Offered every fall, even-numbered years."
ACCN 4633,Auditing,3,"This course would study the general framework underlying auditing, the role of audit standards in the planning and conduct of audits, and the effect of regulation, ethics, liability, and audit practices. Prerequisite:"
ACCN 4733,CMA Exam Preparation I,3,"This course is designed to assist students in preparing for the Certified Management Accountant (CMA) exam. This course would focus on topics relevant to the first part of the CMA exam, namely, financial reporting, planning, performance, and control. This course would expose students to similar content, format, and solutions as those found on the actual exam."
ACCN 4743,CMA Exam Preparation II,3,"This course is designed to assist students in preparing for the Certified Management Accountant (CMA) exam. This course would focus on topics relevant to the second part of the CMA exam, namely, financial decision-making. This course would expose students to similar content, format, and solutions as those found on the actual exam."
ACCN 4903,CPA Exam Preparation,3,"The course is designed to assist students in preparing for the CPA exam. It is designed to cover a portion of the topics covered on the national examination required to become a certified public account. This course would focus on a review of ethics, a CPA’s professional and legal responsibilities, federal tax law, and business law. The class would include requirements designed to test understanding of these subjects as required on the CPA examination."
ACCN 5133,Managerial Accounting,3,"This course introduces the financial statement, their sources and functions, and managerial control systems involved with the accounting process, including variance analysis and budgeting. In addition, it serves as an overview of the accounting function and its use in managing the functional units within the organization."
ACCN 5143,Advanced Cost Accounting,3,"This course would study the development of cost accumulation and reporting systems that complement a firm's strategy and structure; how activity-based cost management systems increase competitiveness by helping manage costs, processes, and people. Prerequisite:"
ACCN 5153,Advanced Accounting Information Systems,3,"This course studies the framework of accounting information systems by combining knowledge about accounting transaction cycles, information technology, and business process design."
ACCN 5163,Business Taxation,3,"This course reviews organizational tax strategies for capital structures, business operations, new business, domestic business expansion, and international growth."
ACCN 5173,Advanced Auditing,3,"This course examines auditing principles, concepts, and standards, including a review of organizational decision financial reporting and resolution of ethical issues."
ACCN 5183,Survey of Financial Accounting,3,"This three- credit course deals with accounting and financial reporting

procedures used by business and not-for-profit entities, emphasizing accounting concepts and using accounting information in making economic decisions."
ACCN 6113,Advanced Theories of Financial Accounting,3,"This advanced course in financial accounting theories presents an in-depth analysis of the historical development of accounting theory and its application to current and future accounting issues. The course enhances critical thinking skills by synthesizing the professional accountant’s understanding and knowledge of accounting theory with the resolution of real-world accounting problems. In addition, the course incorporates a global perspective for the development and analysis of accounting standards."
ACCN 6213,CPA Exam Preparation I,3,"This course is designed to assist students in preparing for the CPA exam. This course would focus on topics relevant to the first two parts of the CPA exam: the Financial Accounting and Reporting Exam and Business Environments and Concepts Exam. This course would expose students to similar content, format, and solutions as those found on the actual exam."
ACCN 6223,CPA Exam Preparation II,3,"This course is designed to assist students in preparing for the CPA exam. This course would focus on topics relevant to the last two parts of the CPA exam: the Regulation Exam and Auditing Exam. This course would expose students to similar content, format, and solutions as those found on the actual exam.
AMUE [Applied Music Ensembles]"
AMUE 1111,Music Ensemble Lab,1,The Music Ensemble Lab would consist of a series of lectures and video presentations dealing with developing both vocal and instrumental ensembles and the artistic side of music in today’s world. It would include a portion of musical rehearsals to help musicians develop their rehearsal skills. This Lab would work on group dynamics as well as artistic temperament.
AMUE 1401,Praise Band Lab,1,"The Praise Band Lab would consist of lectures and video presentations dealing with music ministry and relational skills. In addition, it would include a portion of musical rehearsals to help musicians develop their rehearsal skills. This class aims to help the students develop their ability to lead a group of instrumentalists and singers in a productive and efficient team effort. In this class, the student would develop greater skills in rehearsal techniques for using multiple instruments."
AMUE 4242,Music Ministry Lab,2,"The Music Ministry Lab would consist of lectures and video presentations on music ministry and management skills. It would include a portion of musical rehearsals to help musicians develop their rehearsal skills. This course is designed to sharpen the student’s skills as a participant and leader of music ministries. This course would aid music students in dealing with specific problems they would face as worship leaders in the local church. Emphasis is given to their role as ministers, personnel relationships, development of graded choir program, evaluation of music, and establishment of a music library.
AMUS [Applied Music]"
AMUS 1141,Class Voice,1,"A course for the beginning voice student, giving an overview of the basic techniques involved in good standing, laying a foundation for private vocal instruction, and defining the terminology of singing. Solo and group singing of exercises and songs. Offered every semester."
AMUS 1511,Class Piano,1,This is an introductory course offered to provide students with an opportunity to learn basic piano skills and techniques and to provide a foundation for the proficiency skills required of all music majors.
AMUS 4221,Accompanying,1,"Practical experience in accompanying vocal and instrumental solos and ensembles, with special emphasis on sight-reading. Prerequisite: Level 9 piano. Offered on demand.

BILA [Bible Languages]"
and 2203,"is offered every spring semester.
BILA 3103-3203 New Testament Greek Exegesis (3 cr. each) Exegesis of selected portions from the Greek New Testament, word studies, and further mastery of the basic principles of syntax. Both semesters would count toward the Bible major.  Prerequisites: BILA 2ϣ03-2203. Offered every fall and spring semester.
BINT [Bible New Testament]

BINT 1203 Introduction to the New Testament",3,"An introduction to the inter-testamental period to the beginnings of Christianity is surveyed. A survey of the content and meaning of each New Testament book are studied against the religious, literary, social, political, and economic background of the first century. Offered every spring semester."
BINT 1223,Introduction to the Bible,3,"Introduction to the Bible is an interactive course written to engage each student in clearly understanding and applying the 66 books of the Judaic-Christian Protestant Bible. In this course, the students are introduced to the rich histories, stories, religions, and cultures surrounding the Old and New Testaments. These testaments have profoundly influenced our culture and ideas for thousands of years and continue to present us with unique challenges for living today and in the future. Students would learn about the authority, inspiration, and literary context of the Bible. Through interactive media and discussions, the student would learn about the historical context in which both Testaments were written and every book. The student would use the current textbook to discover how the Bible can be read, its influence over Western thought, and core themes like creation, covenant, prophesy, love, and divine kingdom. Students should leave the course with an enriched understanding of what the world of the Bible is all about and how it can be read and interpreted for contemporary life.  Offered every semester."
BINT 2103,Basic Principles of Inductive Bible Study,3,"This course would introduce the basic principles of the Inductive Bible study method: observation, interpretation, composition, and application."
BINT 2303,Survey of Romans,3,"This course would highlight Paul’s mission, the purpose for writing, and theological themes, such as righteousness through faith, the need for salvation, and fundamentals for living the Christian life."
BINT 3103,The Synoptic Gospels,3,"An exegetical study of selected passages in the Gospels of Matthew, Mark, and Luke. Attention is also given to each book's Synoptic relationship, authorship, date, and message.   Prerequisite:   BINT   ϣ203.   Offered   fall   semester:   even- numbered years."
BINT 3303,Romans,3,"An exegetical and expository study of the book of Romans. The date and place of writing, destination, and occasion are studied, but the primary emphasis centers on discussion and studies that would help the student appreciate this particular letter's value, strength, and  theological  importance.  Prerequisite:  BINT  ϣ203  or  BINT  ϣ223. Offered every semester."
BINT 3603,Hebrews and General Letters,3,"A thorough study of the letters to the Hebrews, along with James I and II, Peter I and II, III John, and Jude. The study of Hebrews includes considering the letters’ relationship to Old Testament backgrounds and the concept of Jesus as the great high priest of the new covenant. In addition, each book's doctrinal and practical teachings are examined, and homiletical and teaching  values  are  given  special  attention.  Prerequisite:  BINT  ϣ203. Offered fall semester: odd-numbered years."
BINT 3633,Pastoral Letters,3,"An examination of the pastoral letters of Paul to Timothy and Titus utilizing the inductive method of Bible

study. Students are introduced to the inductive Bible study methodology, which would focus on the survey of books as wholes, as well as specific parts of the text in light of their context within the book. Specific attention is given to evaluating personal qualifications for pastoral ministry and the practical application of ministerial leadership within  the  church.  Prerequisites:  BIOT  ϣϣ03;  BINT  ϣ203;  THEO  ϣϣ03. Offered every spring."
BINT 3703,History of Christian Thought,3,A survey of key events and figures in the history of Christian thought from the conclusion of the New Testament to the present. Offered every fall semester.
BINT 3713,Foundations of Ethics: The Life and Teachings of Jesus,3,A study of the Gospels focusing upon the life and ministry of Jesus Christ and His death and resurrection to apply His life-changing principles to one’s everyday life.
