Code,Title,Credits,Description
ALH 250,Transition to Nursing Practice,3,". This course is an introduction to concepts of nursing along the wellness/illness continuum, with an 
emphasis on building a foundation for Christian caring in nursing. Medical terminology necessary for nursing practice will 
be introduced. The student will demonstrate additional competency skills such as drug calculations, hygiene, bed 
making, and professional deportment. Students may use this as a foundation for the certified nurse assistant."
ALH 275,Medical Math,1,". This course provides the student with a foundation of basic mathematical skills necessary for the 
calculation of drug dosages.  This foundation includes study of equivalents between metric, household and apothecary 
units of measure and how this impacts calculation of safe drug dosages."
ALH 300,Public Health Seminar,1,". Prerequisite(s): Completion of 60 credit hours of undergraduate study 
A weekly departmental seminar on current public health topics."
ALH 301,Applied Public Health,3,".  Prerequisite(s): SOC 205 OR MLG 205 AND ALH 233/NUR 250 (OR NUR 100 and 200) AND ALH 399 
Course focuses on the synthesis of concepts, processes and skills necessary to promote health and prevent illness in 
645 populations groups. Emphasis is placed on managing care for the community as a client/patient rather than on individual 
health care. The three levels of prevention used in strategic planning for community health will be emphasized"
ALH 302,Emerging Issues in Global Health,3,". Prerequisite(s): SOC 205 or MLG 205 and ALH 233 or NUR 250 (OR NUR 100 and 200) or ALH 250 
This course introduces key global health concepts and will investigate global health challenges looking at the links 
between health, disease, socio-economic development, and health policy initiatives."
ALH 304,Analyzing Health Disparity Data,2,". Prerequisite(s): MAT 208 and ALH 407 or NUR 407 or NUR 313 and ALH 301 or NUR 436 or NUR 435 
This course describes the fundamentals of health disparities, research methods to study disparities, and the tools to 
analyze the findings. Interventions for the elimination of health disparities are examined."
ALH 305,Transcultural Patterns of Health,1,". Corequisite/Prerequisite ALH 399  
This course will examine patterns of health beliefs and values as these are determined by religion, culture, society, and 
history. A careful review of how views of health can influence health care, the health care delivery system, and specific 
elements of health throughout the life span will be undertaken."
ALH 361,Reading and Research for Honors I,2,". Prerequisite(s):  
Completion of Sophomore courses. GPA of a least a 3.25 and approval by honors council and faculty to commence the 
honors track.  
Prerequisite/Corequisite (s): Must take ALH 407  
This course will enable the student to use principles of research to construct a research proposal with an appropriate 
methodology. The student will conduct the literature review that is required for them to prepare the research proposal."
ALH 375,Therapeutic Communication,2,". Corequisite/Prerequisite: COM 203  
Health care professionals are expected to provide a holistic approach to care delivery. The key component shared by all 
professionals involved in such care delivery is effective communication. Increasingly emphasis is being made on effective 
communication not just at the therapeutic level but also between health care professionals."
ALH 373,Congregational Health Ministry,3,". Prerequisite(s): Admission into the nursing program, RN licensure, or instructor's consent. 
This course focuses on the role of the nurse in the faith community. The course examines the role and responsibilities of 
 
congregational health nursing and provides the framework that the nurse can use to develop and implement a 
congregational health program within the faith community."
ALH 396,Health Policy and Finance,1,". Corequisite/Prerequisite: SOC 205 OR MLG 205 AND ALH 399 
This course focuses on health policies and finance concepts that affect the provision of public healthcare within a global 
perspective."
ALH 399,Health Care in the USA,3,". Corequisite/Prerequisite: SOC 205 OR MLG 205 AND ALH 233 
The course will examine the changing healthcare trends and the strategies to improve the public health system through 
efforts to reduce disparities, market and social justice, and the future of healthcare delivery."
ALH 401,Introducing Environmental & Occupational Health,3,". Prerequisite(s): ALH 301  or NUR 436  or NUR 435  
This course evaluates the effects of environmental hazards on public health. Occupation assessment of the 
differentiation between risk and hazard, and how these inform workplace strategies for elimination and/or mitigation 
are examined. Health promotion/disease prevention relative to environment/occupational health and safety are 
considered."
ALH 403,Health Promotion/Education in Contemporary Society,3,". Prerequisite(s): ALH 301  and KIN 211  
Health promotion and education appropriate to specified populations and settings will be examined in this course. 
Planning models will allow students to design, deliver and evaluate health promotion and education programs that 
reflect the needs and expectations of individuals, communities and groups. Consideration of how strategies must be 
informed by behavioral and strategic objectives is a core theme."
ALH 404,Healthcare Informatics,2,". Prerequisite(s): COM 102 and ALH 233 
Students will be introduced to the applications of informatics systems to public health/allied health practice, healthcare, 
education, research, and administration. Integration of various theories will assist students to understand the 
importance of applying knowledge as they further develop their skills in information literacy. Students will learn how 
health care professionals can use information systems to work more efficiently, allocate resources more effectively, and 
improve health care"
ALH 405,Mental Health First Aid,,"Credits, 3 sem. hrs. Corequisite/Prerequisite ALH 301  and ALH 302  
The public health sector provides the opportunity to interact and provide care with persons who may be facing mental 
health challenges. This course will provide the opportunity to direct caring skills towards successful mental health 
outcomes"
ALH 407,Research in Health Care Practice,2,". Corequisite/Prerequisite MAT 208 or MAT 207 or PSY 301 or DAT 251 and ALH 233 
This course provides the opportunity for understanding the value, utilization, practice, and integration of the research 
process in nursing practice."
ALH 408,Disaster Preparedness,3,". Corequisite/Prerequisite ALH 301  and ALH 302  
Disasters may be from man-made or natural causes and occur when the magnitude of the health or other demands have 
the potential to overwhelm a population in situations not routinely encountered. Disaster preparedness training is 
proactive in focus and seeks to engage organizations, on a local, state, national or even global scale, to ensure public 
safety and well being."
ALH 409,Public Health Capstone,3,". Corequisite/Prerequisite ALH 301 , ALH 302 , ALH 407 , ALH 404 , ALH 304 , ALH 304 , ALH 403 , ALH 405 , 
ALH 408  and BIO 428  
Students will build upon previously acquired knowledge relative to research and evidence-based practice in order to 
incorporate research evidence into practice for quality improvements in public health."
ALH 450,Professional Role As It Relates to Theory,3,". Prerequisite(s): Senior standing in the public health program and Permission of the Instructor to take 
this course. 
This course focuses on the place of concepts and theories within healthcare. Emphasis is placed on a particular nursing 
theorist of the student's choice, and that theorist's concepts are studied in depth."
