Code,Title,Credits,Description
numbered 1123,"signifies a freshman course with three credit hours.)  Courses beginning with a number 0 are transitional and pre-collegiate, are",,"not for credit and do not apply towards graduation.  Course numbers ending in 0 signifies that the credit carried varies.   
 
ACADEMIC SUCCESS (COL)"
COL 1211,SUCCESS STRATEGIES,one,"Prerequisite: NONE 
This course is designed to support new students develop skills for collegiate 
success in and out of the classroom.  This course focuses on topics related 
to goal setting, time management, study skills, communication, motivation 
and campus resources that are available for students.  This course supports 
the New Student Symposium and for students to receive their collegiate 
credit, they will need to enroll in both the New Student Symposium and the 
Success Strategies course.  This course will take place the first 5 weeks of 
a regular term and will consist of face time instruction, activity projects, 
online participation and application exercises."
COL 1212,EDUCATIONAL TECHNOLOGY,two,"Prerequisite: NONE 
In this online or blended course, learn the essential computer technology 
you need to know to enhance your successful experience at Murray State 
College. This course will help you improve your knowledge and 
competence in using the common functions of a personal computer and its 
operating system along with common applications and the content 
management system used in a variety of courses at MSC. Topics covered 
will include: vocabulary and terminology; electronic file management; 
Blackboard; Microsoft Office Word, Excel spreadsheets, and PowerPoint; 
graphics; multimedia; Internet tools such as e-mail and attachments, and 
Web-based research. Each topic will consist of self-paced lesson plans 
emphasizing step-by-step instructions along with exercises, activities, 
discussions, and assessments. An attempt will be made to support all 
students’ individual needs."
COL 1511,STUDENT LEADERSHIP,one,"Prerequisite:  By nomination only. 
This course introduces students to the concept of leadership as a field of 
study.  Emphasis is placed on the application of acquired knowledge to 
practical problems."
ACC 1113,INTRODUCTION TO ACCOUNTING,three,"Prerequisite:  NONE 
This course is designed to provide the student with the basic accounting 
knowledge and skills necessary for development and maintenance of a set 
of books.  Students will gain a working knowledge of the accounting cycle; 
bank reconciliation, payroll accounting, taxes, accounting for service and 
merchandising concerns, special journals and subsidiary ledgers, 
adjustments, financial statements, and the closing process.  Emphasis will 
be placed on preparing students for entry-level bookkeeping and 
accounting clerk positions."
ACC 2103,FUNDAMENTALS OF FINANCIAL ACCOUNTING,three,"Prerequisite: NONE 
The study of concepts and procedures for preparation of general-purpose 
financial statements using general accounting principles. This course is 
designed to provide the student with basic principles of accounting theory. 
Students will gain a working knowledge of accounting for sole 
proprietorships, partnerships, and corporations. Topics covered will include 
the accounting cycle, financial statements/ratio analysis, capital and 
stockholders’ equity, 
merchandising, stock transactions, cash flow 
statements, investments, and ethics. Emphasis will be placed on the 
study of financial accounting. It is recommended that a student entering 
this course have bookkeeping, accounting, work related experience, or high 
school equivalent."
ACC 2203,FUNDAMENTALS OF MANAGERIAL ACCOUNTING,three,"Prerequisite: ACC 2103 
This course is the study of managerial accounting concepts and 
objectives, planning and control of sales and costs, analysis of costs and 
profits for management decision making. This course is designed as a 
continuation of fundamentals of financial accounting. Topics covered will 
include 
manufacturing/cash flow, cost behavior, cost-volume-profit, 
managerial decisions, capital budgeting, present value/future value, 
budget allocation, variance analysis, job order costing, process costing, 
and standard costing. Emphasis will be placed on managerial decision-
making based upon the analysis of accounting information."
ACC 2303,COMPUTERIZED ACCOUNTING,three,"Prerequisite: ACC 1113 or ACC 2103 & CIS 1113 
This course is designed to provide the student with an introduction to 
modern computerized integrated accounting systems utilizing a hands-on 
approach. Students will gain a working knowledge of accounting for sole 
proprietorship and partnership service and merchandising concerns within 
an integrated system beginning with analysis of transactions or ""input,"" 
the actual functions of the computer system, and the ""output"" or end 
result generated by the computer.  
 
murray-state-college|murray-state-college"
ACC 2810,SPECIAL PROBLEMS IN ACCOUNTING,,"Prerequisite: Program Chair approval 
This course is designed specifically for special seminars, special studies, 
special interests, and other special projects/events/activities related to 
Accounting. Course may be repeated for credit.  
Credit: Varies from one to four semester hours 
 
AGRICULTURE (AG)"
AG 1002,AGRICULTURAL FINANCIAL LITERACY,two,"Prerequisite: NONE 
This course will cover basic financial concepts from an agricultural 
perspective. Topics covered will include basic concepts of credit and debt, 
basic record keeping, agriculture loan programs and other sources of credit. 
Along with practical coursework, guest speakers from agricultural lending 
entities will enhance the learning experience. This course is open to all 
students."
