code,title,credits,description
ACC2020,Accounting I,3,"The double-entry system of bookkeeping and the basic 
accounting cycle, including communicating financial 
information according to generally accepted accounting 
principles. 
Prerequisite: MAT1250 or higher"
ACC2050,Accounting Information Systems,3,"Implementation and management of automated 
accounting systems, with an emphasis on internal 
controls and information accuracy. 
Prerequisite: ACC2020"
ACC2300,Individual Income Taxation,3,"Federal tax laws and their impact on individuals, estates, 
and trusts, including tax return preparation."
ACC2460,Accounting Software Applications,3,"This hands-on course introduces students to the use of 
computerized accounting software for a small business. 
Topics include setting up a new company, creating a 
chart of accounts, recording banking, customer, and 
vendor transactions, using inventory, recording payroll, 
making adjusting entries, and generating financial 
statements and management reports.   
Prerequisite: ACC2020"
ACC2620,Accounting for Managers,3,"This course introduces students to the accounting 
concepts and procedures used by managers to make 
strategic business and financial decisions in a company. 
The course has two components: financial accounting 
and managerial accounting. Throughout the course, an 
emphasis will be placed on the ethical issues involved in 
preparing, analyzing, and using accounting information 
in managerial decision-making and performance 
evaluation."
ACC3020,Accounting II,3,"The acquisition, analysis, and reporting of financial 
information for the individual manager and the 
organization with special attention to the planning and 
control responsibilities of practicing managers. Students 
should gain confidence in their ability to interpret and 
use financial information for more effective decision-
making. 
Prerequisite: ACC2020"
ACC3999,Selected Topics in Accounting,1-4,"A study of a faculty-selected topic in accounting. 
Repeatable with different topics."
ACC4020,Intermediate Accounting I,3,"Continuation of ACC3020, addressing financial 
statement preparation and presentation to external users.
Prerequisite: ACC3020"
ACC4030,Introductory Auditing,3,"Evidential procedures involved in supporting the various 
types of audits, in compliance with Generally Accepted 
Auditing Standards (GAAS). 
Prerequisite: ACC3020"
ACC4040,Managerial Accounting,3,"Methods of managerial accounting, including the 
development of analytical skills, cost accounting as a tool 
for business strategy and implementation, and the values 
and behaviors that make managerial accountants effective 
in the workplace. 
Prerequisite: ACC3020"
ACC4120,Intermediate Accounting II,3,"Continuation of ACC4020, addressing financial 
statement preparation and presentation to external users.
Prerequisite: ACC4020"
ACC4200,Cost Accounting,3,"Developing and organizing cost and accounting data for 
planning and control decisions, including job-order, 
budgeting, cost-volume-profit analysis, and categorizing 
of costs for payroll, materials, overhead, labor, and other 
cost categories."
ACC4400,Business Tax Accounting,3,"This course introduces the Federal tax laws and their 
impact on business corporations, partnerships, and non-
profit entities, including tax return preparation."
ACC4800,Accounting Capstone,3,"This course integrates learning from financial, managerial, 
auditing, and tax undergraduate accounting courses. The 
goal of the course is to help students synergize the ethical, 
legal, and regulatory requirements in accounting and 
develop the skills necessary to research and apply 
accounting concepts to the issues that they will encounter 
in accounting today. The students will examine real-
world accounting cases that are designed to demonstrate 
their understanding and mastery of accounting concepts."
ACC6010,Advanced Managerial Accounting,3,"Use of financial information in the internal operations of 
an organization, including approaches to management 
decision-making, organizational planning, and 
performance evaluation through internal financial 
information."
ACC6020,Federal Taxation,3,"Application of the Internal Revenue Code on basic 
organizational transactions, including the analysis of the 
impact of Federal taxation on organization profitability 
and decisions. 
Prerequisite: ACC4020 and 6 additional hours in accounting"
ACC6030,Auditing,3,"Accounting processes for auditing, attestation, and 
assurance of financial information. 
Prerequisites: ACC4020 and 6 additional hours in accounting"
ACC6040,Nonprofit Accounting,3,"Accounting practices of non-profit and governmental 
organizations for developing and maintaining internal 
financial management controls, and for preparing and 
presenting financial reports to external stakeholders. 
Prerequisite: ACC4020 plus 6 additional hours in accounting"
ACC6050,Financial Statement Analysis,3,"Interpretation and analysis of financial reports for 
evaluation of organizations by internal and external 
stakeholders. 
Prerequisites: ACC6020, ACC6030, ACC6040 
AGR  Agriculture"
AGR4000,Farm Management,3,"Organizational and management principles of a farming 
operation with emphasis on developing a business plan, 
management of resources, finances, and practices for an 
effective operation."
AGR4100,Agribusiness Sales,3,"Principles of marketing and selling in agribusiness 
markets, including selling agriculture commodities and 
development of a marketing and sales plan."
AGR4200,"Introduction to the Animal and Poultry 
Industries",3,"Introduction to nutrition, reproduction, breeding, 
management, and marketing channels for animals and 
poultry, including live animal and carcass characteristics 
and market specifications, of pre- and post-slaughter 
treatment, and the shelf life of fresh and processed meats."
AGR4300,Field Crop Production,3,"Management of field crops, including growth and 
development, establishment, rotation of crops and 
chemicals, harvesting, storage, pest management, and 
environmental and societal issues related to field crops. 
AST  Astronomy"
AST2010,Introduction to Astronomy,3,"Observational basics of movements in the sky, the history of 
modern astronomy, the solar system, the Sun, other stars, 
the Milky Way, other galaxies, the Universe, and 
cosmogony. Required telescope viewing events will be 
weather-dependent. 
Corequisite: AST2011"
AST2011,Introduction to Astronomy Lab,1,"Weekly laboratory activity for AST2010. 
Corequisite: AST2010 
Lab fee
BIB  Bible 
*One-time fee assessed the first time a student enrolls in one of the 
designated courses. Provides lifetime access to biblical studies software 
required for course activities.  
Note: Students are encouraged to take BIB2015 or BIB2025 before taking a 
biblical book or corpus study."
BIB1100,Covenant & Promise,3,"The covenants of the Bible as an interpretative paradigm 
for understanding how God has worked and continues to 
work with his creation, particularly humankind, leading 
to redemption."
BIB1200,Old Testament Literature,3,"The background, events, people, and theology of the Old 
Testament with reflection on connections to the New 
Testament and application to Christian faith and life."
BIB2000,New Testament Literature,3,"A general survey of the New Testament with emphasis on 
the historical background of the New Testament, the 
beginning of Christianity, and the development of the 
apostolic church."
BIB2015,Old Testament Interpretation,3,"Equips the student for accurate, relevant exegesis on the 
Old Testament using study tools that assist interpretation 
of the original text. 
Prerequisites: BIB1200 
Course Fee*"
BIB2025,New Testament Interpretation,3,"Equips the student for accurate, relevant exegesis on the 
New Testament using study tools that assist interpretation 
of the original text. 
Prerequisites: BIB2000 
Course Fee*"
BIB2300,Life in New Testament Bible Times,3,"The contexts of the New Testament, including cultural 
and geographical settings, and the political arena of the 
New Testament, and the application of this knowledge to 
understanding the New Testament."
BIB3000,Biblical Theology,3,"Explores how the diverse parts of the Old and New 
Testaments fit together to form a unified story of God’s 
self-revelation and redemption of humans."
BIB3410,Pentateuch,3,"An inductive study of the Pentateuch in its literary, 
canonical, and historical context. May cover the whole 
Pentateuch or focus on specific books in the Pentateuch. 
Repeatable with different emphases."
BIB3420,Historical Books,3,"An inductive study of the Historical Books (Joshua 
through Esther) in their literary, canonical, and historical 
context. May cover all the Historical Books or focus on 
specific books in this corpus.  
Repeatable with different emphases."
BIB3440,Wisdom Literature,3,"An inductive study of the Wisdom Literature (Job, 
Proverbs, Ecclesiastes, and Song of Songs) in its literary, 
canonical, and historical context. May cover the Wisdom 
Literature as a whole or focus on specific books in this 
corpus. 
Repeatable with different emphases."
BIB3450,Psalms,3,"An inductive study of the book of Psalms in its literary, 
canonical, and historical context."
BIB3460,Prophets,3,"An inductive study of the Prophets (Isaiah through 
Malachi) in their literary, canonical, and historical 
context. May cover all the Prophets or focus on specific 
books in this corpus.  
Repeatable with different emphases."
BIB3510,Gospels,3,"An inductive study of the Gospels in their literary, 
canonical, and historical context. May cover all of the 
Gospels or focus on specific books in this corpus.  
Repeatable with different emphases."
BIB3520,Acts,3,"An inductive study of the book of Acts in its literary, 
canonical, and historical context."
BIB3530,Pauline Epistles,3,"An inductive study of the Pauline Epistles in their literary, 
canonical, and historical context. May cover all the 
Pauline Epistles or focus on specific books in this corpus. 
Repeatable with different emphases."
BIB3550,General Epistles,3,"An inductive study of the General Epistles (Hebrews 
through Jude) in their literary, canonical, and historical 
context. May cover all the General Epistles or focus on 
specific books in this corpus.  
Repeatable with different emphases."
BIB3560,Revelation,3,"An inductive study of the book of Revelation in its 
literary, canonical, and historical context."
BIB3999,Selected Topics in Biblical Studies,1-4,"A study of a faculty-selected topic in biblical studies. May 
also be offered as a directed study in a student’s area of 
interest with approval by professor."
BIB4000,Advanced Bible Study Methods,3,"Methods for inductive Bible study, applied to a book of 
scripture, engaging students in observation and survey 
with emphasis on interpretative skills and the 
development of concrete applications."
BIB4105,Christian Hermeneutics,3,"A study of what it means to interpret Scripture in a way 
that is distinctively Christian. Students explore 
grammatical-historical exegesis, the hermeneutics of the 
New Testament authors, and premodern Christian 
exegesis beyond the New Testament and formulate their 
own view of Christian hermeneutics. 
 
Course Fee*"
BIB4800,Biblical Studies Capstone,3,"A reading- and writing-intensive capstone in biblical 
studies in which students apply skills and insights 
acquired during the program to contemporary issues, or 
to research in the wider discipline. 
Prerequisite: Completion of major courses"
BIB4900,Undergraduate Thesis,3,"A capstone experience in which the biblical studies major 
utilizes learning from previous courses, working with 
primary and secondary materials to craft an extended 
essay under the guidance of a faculty mentor. 
Prerequisite: 30 earned hours of biblical studies coursework"
