Code,Title,Credits,Description
ACCT 2173,FINANCIAL,3,"ACCOUNTING  
Prerequisite:"
"MATH 
1303",General,3,"Quantitative 
Reasoning  
This course is a study of accounting theories and concepts 
involved in analyzing, processing, interpreting, and 
communicating decision-making information for internal 
and external uses. These courses are intended for majors 
and non-majors.  (Spring, Fall)"
ACCT 2183,MANAGERIAL,3,"ACCOUNTING  
Prerequisite:"
ACCT 2173,Financial,3,"Accounting  
This course is a study of accounting theories and concepts 
involved in analyzing, processing, interpreting, and 
communicating decision-making information for internal 
and external uses. These courses are intended for majors 
and non-majors.  (Spring, Fall)"
AGEC 1373,INTRODUCTION,3,"TO AGRICULTURE 
ECONOMICS  
This course presents basic economic theory of production, 
marketing and consumption of agricultural products and 
the role and structure of agriculture in the American 
economy.  (Spring, Fall)"
AGEC 2113,FARM,3,"AND RANCH MANAGEMENT  
This course covers the application of principles and 
practices of farm and ranch management in order to 
improve or enhance the profitability of the enterprise. 
(Spring)"
"AGEC 
2143",PRINCIPLES,3,"OF 
AGRICULTURE 
MARKETING  
This course covers the types of marketing practices and 
alternatives to these marketing practices. Emphasis will 
be on the application of principles of marketing for 
consideration when marketing agriculture products and 
how to identify markets and market strengths and 
weaknesses in order to enhance the selling price of those 
products.  (Spring) 
AGRICULTURE"
AGRI 2001-3,AGRICULTURE,3,"SEMINAR 
This course is a study of selected topics in agriculture."
AGRI 2103,COMMUNICATION,3,"IN AGRICULTURE  
Prerequisite:"
ENGL 1113,English,3,"Composition I 
This course focuses on the fundamentals of agriculture 
news writing and other communication methods.  The 
students will be informed of careers in agricultural 
communications and the importance of the media in 
agriculture and related fields.  (Fall)"
AGRI 2143,INTRODUCTION,3,"TO AGRICULTURE 
EDUCATION 
This course is an exploration into the world of teaching 
agricultural education with a primary focus on the 
agricultural education programs. Required components 
will enable students to explore their roles as educators by 
including hands on experience with SAE projects 
(Supervised 
Agricultural 
Experiences), 
classroom 
observations, pedagogical methods, leadership and 
building community relationships.  (Fall)"
AGRI 2193,AGRICULTURE,3,"INTERNSHIP 
This course is designed to enhance students’ classroom 
experience in agricultural related areas. The internship 
will provide the students opportunities to gain further 
insight into the multi-faceted agriculture industry.  
(Spring, Fall)"
AGRI 2223,EXPLORATIONS,3,"IN AGRICULTURAL 
RESEARCH 
This course is designed as a research foundations 
experience which will offer students the opportunity to be 
involved 
in 
introductory 
agricultural 
research 
experiences. Explorations in agricultural research will 
enable students to see the relevance of course work in a 
“real life” learning laboratory. This course will encourage 
students to use the skills learned in the introductory 
animal science, agriculture computers, and anatomy and 
physiology classes in the exploration of agricultural 
research.  (Spring)"
AGRI 2301,SERVICE,1,"LEARNING IN AGRICULTURE 
This course integrates community service with instruction 
and reflection to enrich the learning experience, teach 
civic responsibility, and strengthen communities.  This 
course involves students in community service activities 
to enhance their academic and personal development.  
(Spring, Fall)"
"AGRI 
2302",LIVESTOCK,2,"PHOTOGRAPHY 
IN 
AGRICULTURE 
This course provides an opportunity for the student to 
learn how to set up livestock for photos, catalog and sale 
design, landscape agriculture, getting to know the camera, 
settings on camera, rules of photography, photo contest 
entries, exposure, balance and attractiveness of photos. 
Bracketing, High Density Resolutions and artsy 
photography will also be learned. The student will get 
information on how to manage and adjust photos on a"
Catalog 2023-2024,,4,"Redlands Community College        Section III-Course Descriptions 
 

computer using Picassa, Photoshop and Photomatix.  
(Spring)"
AGRI 2303,AGRICULTURE,3,"LEADERSHIP 
The course will enable students to explore their roles as 
leaders in a changing agriculture industry. The emphasis 
will be on enabling students to explore their personal 
values system as it applies to leadership. Specific topics 
include: vision, values, balance, self-awareness and the 
leadership context.  (Spring) 
AGRICULTURE SUSTAINABILITY"
AGSU 1013,INTRODUCTION,3,"TO AGROECOLOGY 
AND SUSTAINABLE PRACTICES 
This course provides an introduction to the principles, 
history, and practices associated with sustainability and 
agroecology. Students will be exposed to topics including 
sustainable agriculture principles and outlook, soil 
fertility, tillage/no-till, composting, cover crops, crop 
rotation, and vermiculture/composting. (Fall)"
AGSU 1024,AQUAPONICS,4,"Prerequisite: AGSU1013 Introduction to Agroecology 
and Sustainable Practices 
This course covers aquaculture and hydroponics as they 
combine to form an aquaponics approach, including 
sustainable aquatics feed production, seeding approaches, 
micronutrient supplementation, stocking density, plant 
selection, and the basic physical and biological principles 
governing sustainable farm and agribusiness operations.  
System types presented include Deep Water Culture, 
Media-based Beds, Nutrient Film Technology and 
Vertical.  Greenhouse-based, warehouse (LED light), and 
outdoor applications will be addressed. 3 hours lecture; 1 
hour lab credit; 3 hours lecture; 1 hour lab credit. (Spring)"
AGSU 1032,ALTERNATIVE,2,"SUSTAINABLE 
ENTERPRISES 
This course provides a more in-depth examination of 
sustainable practices /enterprises including vermiculture, 
composting, recycling, vertical gardening, container 
gardening, edible landscapes, square foot / raised bed 
methodologies, water reclamation, and alternative energy 
sources. 2 hours lecture. (Fall)"
AGSU 2012,EDIBLE,2,"LANDSCAPE 
This course prepares students to design, install, maintain, 
and harvest intentional food crops and ornamental plants 
with a nutritional value which have been integrated into a 
landscape design.  Identification of edibles, planting, 
pruning, and propagation will be addressed. (Spring)"
AGSU 2022,VERMICULTURE,2,"TECHNOLOGY 
This course prepares students to engage in both 
vermiculture and vermicomposting.  Topics of study and 
application include the selection, care, breeding, and 
harvesting of worms, as well as advantages/disadvantages 
of multiple vermicompost methods.  In addition, students 
will be prepared to use both worms and vermicompost in 
traditional and alternative agricultural applications. (Fall)"
AGSU 2032,APICULTURE,2,"This course prepares students in the basics of keeping 
honey bees, including bee biology, care of bees 
throughout the year, and management of colonies for 
maximum bee health and honey production and 
collection. (Summer)"
AGSU 2042,CONTAINER,2,"GARDENING 
This course prepares students to design and manage 
gardening / food production system limited space or urban 
areas.  Plant selection (herbs, flowers, vegetables), water 
and fertilization needs, and container selection will be 
included, as well as other limited space growing options 
such as raised beds and square-foot options. (Fall)"
AGSU 2043,GREENHOUSE,3,"MANAGEMENT 
Prerequisite AGSU1013 Introduction to Agroecology 
and Sustainable Practices 
This course covers greenhouse facilities planning and 
equipment selection and operation, along with 
economic/business applications associated with 
greenhouse operations.  Topics include types of 
greenhouses, location factors, materials, glazing 
selection, calculation of and provision of heating and 
cooling requirements, lighting, benches, and energy 
conservation. 3 hours lecture credit. (Spring)"
AGSU 2223,APPLIED,3,"SUSTAINABILITY 
CAPSTONE 
Prerequisites: Must successfully have completed a 
minimum"
of 2,AGSU,2,"courses (one of which must have 
included a lab) to enroll in this course. 
This course provides an opportunity to explore areas of 
applied sustainability through the development of a 
research or advanced learning project culminating in a 
written report and capstone presentation. (Spring) 
AGRICULTURE TECHNOLOGY"
AGTE 1013,DRONE,3,"TECHNOLOGY I 
This course prepares students with an introduction to 
drone flight and proficiency, with particular focus on 
safe and efficient operation. Students will be exposed to 
multiple drone types and will have dedicated flight time"
Catalog 2023-2024,,4,"Redlands Community College        Section III-Course Descriptions 
 

to become familiar with controls and techniques. In 
addition, this course will include all materials and 
knowledge base necessary to pass the FAA TRUST test 
now required for recreational drone use. (2 hours Lecture 
Credit; 1 hour Laboratory Credit) (Fall)"
AGTE 1022,DRONE,2,"PHOTOGRAPHY AND 
VIDEOGRAPHY 
This course reinforces the basics of flying a drone, with 
particular attention to fundamentals, safety, and legal 
aspects. Photography and videography instruction, 
including rules of composition relative to this type of 
imagery, practice flight patterns, and troubleshooting 
aerial imagery problems, is presented along with 
composition and photographic/videographic technique 
and editing. (1 hour lecture credit; 1 hour laboratory 
credit) (Spring)"
AGTE 1033,CODING,3,"AND ROBOTICS I 
This course provides an overview of electrical 
components including breadboards, batteries, LEDs, 
resistors, jumper wires, and switches; building series and 
parallel circuits; working with Raspberry Pi; and, writing 
code in Python. (2 credit hours Lecture; 1 credit hour 
Laboratory) (Fall)"
AGTE 2013,DRONE,3,"TECHNOLOGY II 
This course prepares students to complete the Federal 
Aviation Administration"
Part 107,Certification,7,"process, 
including the required examination. Key focal areas are: 
Drone Properties; Drone Maintenance; Pilot Decision 
Making; Load Factors; Use of Sectional Charts and 
Topographical Maps; Pilot Performance; and, 
Emergency Procedures. (3 hours Lecture Credit) (Fall)"
AGTE 2022,INTRODUCTION,2,"TO GIS 
This course introduces students to Geographic 
Information Systems (GIS) and its applications to spatial 
data management as a tool. Overall topics include 
assessment of vector and raster systems, scale, 
resolution, map projection, coordinate systems, 
georeferencing, and GPS. Hands-on exposure to spatial 
analysis and modeling with GIS computer applications is 
provided during laboratory assignments. (1 hour Lecture 
Credit; 1 hour Laboratory Credit) (Spring)"
AGTE 2034,CODING,4,"AND ROBOTICS II 
This course provides guided practice in the use of 
electrical components, building circuits, working with 
Raspberry Pi, and writing code in Python, along with the 
complementary skills of reading schematics, 
troubleshooting, project planning, and multimeter use. 
Students will synthesize activities and knowledge base 
to build a fully programmable, mobile robot. (3 hours 
lecture credit; 1 hour laboratory credit) (Spring) 
AGRONOMY"
AGRN 1124,INTRODUCTION,4,"TO SOIL SCIENCE 
This course explores the principal physical, chemical, and 
biological properties of soil related to plant growth.  
Students will be instructed on the methods of soil testing 
and fertilizer usage.  This course also explores the 
formation and classification of soils and rural and urban 
land use. 3 hours lecture credit, 1 hour lab credit.  (Spring)"
AGRN 1214,INTRODUCTION,4,"TO PLANT SCIENCE  
This course covers the concepts and principles of plant 
growth including crop land, rangeland, and pasture land.  
It explores the importance of plant resources to the 
producer, modern management and production practices, 
and maintenance of natural resources. 3 hours lecture 
credit; 1 hour lab credit.  (Fall)"
AGRN 2333,RANGE,3,"AND PASTURE 
MANAGEMENT 
This course covers the application of range and pasture 
management principles to maintain plant and animal 
growth. Emphasis will be on identification of major range 
and pasture plants, determination of stocking rates, and 
identification of means and practices for maintaining and 
enhancing plant growth in an economical and cost 
effective manner.  (Fall) 
ALLIED HEALTH SCIENCE"
AHS 1123,MEDICAL,3,"TERMINOLOGY  
This course presents a study of basic medical 
terminology. Prefixes, suffixes, word roots, combining 
forms, special endings, plural forms, abbreviations and 
symbols are included in the content. Programmed 
learning resources, individual and group presentations, 
seminars and independent study are utilized to build study 
skills in constructing/analyzing new terms. Emphasis is 
placed on spelling, definition, usage, and pronunciation. 
Abbreviations are also introduced as related terms are 
presented.  (Spring, Summer, Fall)"
AHS 2001-4,TOPICS,4,"IN ALLIED HEALTH SCIENCE   
This course provides selected learning opportunities in 
specific areas of health sciences."
