code,name,credit hours,description
ACC 101,PRINCIPLES OF FINANCIAL ACCOUNTING,3,"Introduces students to generally accepted accounting principles and financial statements.  Topics examined include basic 
concepts of business transaction analysis; the accounting cycle; measurement of assets, liabilities, revenues, and expenses; 
and financial statement presentation and interpretation."
ACC 102,PRINCIPLES OF MANAGERIAL ACCOUNTING,3,"Prerequisite: ACC 101  
Introduces students to financial analysis and fundamental management accounting practices.  Topics include ratio analysis; 
cost classification; and behavior; product costing; budgeting; and decision-making models."
ACC 155,SPECIAL TOPICS,3,"Special topics courses are offered under this number for topics in Accountancy that are not included in the established 
curriculum."
ACC 201,INTERMEDIATE ACCOUNTING I,3,"Prerequisite:  ACC 101 and 102   
A thorough course in theory and problems in which various methods of solving practical accounting problems are presented.  
The course supplies a broad background of accounting theories that will enable the student to recognize accepted differences 
in accounting methods and to develop individual concepts in matters of accounting principles.  Knowledge of working paper 
layout is a primary requisite and the problems offered are a challenge to students' ability to observe, reason, and to make 
proper decisions on the basis of known facts."
ACC 202,INTERMEDIATE ACCOUNTING II,3,"Prerequisite:  ACC 201   
A further development of the practical aspects of accounting, illustrating accepted methods of recording issuances of various 
types of stock for corporations and various capital accounts.  Other topics included are problems in presentation of various 
liabilities and funds and the preparation of comparative reports and statement analysis."
ACC 205,ACCOUNTING FOR MANAGEMENT,3,"Prerequisite: ACC 208  
Course Requirement: Enrollment in Thomas More Accelerated Program   
A course examining the use of costs in business planning, control, and management decision making.  An emphasis is placed 
on the identification and analysis of relevant costs in specific decision-making situations."
ACC 208,A SURVEY OF FINANCIAL ACCOUNTING,3,"Course Requirement:  Enrollment in Thomas More Accelerated Program   
An overview of financial accounting topics for corporations, with an emphasis on the use of financial information and analysis 
of financial statements."
ACC 230,INTRODUCTION TO QUICKBOOKS,1,"Prerequisite: ACC 101  
This course introduces the student to the basics on Intuit’s QuickBooks Software.  Students will create a set of financial 
statements using the various accounting cycles in the software."
ACC 255,SPECIAL TOPICS,3,"Special topics courses are offered under this number for topics in Accountancy that are not included in the established 
curriculum. 
COURSES OF INSTRUCTION 
 | 103"
ACC 301,COST ACCOUNTING I,3,"Prerequisite:  ACC 101 and 102   
A study in the control and cost of materials, direct labor, and overhead with special emphasis on job-order and process 
costing, cost allocation and activities-based costing systems and management."
ACC 302,COST ACCOUNTING II,3,"Prerequisite:  ACC 301   
An advanced course in cost management and decision-making techniques, budgeting and financial planning, standard costing 
systems and performance measurement."
ACC 305,GOVERNMENTAL ACCOUNTING,3,"A study of the principles and procedures of fund accounting as used by governmental, educational, and other nonprofit or 
public funded entities."
ACC 311,TAXATION I,3,"Prerequisite:  ACC 101 and 102   
An examination of tax laws and regulations in relation to their underlying principles.  A further study is included of the federal 
income tax for individuals and the preparation of the individual's income tax return.  Problems in determining income tax for 
individuals are discussed."
ACC 312,TAXATION II,3,"Prerequisite:  ACC 311   
A continuation of ACC 311.  This is an advanced course designed for study and practice in regard to federal income tax for 
partnerships, corporations, estates and trusts, federal estate and gift taxes, social security and other important taxes."
