code,name,credit hours,description
ACC 101,Introduction to Accounting,3,"This introductory accounting course 
emphasizes the development of a firm 
foundation in fundamental accounting 
procedures using the accounting cycle of a small 
business organized as a sole proprietorship. 
Topics include: transaction analysis, financial 
statements, the accounting cycle of service 
and merchandising firms, accounting for bank 
accounts, cash funds, accounts receivable, notes 
receivable, notes payable, inventory, long-term 
assets and introduction to accounting for 
corporations.
(3 lec/0 lab) 
3 sem hrs"
ACC 125,Accounting Information Systems,3,"Accounting Information Systems is the study of 
the design and implementation of accounting 
information systems. An understanding 
of the traditional accounting model and 
its relationship to each type of accounting 
information system will be emphasized, 
including accounts receivable, inventory 
control, cost accounting, operational budgeting, 
and capital budgeting. Key elements of a 
well-designed management control system are 
included.
Recommended Prereq: ACC101 or concurrent 
enrollment or ACC202 or concurrent enrollment.
(3 lec/0 lab) 
3 sem hrs"
ACC 130,Payroll Accounting,3,"This course is a comprehensive study of the 
Fair Labor Standards Act, the Federal Insurance 
Contributions Act, Unemployment Tax Acts, 
the federal and state income tax withholding 
laws and fair employment laws as they relate to 
payroll accounting. Course coverage includes 
the preparation of payroll records and tax 
returns. The course also addresses current 
payroll accounting issues.
Recommended Prereq: ACC101 or ACC202.
(3 lec/0 lab) 
3 sem hrs"
ACC 202,Financial Accounting,3,"This course focuses on procedures and concepts 
involved in providing relevant financial data 
to external and internal decision makers. It 
emphasizes the construction, interpretation, 
and analysis of the income statement, balance 
sheet, statement of stockholder's equity, and 
cash flow statement. The course covers the 
steps in the accounting cycle and the accounting 
principles and concepts necessary to properly 
account for a variety of business transactions. 
Detailed analysis of the following topics is 
provided: cash; receivables and revenue; 
inventories and cost of goods sold; long term 
assets and depreciation; short-term, long-term, 
and contingent liabilities; time value of money 
concepts; and financial ratios and analyses.
Recommended Prereq: ACC101 and MTH104.
IAI: BUS 903.
(3 lec/0 lab) 
3 sem hrs"
ACC 203,Managerial Accounting,3,"This course focuses on accumulation, analysis 
and use of cost information needed for internal 
decision making in businesses. It covers cost 
identification; job-order, process, and activity-
based costing; cost-volume-profit analysis; 
budgeting; standard costs; variance analysis; the 
statement of cash flows; capital budgeting; and 
short-term decision making.
Recommended Prereq: ACC202.
IAI: BUS 904.
(3 lec/0 lab) 
3 sem hrs"
ACC 215,Individual Tax Accounting,3,"This course is a study of the concepts of 
federal income taxation as they apply to 
individuals. Topics include gross income, 
exclusions, deductions, credits, the taxation 
of sole proprietors, tax planning strategies, 
and computation of gains and losses on the 
disposition of property.
(3 lec/0 lab) 
3 sem hrs"
ACC 220,Intermediate Accounting I,3,"This is the first of two courses in the advanced 
study of the assumptions, principles, 
procedures and practices involved in modern 
corporate financial accounting.
Recommended Prereq: ACC203.
(3 lec/0 lab) 
3 sem hrs"
ACC 221,Intermediate Accounting II,3,"This is the second of two courses in the 
advanced study of the assumptions, principles, 
procedures and practices involved in modern 
corporate financial accounting.
Recommended Prereq: ACC220.
(3 lec/0 lab) 
3 sem hrs"
ACC 235,Taxation of Limited Liability ,3,"Companies (LLCs)
This course is a study of the taxation of Limited 
Liability Companies (LLCs). This course 
examines the different ways a Limited Liability 
Company (LLC) is taxed; as a sole proprietor, 
partnership, S Corporation or C Corporation. 
The course covers the formation, operations 
and preparation of tax returns of the different 
entity choices. The course highlights the 
advantages and disadvantages of the entity 
choices.
Recommended Prereq: ACC202; ACC215.
(3 lec/0 lab) 
3 sem hrs"
ACC 240,Cost Accounting,3,"This advanced study of the accumulation, 
analysis and use of cost information needed 
for internal decision making in business 
covers: accounting for quality allocation of 
indirect costs, activity-based costing, job-
order costing, process costing, accounting 
for spoilage, standard costing, cost-volume-
profit analysis, inventory control, capital 
budgeting, decentralization and organizational 
performance.
Recommended Prereq: ACC203.
(3 lec/0 lab) 
3 sem hrs"
