code,name,credit,description
ACC 221,Principles of Accounting I,3,"Fall Involves the study of the principles of bookkeeping and financial reporting. Examines the accounting cycle, which 
deals with the analysis, journalizing, and posting of business transactions within the double-entry framework, and 
specialized accounting procedures for service and merchandising businesses.  
Prerequisite: SAT Math Subtest score of 29 or equivalent or a math over"
ACC 222,Principles of Accounting II,3,Spring A continuation of ACC 317 Intermediate Accounting I. 

ACC 341,Cost and Managerial Accounting Practice,3,"Even Springs Examines how managers use cost accounting data in the task of conducting businesses. Highlights the benefits of a 
thorough understanding of accounting information. Broadly exposes how management accountants contribute to the 
internal decision-making process. Topics include determining cost behavior, cost relevance and the decision process, 
pricing decisions, management control systems, cost management in the context of quality and time, inventory 
management, decentralization and transfer compensation, cost-volume-profit and budgeting, and control.  
Prerequisite: ACC 391 Individual Taxation." 

ACC 404, Fund Accounting,3,"Odd Springs Emphasizes accounting for the state and local government units. Accounting for hospitals, colleges, universities and 
other not-for-profit organizations is also covered.  
Prerequisite: ACC 318 Intermediate Accounting II and BUS 351 Statistics. BUS 351 may be taken concurrently with proper authorization." 

ACC 443, Auditing Principles II,3, "Odd Springs A continuation of ACC 442Auditing Principles I." 

ACC 447, Advanced Accounting,4,"Fall Examines special accounting problems relating to business combinations, the preparation of consolidated financial 
statements, accounting for partnerships, business failures, estates and trusts, etc.  
Prerequisite:"
AERO 101,Air Force Today I,1,"  
Examines the growth and development of the USAF; covers Presidential, Secretary of Defense, and JCS roles in the 
defense posture, and the national and U.S. military strategic concepts; studies the USAF contribution to strategic 
offensive, defensive, and General Purpose Forces and USAF supporting forces. Compares the dynamics and interaction 
of all U.S. military forces in the General Purpose role and their cooperative efforts in the national security posture. 
 "
AERO 102, Air Force Today II ,1, "
A continuation of the study of the growth and development of the U.S. Air Force begun in AERO 101. The course 
relates the mission and responsibilities of the various Air Force major commands to the U.S. defense posture and the 
U.S. military strategy. Emphasis is placed on the Air Force contribution to General Purpose forces and the dynamics, 
interactions, and cooperative efforts of all the Services in the General Purpose role for the national security posture. 
Prerequisite: AERO 101. 
"

AERO 201, U.S. Aviation History and Its Development into Air Power I ,1, "  
This course traces the development of aviation from the 18th century — a time of balloons and dirigibles — to the 
present and examines how technology has affected the growth and development of air power. In addition, this course 
traces the use and development of air power through World War I and World War II, the Korean and Vietnamese 
conflicts, employment in relief missions and civic action programs in the late 1960s, and employment in military 
actions concluding with Desert Shield/Desert Storm.  
Prerequisite: AERO 102. "

AERO 202, U.S. Aviation History & Its Development into Air Power II ,1, " 
Examines the development of aviation from the 18th century, from balloons and dirigibles to the present, and how 
technology has affected growth and development of air power; traces use and development of air power through 
WW’s I and II, the Korean and Vietnamese conflicts, employment in relief missions and civic action programs in the 
late 1960s, and employment in military actions concluding with Desert Shield/Desert Storm.  
Prerequisite: AERO 201. 
"

AERO 310,Air Force Leadership and Management,3," 
Concepts, principles and techniques of leadership are presented within the framework of behavioral theories. 
Emphasis on the leader, group, situation and their interaction as dynamic factors in an organizational environment. 
Historical overview of managerial development with emphasis on the social and physical setting in which the manager 
operates. The curriculum includes effective communications, decision making, planning and strategic management. 
Prerequisite: AERO 202."

AERO 311, Management and Air Force Application ,3, "
An integrated management course emphasizing the concepts and skills required by the successful manager and 
leader. Organizational and personal values (ethics), management of change, organizational power, politics, and 
managerial strategy and tactics are discussed within the context of the military organization. Actual Air Force case 
studies are used throughout the course to enhance the learning and communication process (lecture and seminar). 
Prerequisite: AERO 310. "

AERO 410, National Security Forces in Contemporary American Society I ,3, " 
Focuses on the Armed Forces as an integral element of society. Provides examination of a broad range of American 
civil-military relations, and the environmental context in which defense policy is formulated. Special themes include: 
societal attitudes toward the military; the role of the professional military leader-manager in a democratic society; the 
fundamental values and socialization processes associated with the Armed Services; the requisites for maintaining 
adequate national security forces; policy, economic, and social constraints on the national defense structure; the 
impact of technological and international developments on strategic preparedness; the manifold variables involved in 
the formulation and implementation of national security policy. 
Prerequisite: AERO 311. "

AERO 411, National Security Forces in Contemporary American Society II ,3, "This course is a continuation of AERO 410 which examines the role of the military in contemporary American society. 
The course covers current issues affecting the military in the aftermath of the end of the Cold War and the lessons 
learned from the recent war in the Persian Gulf. Finally, AERO 411 prepares officer cadets for future active-duty 
services by explaining what is expected of them as professional military officers and how to prepare for the transition 
into the Air Force. Instruction is conducted via lecture and discussion. 
Prerequisite: AERO 410."
APR 207, Advertising,3,"Spring Explores principles and vocabulary of advertising including ethical and social implications. Examines theories of 
persuasion and mass media related to marketing and consumer behavior. Cross listed"
APR 309,Advertising Strategies,3,"Odd Falls Examines principles, methods, techniques, and ethics of advertising in media. Emphasis is on the execution of 
research-based creative strategies. Cross listed"
APR 311,Corporate Communication,3,"Spring Analyzes the role, function, development, and application of communication in the corporate setting including 
employee communication, work styles, gender issues, nonverbal, listening, interviewing, resume writing, leading 
meetings, performance appraisals, small group/team problem solving, and professional presentations. 
Prerequisites: ENG 104 College Writing, Gen. Ed. oral communication course (COM 212, SPE 100 or SPE 212)." 


APR 347, Public Relations,3,"Fall Analysis of public relations principles, including public opinion, image creation, maintenance of press, and community 
and constituency relations; practice in public relations program recommendations and design. Cross listed"
ARA 355,Advanced Arabic and Culture Courses,3,"Kelsey Language School in Jordan May be repeated. 
Prerequisite:"
ART 152, Art Foundations,2,"Fall, Interim, Spring, Online Introduces art ideas, basic concepts, skills, and materials used by artists in visual and tactile perception. Examines art 
in its historic relationship to religion, visual media's influence on contemporary living, and the need for critical thinking 
and analysis for enrichment of art and life. Not applicable to major or minor."
ART 162,Drawing I,3,"Fall Introduces drawing principles and techniques, including contour, gesture, modeling, and shading, are used to explore 
forms of still life, landscape, and architecture. ""C"" or better for media and visual arts department majors."
ART 165,Two-Dimensional Design,3,"Fall Studio-classroom approach to the elements and principles of design. Various two-dimensional techniques are 
explored in line, shape, space, and texture to prepare the student for advanced work in the various areas of the visual 
arts. ""C"" or better for media and visual arts department majors."
ART 166,Three-Dimensional Design,4,"Even Springs Studio-classroom approach to the elements and philosophy of design. Traditional and contemporary techniques are 
examined and practiced with special attention to developing personal creativity. Works are executed in clay, plaster, 
wood, and mixed media. ""C"" or better for media and visual arts majors."
ART 167,Color,2,"Spring Explores the visual element and concepts of color used in the visual arts. Emphasis on color theories, color 
manipulation and color organization used in both graphic and fine arts. Students begin with the traditional color 
wheel to classic painting concepts through current color technology. ""C"" or better for art and design majors."
ART 205,Foundations of Photography,3,"Fall Introduces the methods, theories, processes, and history of photography using both digital and analog platforms. 

COURSE DESCRIPTIONS 
 
 
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
226"
ART 213,Painting I,3,"Odd Falls Introduces major techniques of painting and a full range of painting media and stylistic modes. Focuses on oil-based 
media. ""C"" or better for media and visual arts department majors. 
Prerequisites:"
ART 272,Introduction to Graphic Design,4,"Fall Introduces the art of graphic design and its historical development and basic styles. Exposure to current software in 
relation to basic layout construction and design. ""C"" or better for media and visual arts department majors."
ART 274,Graphic Design I,4,"Spring Focuses on developing aptitude in graphic design work using current graphic design software. Explores basic terms, 
concepts, processes, and tools in contemporary design. Instruction in preparing art for reproduction, visual problem 
solving, and communication. ""C"" or better for media and visual arts department majors. 
Prerequisite:"
ART 326,History of Art: Renaissance to 19th Century Western Art,3,Even Springs Explores the history of art from the 14th century through the 19th century.
ART 333,Graphic Design II,4,"Fall Analyzes advanced problems in layout and design technique for advertising art using current design software as a tool 
to prepare work for publication, and photo manipulation and retouching. Emphasis on the importance of qualitative 
and aesthetic standards in the graphic arts. ""C"" or better for media and visual arts department majors. 
Prerequisite:"
ART 376,Typography,3,"Even Falls Training in type design and layout, including the study of rules and conventions of design and a brief history of type 
styles in use today."
